,date,value,name_B08XC2CK23
0,2021-02-26,114.0,Essential Oil Blends
1,2021-02-27,113.0,Essential Oil Blends
2,2021-02-28,113.0,Essential Oil Blends
3,2021-03-01,113.0,Essential Oil Blends
4,2021-03-02,125.0,Essential Oil Blends
5,2021-03-03,128.0,Essential Oil Blends
6,2021-03-04,119.0,Essential Oil Blends
7,2021-03-05,98.0,Essential Oil Blends
8,2021-03-06,90.0,Essential Oil Blends
9,2021-03-07,77.0,Essential Oil Blends
10,2021-03-08,75.0,Essential Oil Blends
11,2021-03-09,86.0,Essential Oil Blends
12,2021-03-10,77.0,Essential Oil Blends
13,2021-03-11,65.0,Essential Oil Blends
14,2021-03-12,65.0,Essential Oil Blends
15,2021-03-13,60.0,Essential Oil Blends
16,2021-03-14,60.0,Essential Oil Blends
17,2021-03-15,63.0,Essential Oil Blends
18,2021-03-16,57.0,Essential Oil Blends
19,2021-03-17,66.0,Essential Oil Blends
20,2021-03-18,56.0,Essential Oil Blends
21,2021-03-19,53.0,Essential Oil Blends
22,2021-03-20,54.0,Essential Oil Blends
23,2021-03-21,62.0,Essential Oil Blends
24,2021-03-22,64.0,Essential Oil Blends
25,2021-03-23,66.0,Essential Oil Blends
26,2021-03-24,62.0,Essential Oil Blends
27,2021-03-25,68.0,Essential Oil Blends
28,2021-03-26,65.0,Essential Oil Blends
29,2021-03-27,64.0,Essential Oil Blends
30,2021-03-28,66.0,Essential Oil Blends
31,2021-03-29,66.0,Essential Oil Blends
32,2021-03-30,64.0,Essential Oil Blends
33,2021-03-31,62.0,Essential Oil Blends
34,2021-04-01,66.0,Essential Oil Blends
35,2021-04-02,59.0,Essential Oil Blends
36,2021-04-03,58.0,Essential Oil Blends
37,2021-04-04,56.0,Essential Oil Blends
38,2021-04-05,68.0,Essential Oil Blends
39,2021-04-06,66.0,Essential Oil Blends
40,2021-04-07,62.0,Essential Oil Blends
41,2021-04-08,55.0,Essential Oil Blends
42,2021-04-09,60.0,Essential Oil Blends
43,2021-04-10,61.0,Essential Oil Blends
44,2021-04-11,53.0,Essential Oil Blends
45,2021-04-12,62.0,Essential Oil Blends
46,2021-04-13,63.0,Essential Oil Blends
47,2021-04-14,55.0,Essential Oil Blends
48,2021-04-15,52.0,Essential Oil Blends
49,2021-04-16,60.0,Essential Oil Blends
50,2021-04-17,60.0,Essential Oil Blends
51,2021-04-18,56.0,Essential Oil Blends
52,2021-04-19,59.0,Essential Oil Blends
53,2021-04-20,58.0,Essential Oil Blends
54,2021-04-21,62.0,Essential Oil Blends
55,2021-04-22,60.0,Essential Oil Blends
56,2021-04-23,69.0,Essential Oil Blends
57,2021-04-24,66.0,Essential Oil Blends
58,2021-04-25,70.0,Essential Oil Blends
59,2021-04-26,64.0,Essential Oil Blends
60,2021-04-27,68.0,Essential Oil Blends
61,2021-04-28,53.0,Essential Oil Blends
62,2021-04-29,55.0,Essential Oil Blends
63,2021-04-30,54.0,Essential Oil Blends
64,2021-05-01,57.0,Essential Oil Blends
65,2021-05-02,52.0,Essential Oil Blends
66,2021-05-03,49.0,Essential Oil Blends
67,2021-05-04,48.0,Essential Oil Blends
68,2021-05-05,48.0,Essential Oil Blends
69,2021-05-06,54.0,Essential Oil Blends
70,2021-05-07,51.0,Essential Oil Blends
71,2021-05-08,56.0,Essential Oil Blends
72,2021-05-09,68.0,Essential Oil Blends
73,2021-05-10,71.0,Essential Oil Blends
74,2021-05-11,70.0,Essential Oil Blends
75,2021-05-12,66.0,Essential Oil Blends
76,2021-05-13,75.0,Essential Oil Blends
77,2021-05-14,65.0,Essential Oil Blends
78,2021-05-15,81.0,Essential Oil Blends
79,2021-05-16,108.0,Essential Oil Blends
80,2021-05-17,108.0,Essential Oil Blends
81,2021-05-18,91.0,Essential Oil Blends
82,2021-05-19,70.0,Essential Oil Blends
83,2021-05-20,63.0,Essential Oil Blends
84,2021-05-21,56.0,Essential Oil Blends
85,2021-05-22,49.0,Essential Oil Blends
86,2021-05-23,53.0,Essential Oil Blends
87,2021-05-24,62.0,Essential Oil Blends
88,2021-05-25,59.0,Essential Oil Blends
89,2021-05-26,63.0,Essential Oil Blends
90,2021-05-27,50.0,Essential Oil Blends
91,2021-05-28,51.0,Essential Oil Blends
92,2021-05-29,48.0,Essential Oil Blends
93,2021-05-30,43.0,Essential Oil Blends
94,2021-05-31,60.0,Essential Oil Blends
95,2021-06-01,63.0,Essential Oil Blends
96,2021-06-02,62.0,Essential Oil Blends
97,2021-06-03,60.0,Essential Oil Blends
98,2021-06-04,59.0,Essential Oil Blends
99,2021-06-05,56.0,Essential Oil Blends
100,2021-06-06,60.0,Essential Oil Blends
101,2021-06-07,62.0,Essential Oil Blends
102,2021-06-08,66.0,Essential Oil Blends
103,2021-06-09,65.0,Essential Oil Blends
104,2021-06-10,58.0,Essential Oil Blends
105,2021-06-11,50.0,Essential Oil Blends
106,2021-06-12,53.0,Essential Oil Blends
107,2021-06-13,63.0,Essential Oil Blends
108,2021-06-14,65.0,Essential Oil Blends
109,2021-06-15,76.0,Essential Oil Blends
110,2021-06-16,68.0,Essential Oil Blends
111,2021-06-17,70.0,Essential Oil Blends
112,2021-06-18,66.0,Essential Oil Blends
113,2021-06-19,71.0,Essential Oil Blends
114,2021-06-20,78.0,Essential Oil Blends
115,2021-06-21,159.0,Essential Oil Blends
116,2021-06-22,187.0,Essential Oil Blends
117,2021-06-23,184.0,Essential Oil Blends
118,2021-06-24,141.0,Essential Oil Blends
119,2021-06-25,119.0,Essential Oil Blends
120,2021-06-26,100.0,Essential Oil Blends
121,2021-06-27,110.0,Essential Oil Blends
122,2021-06-28,112.0,Essential Oil Blends
123,2021-06-29,110.0,Essential Oil Blends
124,2021-06-30,105.0,Essential Oil Blends
125,2021-07-01,117.0,Essential Oil Blends
126,2021-07-02,113.0,Essential Oil Blends
127,2021-07-03,117.0,Essential Oil Blends
128,2021-07-04,123.0,Essential Oil Blends
129,2021-07-05,152.0,Essential Oil Blends
130,2021-07-06,180.0,Essential Oil Blends
131,2021-07-07,181.0,Essential Oil Blends
132,2021-07-08,181.0,Essential Oil Blends
133,2021-07-09,184.0,Essential Oil Blends
134,2021-07-10,175.0,Essential Oil Blends
135,2021-07-11,165.0,Essential Oil Blends
