,date,value,name_B0751VWW8C
132,2020-10-07,3205.0,Graph & Data Pads
133,2020-10-08,3205.0,Graph & Data Pads
134,2020-10-09,3205.0,Graph & Data Pads
135,2020-10-10,3296.0,Graph & Data Pads
136,2020-10-11,3296.0,Graph & Data Pads
137,2020-10-12,3296.0,Graph & Data Pads
138,2020-10-13,2632.0,Graph & Data Pads
139,2020-10-14,2632.0,Graph & Data Pads
140,2020-10-15,2632.0,Graph & Data Pads
141,2020-10-16,3947.0,Graph & Data Pads
142,2020-10-17,3947.0,Graph & Data Pads
143,2020-10-18,3193.0,Graph & Data Pads
144,2020-10-19,3193.0,Graph & Data Pads
145,2020-10-20,3193.0,Graph & Data Pads
146,2020-10-21,3792.0,Graph & Data Pads
147,2020-10-22,3792.0,Graph & Data Pads
148,2020-10-23,3792.0,Graph & Data Pads
149,2020-10-24,4155.0,Graph & Data Pads
150,2020-10-25,4155.0,Graph & Data Pads
151,2020-10-26,4155.0,Graph & Data Pads
152,2020-10-27,3241.0,Graph & Data Pads
153,2020-10-28,3241.0,Graph & Data Pads
154,2020-10-29,3241.0,Graph & Data Pads
155,2020-10-30,3241.0,Graph & Data Pads
156,2020-10-31,3241.0,Graph & Data Pads
157,2020-11-01,3241.0,Graph & Data Pads
158,2020-11-02,3241.0,Graph & Data Pads
159,2020-11-03,12207.0,Graph & Data Pads
160,2020-11-04,12207.0,Graph & Data Pads
161,2020-11-05,12207.0,Graph & Data Pads
162,2020-11-06,12207.0,Graph & Data Pads
163,2020-11-07,8932.0,Graph & Data Pads
164,2020-11-08,9033.0,Graph & Data Pads
165,2020-11-09,9033.0,Graph & Data Pads
166,2020-11-10,9033.0,Graph & Data Pads
167,2020-11-11,9498.0,Graph & Data Pads
168,2020-11-12,7953.0,Graph & Data Pads
169,2020-11-13,6228.0,Graph & Data Pads
170,2020-11-14,6228.0,Graph & Data Pads
171,2020-11-15,6228.0,Graph & Data Pads
172,2020-11-16,6228.0,Graph & Data Pads
173,2020-11-17,9503.0,Graph & Data Pads
174,2020-11-18,9503.0,Graph & Data Pads
175,2020-11-19,9503.0,Graph & Data Pads
176,2020-11-20,9503.0,Graph & Data Pads
177,2020-11-21,9382.0,Graph & Data Pads
178,2020-11-22,9382.0,Graph & Data Pads
179,2020-11-23,8169.0,Graph & Data Pads
180,2020-11-24,8169.0,Graph & Data Pads
181,2020-11-25,8169.0,Graph & Data Pads
182,2020-11-26,10947.0,Graph & Data Pads
183,2020-11-27,10947.0,Graph & Data Pads
184,2020-11-28,10947.0,Graph & Data Pads
185,2020-11-29,10947.0,Graph & Data Pads
186,2020-11-30,11823.0,Graph & Data Pads
187,2020-12-01,11823.0,Graph & Data Pads
188,2020-12-02,11823.0,Graph & Data Pads
189,2020-12-03,11803.0,Graph & Data Pads
190,2020-12-04,11803.0,Graph & Data Pads
191,2020-12-05,11803.0,Graph & Data Pads
192,2020-12-06,11128.0,Graph & Data Pads
193,2020-12-07,11128.0,Graph & Data Pads
194,2020-12-08,11128.0,Graph & Data Pads
195,2020-12-09,11128.0,Graph & Data Pads
196,2020-12-10,11128.0,Graph & Data Pads
197,2020-12-11,12647.0,Graph & Data Pads
198,2020-12-12,12647.0,Graph & Data Pads
199,2020-12-13,10197.0,Graph & Data Pads
200,2020-12-14,10197.0,Graph & Data Pads
201,2020-12-15,10197.0,Graph & Data Pads
202,2020-12-16,7385.0,Graph & Data Pads
203,2020-12-17,7385.0,Graph & Data Pads
204,2020-12-18,7385.0,Graph & Data Pads
205,2020-12-19,7385.0,Graph & Data Pads
206,2020-12-20,7385.0,Graph & Data Pads
207,2020-12-21,7198.0,Graph & Data Pads
208,2020-12-22,7198.0,Graph & Data Pads
209,2020-12-23,7198.0,Graph & Data Pads
210,2020-12-24,7198.0,Graph & Data Pads
211,2020-12-25,6006.0,Graph & Data Pads
212,2020-12-26,6006.0,Graph & Data Pads
213,2020-12-27,6006.0,Graph & Data Pads
214,2020-12-28,6006.0,Graph & Data Pads
215,2020-12-29,7338.0,Graph & Data Pads
216,2020-12-30,7338.0,Graph & Data Pads
217,2020-12-31,7338.0,Graph & Data Pads
218,2021-01-01,7816.0,Graph & Data Pads
219,2021-01-02,7816.0,Graph & Data Pads
220,2021-01-03,7816.0,Graph & Data Pads
221,2021-01-04,7138.0,Graph & Data Pads
222,2021-01-05,7138.0,Graph & Data Pads
223,2021-01-06,7138.0,Graph & Data Pads
224,2021-01-07,7138.0,Graph & Data Pads
225,2021-01-08,4987.0,Graph & Data Pads
226,2021-01-09,4987.0,Graph & Data Pads
227,2021-01-10,4987.0,Graph & Data Pads
228,2021-01-11,4987.0,Graph & Data Pads
229,2021-01-12,6633.0,Graph & Data Pads
230,2021-01-13,6633.0,Graph & Data Pads
231,2021-01-14,6633.0,Graph & Data Pads
232,2021-01-15,7335.0,Graph & Data Pads
233,2021-01-16,6747.0,Graph & Data Pads
234,2021-01-17,6747.0,Graph & Data Pads
235,2021-01-18,6747.0,Graph & Data Pads
236,2021-01-19,8086.0,Graph & Data Pads
237,2021-01-20,6923.0,Graph & Data Pads
238,2021-01-21,7214.0,Graph & Data Pads
239,2021-01-22,7214.0,Graph & Data Pads
240,2021-01-23,7214.0,Graph & Data Pads
241,2021-01-24,7253.0,Graph & Data Pads
242,2021-01-25,7563.0,Graph & Data Pads
243,2021-01-26,7563.0,Graph & Data Pads
244,2021-01-27,8566.0,Graph & Data Pads
245,2021-01-28,8566.0,Graph & Data Pads
246,2021-01-29,8566.0,Graph & Data Pads
247,2021-01-30,7330.0,Graph & Data Pads
248,2021-01-31,7330.0,Graph & Data Pads
249,2021-02-01,7593.0,Graph & Data Pads
250,2021-02-02,7593.0,Graph & Data Pads
251,2021-02-03,7593.0,Graph & Data Pads
252,2021-02-04,6776.0,Graph & Data Pads
253,2021-02-05,6776.0,Graph & Data Pads
254,2021-02-06,6776.0,Graph & Data Pads
