,date,value,name_B08ZMLDCPJ
0,2021-04-28,2650.0,Hardcover Executive Notebooks
1,2021-04-29,3130.0,Hardcover Executive Notebooks
2,2021-04-30,3081.0,Hardcover Executive Notebooks
3,2021-05-01,3201.0,Hardcover Executive Notebooks
4,2021-05-02,3000.0,Hardcover Executive Notebooks
5,2021-05-03,3000.0,Hardcover Executive Notebooks
6,2021-05-04,3408.0,Hardcover Executive Notebooks
7,2021-05-05,2905.0,Hardcover Executive Notebooks
8,2021-05-06,3164.0,Hardcover Executive Notebooks
9,2021-05-07,3112.0,Hardcover Executive Notebooks
10,2021-05-08,4078.0,Hardcover Executive Notebooks
11,2021-05-09,3740.0,Hardcover Executive Notebooks
12,2021-05-10,2284.0,Hardcover Executive Notebooks
13,2021-05-11,2759.0,Hardcover Executive Notebooks
14,2021-05-12,2964.0,Hardcover Executive Notebooks
15,2021-05-13,2443.0,Hardcover Executive Notebooks
16,2021-05-14,2828.0,Hardcover Executive Notebooks
17,2021-05-15,2498.0,Hardcover Executive Notebooks
18,2021-05-16,3544.0,Hardcover Executive Notebooks
19,2021-05-17,2584.0,Hardcover Executive Notebooks
20,2021-05-18,2507.0,Hardcover Executive Notebooks
21,2021-05-19,2350.0,Hardcover Executive Notebooks
22,2021-05-20,2357.0,Hardcover Executive Notebooks
23,2021-05-21,2357.0,Hardcover Executive Notebooks
24,2021-05-22,2476.0,Hardcover Executive Notebooks
25,2021-05-23,2229.0,Hardcover Executive Notebooks
26,2021-05-24,2672.0,Hardcover Executive Notebooks
27,2021-05-25,2548.0,Hardcover Executive Notebooks
28,2021-05-26,2548.0,Hardcover Executive Notebooks
29,2021-05-27,2249.0,Hardcover Executive Notebooks
30,2021-05-28,2439.0,Hardcover Executive Notebooks
31,2021-05-29,2768.0,Hardcover Executive Notebooks
32,2021-05-30,2566.0,Hardcover Executive Notebooks
33,2021-05-31,2670.0,Hardcover Executive Notebooks
34,2021-06-01,2423.0,Hardcover Executive Notebooks
35,2021-06-02,2250.0,Hardcover Executive Notebooks
36,2021-06-03,2596.0,Hardcover Executive Notebooks
37,2021-06-04,2217.0,Hardcover Executive Notebooks
38,2021-06-05,2378.0,Hardcover Executive Notebooks
39,2021-06-06,2378.0,Hardcover Executive Notebooks
40,2021-06-07,2084.0,Hardcover Executive Notebooks
41,2021-06-08,2084.0,Hardcover Executive Notebooks
42,2021-06-09,2135.0,Hardcover Executive Notebooks
43,2021-06-10,2319.0,Hardcover Executive Notebooks
44,2021-06-11,1749.0,Hardcover Executive Notebooks
45,2021-06-12,1788.0,Hardcover Executive Notebooks
46,2021-06-13,1547.0,Hardcover Executive Notebooks
47,2021-06-14,1728.0,Hardcover Executive Notebooks
48,2021-06-15,1831.0,Hardcover Executive Notebooks
49,2021-06-16,2086.0,Hardcover Executive Notebooks
50,2021-06-17,1640.0,Hardcover Executive Notebooks
51,2021-06-18,2138.0,Hardcover Executive Notebooks
52,2021-06-19,1887.0,Hardcover Executive Notebooks
53,2021-06-20,1940.0,Hardcover Executive Notebooks
54,2021-06-21,2294.0,Hardcover Executive Notebooks
55,2021-06-22,2179.0,Hardcover Executive Notebooks
56,2021-06-23,96756.0,Hardcover Executive Notebooks
57,2021-06-24,130383.0,Hardcover Executive Notebooks
58,2021-06-25,145942.0,Hardcover Executive Notebooks
59,2021-06-26,610242.0,Hardcover Executive Notebooks
60,2021-06-27,653402.0,Hardcover Executive Notebooks
61,2021-06-28,738704.0,Hardcover Executive Notebooks
62,2021-06-29,199205.0,Hardcover Executive Notebooks
63,2021-06-30,199205.0,Hardcover Executive Notebooks
64,2021-07-01,219032.0,Hardcover Executive Notebooks
65,2021-07-02,231362.0,Hardcover Executive Notebooks
66,2021-07-03,236454.0,Hardcover Executive Notebooks
67,2021-07-04,238151.0,Hardcover Executive Notebooks
68,2021-07-05,239028.0,Hardcover Executive Notebooks
69,2021-07-06,239028.0,Hardcover Executive Notebooks
70,2021-07-07,248674.0,Hardcover Executive Notebooks
71,2021-07-08,259705.0,Hardcover Executive Notebooks
72,2021-07-09,266043.0,Hardcover Executive Notebooks
