,date,value,name_B07K6VCPKT
144,2020-10-18,48423.0,LED Bulbs
145,2020-10-19,48423.0,LED Bulbs
146,2020-10-20,48423.0,LED Bulbs
147,2020-10-21,48423.0,LED Bulbs
148,2020-10-22,48423.0,LED Bulbs
149,2020-10-23,48423.0,LED Bulbs
150,2020-10-24,48423.0,LED Bulbs
151,2020-10-25,48423.0,LED Bulbs
152,2020-10-26,45467.0,LED Bulbs
153,2020-10-27,45467.0,LED Bulbs
154,2020-10-28,45467.0,LED Bulbs
155,2020-10-29,45467.0,LED Bulbs
156,2020-10-30,45467.0,LED Bulbs
157,2020-10-31,45467.0,LED Bulbs
158,2020-11-01,45467.0,LED Bulbs
159,2020-11-02,45467.0,LED Bulbs
160,2020-11-03,45467.0,LED Bulbs
161,2020-11-04,59520.0,LED Bulbs
162,2020-11-05,59520.0,LED Bulbs
163,2020-11-06,59520.0,LED Bulbs
164,2020-11-07,59520.0,LED Bulbs
165,2020-11-08,59520.0,LED Bulbs
166,2020-11-09,59520.0,LED Bulbs
167,2020-11-10,59520.0,LED Bulbs
168,2020-11-11,59520.0,LED Bulbs
169,2020-11-12,59520.0,LED Bulbs
170,2020-11-13,59520.0,LED Bulbs
171,2020-11-14,59520.0,LED Bulbs
172,2020-11-15,59520.0,LED Bulbs
173,2020-11-16,59520.0,LED Bulbs
174,2020-11-17,59520.0,LED Bulbs
175,2020-11-18,59520.0,LED Bulbs
176,2020-11-19,66213.0,LED Bulbs
177,2020-11-20,48354.0,LED Bulbs
178,2020-11-21,48354.0,LED Bulbs
179,2020-11-22,48354.0,LED Bulbs
180,2020-11-23,48354.0,LED Bulbs
181,2020-11-24,48354.0,LED Bulbs
182,2020-11-25,48354.0,LED Bulbs
183,2020-11-26,48354.0,LED Bulbs
184,2020-11-27,48354.0,LED Bulbs
185,2020-11-28,48354.0,LED Bulbs
186,2020-11-29,48354.0,LED Bulbs
187,2020-11-30,85515.0,LED Bulbs
188,2020-12-01,85515.0,LED Bulbs
189,2020-12-02,85515.0,LED Bulbs
190,2020-12-03,85515.0,LED Bulbs
191,2020-12-04,85515.0,LED Bulbs
192,2020-12-05,85515.0,LED Bulbs
193,2020-12-06,85515.0,LED Bulbs
194,2020-12-07,85515.0,LED Bulbs
195,2020-12-08,85515.0,LED Bulbs
196,2020-12-09,85515.0,LED Bulbs
197,2020-12-10,85515.0,LED Bulbs
198,2020-12-11,85515.0,LED Bulbs
199,2020-12-12,81733.0,LED Bulbs
200,2020-12-13,81733.0,LED Bulbs
201,2020-12-14,81733.0,LED Bulbs
202,2020-12-15,81733.0,LED Bulbs
203,2020-12-16,81733.0,LED Bulbs
204,2020-12-17,81733.0,LED Bulbs
205,2020-12-18,84369.0,LED Bulbs
206,2020-12-19,84369.0,LED Bulbs
