,date,value,name_B08KTM7BQK
0,2020-10-12,39963.0,Ornaments
1,2020-10-13,39963.0,Ornaments
2,2020-10-14,29578.0,Ornaments
3,2020-10-15,34286.0,Ornaments
4,2020-10-16,33545.0,Ornaments
5,2020-10-17,33545.0,Ornaments
6,2020-10-18,19992.0,Ornaments
7,2020-10-19,19992.0,Ornaments
8,2020-10-20,19775.0,Ornaments
9,2020-10-21,19775.0,Ornaments
10,2020-10-22,15311.0,Ornaments
11,2020-10-23,15311.0,Ornaments
12,2020-10-24,15311.0,Ornaments
13,2020-10-25,11773.0,Ornaments
14,2020-10-26,13392.0,Ornaments
15,2020-10-27,13392.0,Ornaments
16,2020-10-28,8601.0,Ornaments
17,2020-10-29,9428.0,Ornaments
18,2020-10-30,9428.0,Ornaments
19,2020-10-31,9522.0,Ornaments
20,2020-11-01,9522.0,Ornaments
21,2020-11-02,5631.0,Ornaments
22,2020-11-03,5631.0,Ornaments
23,2020-11-04,5693.0,Ornaments
24,2020-11-05,5693.0,Ornaments
25,2020-11-06,5693.0,Ornaments
26,2020-11-07,3020.0,Ornaments
27,2020-11-08,2518.0,Ornaments
28,2020-11-09,2061.0,Ornaments
29,2020-11-10,2240.0,Ornaments
30,2020-11-11,2106.0,Ornaments
31,2020-11-12,2225.0,Ornaments
32,2020-11-13,1929.0,Ornaments
33,2020-11-14,1929.0,Ornaments
34,2020-11-15,2003.0,Ornaments
35,2020-11-16,2102.0,Ornaments
36,2020-11-17,2102.0,Ornaments
37,2020-11-18,2102.0,Ornaments
38,2020-11-19,1703.0,Ornaments
39,2020-11-20,1629.0,Ornaments
40,2020-11-21,1629.0,Ornaments
41,2020-11-22,925.0,Ornaments
42,2020-11-23,925.0,Ornaments
43,2020-11-24,935.0,Ornaments
44,2020-11-25,1101.0,Ornaments
45,2020-11-26,1134.0,Ornaments
46,2020-11-27,2023.0,Ornaments
47,2020-11-28,1570.0,Ornaments
48,2020-11-29,641.0,Ornaments
49,2020-11-30,431.0,Ornaments
50,2020-12-01,931.0,Ornaments
51,2020-12-02,931.0,Ornaments
52,2020-12-03,891.0,Ornaments
53,2020-12-04,825.0,Ornaments
54,2020-12-05,754.0,Ornaments
55,2020-12-06,835.0,Ornaments
56,2020-12-07,638.0,Ornaments
57,2020-12-08,638.0,Ornaments
58,2020-12-09,1062.0,Ornaments
59,2020-12-10,1243.0,Ornaments
60,2020-12-11,1492.0,Ornaments
61,2020-12-12,1872.0,Ornaments
62,2020-12-13,1595.0,Ornaments
63,2020-12-14,2082.0,Ornaments
64,2020-12-15,2613.0,Ornaments
65,2020-12-16,2941.0,Ornaments
66,2020-12-17,3730.0,Ornaments
67,2020-12-18,4955.0,Ornaments
68,2020-12-19,4615.0,Ornaments
69,2020-12-20,5380.0,Ornaments
70,2020-12-21,6218.0,Ornaments
71,2020-12-22,6953.0,Ornaments
72,2020-12-23,8079.0,Ornaments
73,2020-12-24,7739.0,Ornaments
74,2020-12-25,6956.0,Ornaments
75,2020-12-26,8446.0,Ornaments
76,2020-12-27,8464.0,Ornaments
77,2020-12-28,6859.0,Ornaments
78,2020-12-29,9490.0,Ornaments
79,2020-12-30,9552.0,Ornaments
80,2020-12-31,10006.0,Ornaments
81,2021-01-01,12147.0,Ornaments
82,2021-01-02,11918.0,Ornaments
83,2021-01-03,14798.0,Ornaments
84,2021-01-04,13326.0,Ornaments
85,2021-01-05,13492.0,Ornaments
86,2021-01-06,18596.0,Ornaments
87,2021-01-07,23910.0,Ornaments
88,2021-01-08,23922.0,Ornaments
89,2021-01-09,16809.0,Ornaments
90,2021-01-10,20108.0,Ornaments
91,2021-01-11,21265.0,Ornaments
92,2021-01-12,28087.0,Ornaments
93,2021-01-13,34864.0,Ornaments
94,2021-01-14,32991.0,Ornaments
95,2021-01-15,32991.0,Ornaments
96,2021-01-16,32991.0,Ornaments
97,2021-01-17,34863.0,Ornaments
98,2021-01-18,34863.0,Ornaments
99,2021-01-19,41574.0,Ornaments
100,2021-01-20,41574.0,Ornaments
101,2021-01-21,41574.0,Ornaments
102,2021-01-22,41574.0,Ornaments
103,2021-01-23,41574.0,Ornaments
104,2021-01-24,41574.0,Ornaments
105,2021-01-25,61960.0,Ornaments
106,2021-01-26,61960.0,Ornaments
107,2021-01-27,61960.0,Ornaments
108,2021-01-28,36555.0,Ornaments
109,2021-01-29,36555.0,Ornaments
110,2021-01-30,36555.0,Ornaments
111,2021-01-31,36555.0,Ornaments
112,2021-02-01,65182.0,Ornaments
113,2021-02-02,65182.0,Ornaments
114,2021-02-03,65182.0,Ornaments
115,2021-02-04,65182.0,Ornaments
116,2021-02-05,64949.0,Ornaments
117,2021-02-06,64949.0,Ornaments
118,2021-02-07,64949.0,Ornaments
119,2021-02-08,61569.0,Ornaments
120,2021-02-09,90123.0,Ornaments
121,2021-02-10,90123.0,Ornaments
122,2021-02-11,90123.0,Ornaments
123,2021-02-12,90123.0,Ornaments
124,2021-02-13,90123.0,Ornaments
125,2021-02-14,90123.0,Ornaments
126,2021-02-15,90123.0,Ornaments
127,2021-02-16,90123.0,Ornaments
128,2021-02-17,90123.0,Ornaments
129,2021-02-18,102029.0,Ornaments
130,2021-02-19,102029.0,Ornaments
131,2021-02-20,102029.0,Ornaments
132,2021-02-21,104156.0,Ornaments
133,2021-02-22,95127.0,Ornaments
134,2021-02-23,95127.0,Ornaments
135,2021-02-24,95127.0,Ornaments
136,2021-02-25,95127.0,Ornaments
137,2021-02-26,95127.0,Ornaments
138,2021-02-27,95127.0,Ornaments
139,2021-02-28,95127.0,Ornaments
140,2021-03-01,158972.0,Ornaments
141,2021-03-02,158972.0,Ornaments
142,2021-03-03,158972.0,Ornaments
143,2021-03-04,158972.0,Ornaments
144,2021-03-05,110320.0,Ornaments
145,2021-03-06,110320.0,Ornaments
146,2021-03-07,110320.0,Ornaments
147,2021-03-08,110320.0,Ornaments
148,2021-03-09,123054.0,Ornaments
149,2021-03-10,169833.0,Ornaments
150,2021-03-11,169833.0,Ornaments
151,2021-03-12,169833.0,Ornaments
152,2021-03-13,148903.0,Ornaments
153,2021-03-14,148903.0,Ornaments
154,2021-03-15,148903.0,Ornaments
155,2021-03-16,148903.0,Ornaments
156,2021-03-17,169688.0,Ornaments
157,2021-03-18,213912.0,Ornaments
158,2021-03-19,163919.0,Ornaments
159,2021-03-20,163919.0,Ornaments
160,2021-03-21,163919.0,Ornaments
161,2021-03-22,163919.0,Ornaments
162,2021-03-23,163919.0,Ornaments
163,2021-03-24,163919.0,Ornaments
164,2021-03-25,163919.0,Ornaments
165,2021-03-26,163919.0,Ornaments
166,2021-03-27,163919.0,Ornaments
167,2021-03-28,163919.0,Ornaments
168,2021-03-29,163919.0,Ornaments
169,2021-03-30,163919.0,Ornaments
170,2021-03-31,163919.0,Ornaments
171,2021-04-01,163919.0,Ornaments
172,2021-04-02,163919.0,Ornaments
173,2021-04-03,174525.0,Ornaments
174,2021-04-04,174525.0,Ornaments
175,2021-04-05,174525.0,Ornaments
176,2021-04-06,174525.0,Ornaments
177,2021-04-07,94511.0,Ornaments
178,2021-04-08,194939.0,Ornaments
179,2021-04-09,194939.0,Ornaments
180,2021-04-10,194939.0,Ornaments
181,2021-04-11,194939.0,Ornaments
182,2021-04-12,194939.0,Ornaments
183,2021-04-13,194939.0,Ornaments
184,2021-04-14,171381.0,Ornaments
185,2021-04-15,232373.0,Ornaments
186,2021-04-16,232373.0,Ornaments
187,2021-04-17,232373.0,Ornaments
188,2021-04-18,232373.0,Ornaments
189,2021-04-19,232373.0,Ornaments
190,2021-04-20,232373.0,Ornaments
191,2021-04-21,203570.0,Ornaments
192,2021-04-22,203570.0,Ornaments
193,2021-04-23,203570.0,Ornaments
194,2021-04-24,185977.0,Ornaments
195,2021-04-25,185977.0,Ornaments
196,2021-04-26,177523.0,Ornaments
197,2021-04-27,177523.0,Ornaments
198,2021-04-28,211177.0,Ornaments
199,2021-04-29,211177.0,Ornaments
200,2021-04-30,211177.0,Ornaments
201,2021-05-01,211177.0,Ornaments
202,2021-05-02,211177.0,Ornaments
203,2021-05-03,211177.0,Ornaments
204,2021-05-04,211177.0,Ornaments
205,2021-05-05,211177.0,Ornaments
206,2021-05-06,211177.0,Ornaments
207,2021-05-07,223031.0,Ornaments
208,2021-05-08,168662.0,Ornaments
209,2021-05-09,168662.0,Ornaments
210,2021-05-10,117941.0,Ornaments
211,2021-05-11,117941.0,Ornaments
212,2021-05-12,117941.0,Ornaments
213,2021-05-13,207815.0,Ornaments
214,2021-05-14,230981.0,Ornaments
215,2021-05-15,219268.0,Ornaments
216,2021-05-16,219268.0,Ornaments
217,2021-05-17,219268.0,Ornaments
218,2021-05-18,209576.0,Ornaments
219,2021-05-19,209576.0,Ornaments
220,2021-05-20,209576.0,Ornaments
221,2021-05-21,209576.0,Ornaments
222,2021-05-22,209576.0,Ornaments
223,2021-05-23,209576.0,Ornaments
224,2021-05-24,153088.0,Ornaments
225,2021-05-25,210184.0,Ornaments
226,2021-05-26,210184.0,Ornaments
227,2021-05-27,146252.0,Ornaments
228,2021-05-28,146252.0,Ornaments
229,2021-05-29,146252.0,Ornaments
230,2021-05-30,146252.0,Ornaments
231,2021-05-31,154143.0,Ornaments
232,2021-06-01,154143.0,Ornaments
233,2021-06-02,146664.0,Ornaments
234,2021-06-03,201808.0,Ornaments
235,2021-06-04,201808.0,Ornaments
236,2021-06-05,180096.0,Ornaments
237,2021-06-06,180096.0,Ornaments
238,2021-06-07,180096.0,Ornaments
239,2021-06-08,177098.0,Ornaments
240,2021-06-09,177098.0,Ornaments
241,2021-06-10,177098.0,Ornaments
242,2021-06-11,242735.0,Ornaments
243,2021-06-12,242735.0,Ornaments
244,2021-06-13,126287.0,Ornaments
245,2021-06-14,126287.0,Ornaments
246,2021-06-15,126287.0,Ornaments
247,2021-06-16,123131.0,Ornaments
248,2021-06-17,159433.0,Ornaments
249,2021-06-18,125981.0,Ornaments
250,2021-06-19,125981.0,Ornaments
251,2021-06-20,125981.0,Ornaments
252,2021-06-21,227190.0,Ornaments
253,2021-06-22,227190.0,Ornaments
254,2021-06-23,227190.0,Ornaments
255,2021-06-24,197382.0,Ornaments
256,2021-06-25,176493.0,Ornaments
257,2021-06-26,73828.0,Ornaments
258,2021-06-27,73828.0,Ornaments
259,2021-06-28,146733.0,Ornaments
260,2021-06-29,160694.0,Ornaments
261,2021-06-30,182112.0,Ornaments
262,2021-07-01,182112.0,Ornaments
263,2021-07-02,108997.0,Ornaments
264,2021-07-03,108997.0,Ornaments
265,2021-07-04,108997.0,Ornaments
266,2021-07-05,108997.0,Ornaments
267,2021-07-06,108997.0,Ornaments
268,2021-07-07,108997.0,Ornaments
269,2021-07-08,74055.0,Ornaments
270,2021-07-09,74055.0,Ornaments
271,2021-07-10,91446.0,Ornaments
