,date,value,name_B08J3P48VT
122,2021-03-15,7728.0,Drip Irrigation Kits
123,2021-03-16,8708.0,Drip Irrigation Kits
124,2021-03-17,8708.0,Drip Irrigation Kits
125,2021-03-18,7088.0,Drip Irrigation Kits
126,2021-03-19,7088.0,Drip Irrigation Kits
127,2021-03-20,9537.0,Drip Irrigation Kits
128,2021-03-21,8474.0,Drip Irrigation Kits
129,2021-03-22,8474.0,Drip Irrigation Kits
130,2021-03-23,8474.0,Drip Irrigation Kits
131,2021-03-24,9562.0,Drip Irrigation Kits
132,2021-03-25,9562.0,Drip Irrigation Kits
133,2021-03-26,9562.0,Drip Irrigation Kits
134,2021-03-27,6200.0,Drip Irrigation Kits
135,2021-03-28,6897.0,Drip Irrigation Kits
136,2021-03-29,7236.0,Drip Irrigation Kits
137,2021-03-30,7236.0,Drip Irrigation Kits
138,2021-03-31,7236.0,Drip Irrigation Kits
139,2021-04-01,5988.0,Drip Irrigation Kits
140,2021-04-02,6271.0,Drip Irrigation Kits
141,2021-04-03,6755.0,Drip Irrigation Kits
142,2021-04-04,6755.0,Drip Irrigation Kits
143,2021-04-05,6755.0,Drip Irrigation Kits
144,2021-04-06,3980.0,Drip Irrigation Kits
145,2021-04-07,3980.0,Drip Irrigation Kits
146,2021-04-08,4469.0,Drip Irrigation Kits
147,2021-04-09,4469.0,Drip Irrigation Kits
148,2021-04-10,4469.0,Drip Irrigation Kits
149,2021-04-11,4469.0,Drip Irrigation Kits
150,2021-04-12,6258.0,Drip Irrigation Kits
151,2021-04-13,7299.0,Drip Irrigation Kits
152,2021-04-14,4858.0,Drip Irrigation Kits
153,2021-04-15,5289.0,Drip Irrigation Kits
154,2021-04-16,6199.0,Drip Irrigation Kits
155,2021-04-17,6199.0,Drip Irrigation Kits
156,2021-04-18,6199.0,Drip Irrigation Kits
157,2021-04-19,5666.0,Drip Irrigation Kits
158,2021-04-20,5666.0,Drip Irrigation Kits
159,2021-04-21,7605.0,Drip Irrigation Kits
160,2021-04-22,7605.0,Drip Irrigation Kits
161,2021-04-23,7605.0,Drip Irrigation Kits
162,2021-04-24,9894.0,Drip Irrigation Kits
163,2021-04-25,9894.0,Drip Irrigation Kits
164,2021-04-26,8384.0,Drip Irrigation Kits
165,2021-04-27,8384.0,Drip Irrigation Kits
166,2021-04-28,8384.0,Drip Irrigation Kits
167,2021-04-29,9131.0,Drip Irrigation Kits
168,2021-04-30,9131.0,Drip Irrigation Kits
169,2021-05-01,6329.0,Drip Irrigation Kits
170,2021-05-02,6329.0,Drip Irrigation Kits
171,2021-05-03,9561.0,Drip Irrigation Kits
172,2021-05-04,9561.0,Drip Irrigation Kits
173,2021-05-05,5299.0,Drip Irrigation Kits
174,2021-05-06,6486.0,Drip Irrigation Kits
175,2021-05-07,6486.0,Drip Irrigation Kits
176,2021-05-08,6789.0,Drip Irrigation Kits
177,2021-05-09,6789.0,Drip Irrigation Kits
178,2021-05-10,5147.0,Drip Irrigation Kits
