,date,value,name_B07RWF8F1Y
0,2019-05-24,40910.0,Pool Hoses
1,2019-05-25,62607.0,Pool Hoses
2,2019-05-26,50978.0,Pool Hoses
3,2019-05-27,66214.0,Pool Hoses
4,2019-05-28,32312.0,Pool Hoses
5,2019-05-29,34388.0,Pool Hoses
6,2019-05-30,48967.0,Pool Hoses
7,2019-05-31,62808.0,Pool Hoses
8,2019-06-01,59028.0,Pool Hoses
9,2019-06-02,92485.0,Pool Hoses
10,2019-06-03,38866.0,Pool Hoses
11,2019-06-04,41666.0,Pool Hoses
12,2019-06-05,31715.0,Pool Hoses
13,2019-06-06,68696.0,Pool Hoses
14,2019-06-07,55776.0,Pool Hoses
15,2019-06-08,70018.0,Pool Hoses
16,2019-06-09,52491.0,Pool Hoses
17,2019-06-10,41530.0,Pool Hoses
18,2019-06-11,36305.0,Pool Hoses
19,2019-06-12,35515.0,Pool Hoses
20,2019-06-13,40385.0,Pool Hoses
21,2019-06-14,38473.0,Pool Hoses
22,2019-06-15,45329.0,Pool Hoses
23,2019-06-16,35574.0,Pool Hoses
24,2019-06-17,36536.0,Pool Hoses
25,2019-06-18,29502.0,Pool Hoses
26,2019-06-19,30861.0,Pool Hoses
27,2019-06-20,37852.0,Pool Hoses
28,2019-06-21,28554.0,Pool Hoses
29,2019-06-22,26231.0,Pool Hoses
30,2019-06-23,25364.0,Pool Hoses
31,2019-06-24,28961.0,Pool Hoses
32,2019-06-25,28961.0,Pool Hoses
33,2019-06-26,25947.0,Pool Hoses
34,2019-06-27,25947.0,Pool Hoses
35,2019-06-28,26354.0,Pool Hoses
36,2019-06-29,27747.0,Pool Hoses
37,2019-06-30,27747.0,Pool Hoses
38,2019-07-01,27747.0,Pool Hoses
39,2019-07-02,28783.0,Pool Hoses
40,2019-07-03,45411.0,Pool Hoses
41,2019-07-04,45411.0,Pool Hoses
42,2019-07-05,45411.0,Pool Hoses
43,2019-07-06,20548.0,Pool Hoses
44,2019-07-07,20548.0,Pool Hoses
45,2019-07-08,20539.0,Pool Hoses
46,2019-07-09,25012.0,Pool Hoses
47,2019-07-10,25012.0,Pool Hoses
48,2019-07-11,25012.0,Pool Hoses
49,2019-07-12,16466.0,Pool Hoses
50,2019-07-13,31042.0,Pool Hoses
51,2019-07-14,31042.0,Pool Hoses
52,2019-07-15,31042.0,Pool Hoses
53,2019-07-16,25232.0,Pool Hoses
54,2019-07-17,31262.0,Pool Hoses
55,2019-07-18,31262.0,Pool Hoses
56,2019-07-19,25390.0,Pool Hoses
57,2019-07-20,25390.0,Pool Hoses
58,2019-07-21,25390.0,Pool Hoses
59,2019-07-22,15799.0,Pool Hoses
60,2019-07-23,15799.0,Pool Hoses
61,2019-07-24,15799.0,Pool Hoses
62,2019-07-25,35474.0,Pool Hoses
63,2019-07-26,30137.0,Pool Hoses
64,2019-07-27,30137.0,Pool Hoses
65,2019-07-28,30137.0,Pool Hoses
66,2019-07-29,28337.0,Pool Hoses
67,2019-07-30,45337.0,Pool Hoses
68,2019-07-31,45337.0,Pool Hoses
69,2019-08-01,45337.0,Pool Hoses
70,2019-08-02,37556.0,Pool Hoses
71,2019-08-03,37556.0,Pool Hoses
72,2019-08-04,37556.0,Pool Hoses
73,2019-08-05,25402.0,Pool Hoses
74,2019-08-06,34138.0,Pool Hoses
75,2019-08-07,34138.0,Pool Hoses
76,2019-08-08,34138.0,Pool Hoses
77,2019-08-09,64560.0,Pool Hoses
78,2019-08-10,64560.0,Pool Hoses
79,2019-08-11,64560.0,Pool Hoses
80,2019-08-12,38767.0,Pool Hoses
81,2019-08-13,38767.0,Pool Hoses
82,2019-08-14,76204.0,Pool Hoses
83,2019-08-15,76204.0,Pool Hoses
84,2019-08-16,76204.0,Pool Hoses
85,2019-08-17,76204.0,Pool Hoses
86,2019-08-18,30299.0,Pool Hoses
87,2019-08-19,30299.0,Pool Hoses
88,2019-08-20,40440.0,Pool Hoses
89,2019-08-21,29432.0,Pool Hoses
90,2019-08-22,29432.0,Pool Hoses
91,2019-08-23,72366.0,Pool Hoses
92,2019-08-24,61012.0,Pool Hoses
93,2019-08-25,61012.0,Pool Hoses
94,2019-08-26,32570.0,Pool Hoses
95,2019-08-27,32570.0,Pool Hoses
96,2019-08-28,30291.0,Pool Hoses
97,2019-08-29,46262.0,Pool Hoses
98,2019-08-30,46262.0,Pool Hoses
99,2019-08-31,26260.0,Pool Hoses
100,2019-09-01,26260.0,Pool Hoses
101,2019-09-02,26260.0,Pool Hoses
102,2019-09-03,48616.0,Pool Hoses
103,2019-09-04,76787.0,Pool Hoses
104,2019-09-05,76787.0,Pool Hoses
105,2019-09-06,105096.0,Pool Hoses
106,2019-09-07,105096.0,Pool Hoses
107,2019-09-08,105096.0,Pool Hoses
108,2019-09-09,78372.0,Pool Hoses
109,2019-09-10,78372.0,Pool Hoses
110,2019-09-11,78372.0,Pool Hoses
111,2019-09-12,123208.0,Pool Hoses
112,2019-09-13,123208.0,Pool Hoses
113,2019-09-14,50194.0,Pool Hoses
114,2019-09-15,50194.0,Pool Hoses
115,2019-09-16,50194.0,Pool Hoses
116,2019-09-17,76877.0,Pool Hoses
117,2019-09-18,76877.0,Pool Hoses
118,2019-09-19,75615.0,Pool Hoses
119,2019-09-20,75615.0,Pool Hoses
120,2019-09-21,75615.0,Pool Hoses
121,2019-09-22,94161.0,Pool Hoses
122,2019-09-23,94161.0,Pool Hoses
123,2019-09-24,91497.0,Pool Hoses
124,2019-09-25,91497.0,Pool Hoses
125,2019-09-26,91497.0,Pool Hoses
126,2019-09-27,91497.0,Pool Hoses
127,2019-09-28,91497.0,Pool Hoses
128,2019-09-29,63731.0,Pool Hoses
129,2019-09-30,63731.0,Pool Hoses
130,2019-10-01,63731.0,Pool Hoses
131,2019-10-02,132791.0,Pool Hoses
132,2019-10-03,132791.0,Pool Hoses
133,2019-10-04,132791.0,Pool Hoses
134,2019-10-05,132791.0,Pool Hoses
135,2019-10-06,83616.0,Pool Hoses
136,2019-10-07,83616.0,Pool Hoses
137,2019-10-08,83616.0,Pool Hoses
138,2019-10-09,83616.0,Pool Hoses
139,2019-10-10,144819.0,Pool Hoses
140,2019-10-11,144819.0,Pool Hoses
141,2019-10-12,144819.0,Pool Hoses
142,2019-10-13,144819.0,Pool Hoses
143,2019-10-14,144819.0,Pool Hoses
144,2019-10-15,114353.0,Pool Hoses
145,2019-10-16,114353.0,Pool Hoses
146,2019-10-17,114353.0,Pool Hoses
147,2019-10-18,114353.0,Pool Hoses
148,2019-10-19,154312.0,Pool Hoses
149,2019-10-20,154312.0,Pool Hoses
150,2019-10-21,154312.0,Pool Hoses
151,2019-10-22,154312.0,Pool Hoses
152,2019-10-23,139920.0,Pool Hoses
