,date,value,name_B08YY1M9BD
0,2021-03-25,21803.0,Marijuana Tests
1,2021-03-26,21803.0,Marijuana Tests
2,2021-03-27,21803.0,Marijuana Tests
3,2021-03-28,21803.0,Marijuana Tests
4,2021-03-29,21803.0,Marijuana Tests
5,2021-03-30,26567.0,Marijuana Tests
6,2021-03-31,26567.0,Marijuana Tests
7,2021-04-01,31259.0,Marijuana Tests
8,2021-04-02,23159.0,Marijuana Tests
9,2021-04-03,23159.0,Marijuana Tests
10,2021-04-04,23159.0,Marijuana Tests
11,2021-04-05,23159.0,Marijuana Tests
12,2021-04-06,20661.0,Marijuana Tests
13,2021-04-07,20661.0,Marijuana Tests
14,2021-04-08,20230.0,Marijuana Tests
15,2021-04-09,20230.0,Marijuana Tests
16,2021-04-10,19438.0,Marijuana Tests
17,2021-04-11,19438.0,Marijuana Tests
18,2021-04-12,19438.0,Marijuana Tests
19,2021-04-13,20207.0,Marijuana Tests
20,2021-04-14,20207.0,Marijuana Tests
21,2021-04-15,22464.0,Marijuana Tests
22,2021-04-16,22464.0,Marijuana Tests
23,2021-04-17,22464.0,Marijuana Tests
24,2021-04-18,22464.0,Marijuana Tests
25,2021-04-19,22464.0,Marijuana Tests
26,2021-04-20,22464.0,Marijuana Tests
27,2021-04-21,21583.0,Marijuana Tests
28,2021-04-22,24502.0,Marijuana Tests
29,2021-04-23,24502.0,Marijuana Tests
30,2021-04-24,32340.0,Marijuana Tests
31,2021-04-25,32340.0,Marijuana Tests
32,2021-04-26,32340.0,Marijuana Tests
33,2021-04-27,26830.0,Marijuana Tests
34,2021-04-28,26830.0,Marijuana Tests
35,2021-04-29,22539.0,Marijuana Tests
36,2021-04-30,22539.0,Marijuana Tests
37,2021-05-01,22539.0,Marijuana Tests
38,2021-05-02,26135.0,Marijuana Tests
39,2021-05-03,26135.0,Marijuana Tests
40,2021-05-04,26135.0,Marijuana Tests
41,2021-05-05,23152.0,Marijuana Tests
42,2021-05-06,23152.0,Marijuana Tests
43,2021-05-07,20698.0,Marijuana Tests
44,2021-05-08,20698.0,Marijuana Tests
45,2021-05-09,20698.0,Marijuana Tests
46,2021-05-10,24070.0,Marijuana Tests
47,2021-05-11,24070.0,Marijuana Tests
48,2021-05-12,20214.0,Marijuana Tests
49,2021-05-13,20214.0,Marijuana Tests
50,2021-05-14,20214.0,Marijuana Tests
51,2021-05-15,20214.0,Marijuana Tests
52,2021-05-16,17657.0,Marijuana Tests
53,2021-05-17,21096.0,Marijuana Tests
54,2021-05-18,21096.0,Marijuana Tests
55,2021-05-19,21096.0,Marijuana Tests
56,2021-05-20,25099.0,Marijuana Tests
57,2021-05-21,21119.0,Marijuana Tests
58,2021-05-22,21119.0,Marijuana Tests
59,2021-05-23,27294.0,Marijuana Tests
60,2021-05-24,27294.0,Marijuana Tests
61,2021-05-25,27294.0,Marijuana Tests
62,2021-05-26,27294.0,Marijuana Tests
63,2021-05-27,27294.0,Marijuana Tests
64,2021-05-28,27294.0,Marijuana Tests
65,2021-05-29,20122.0,Marijuana Tests
66,2021-05-30,32289.0,Marijuana Tests
67,2021-05-31,32289.0,Marijuana Tests
68,2021-06-01,32289.0,Marijuana Tests
69,2021-06-02,32289.0,Marijuana Tests
70,2021-06-03,32289.0,Marijuana Tests
71,2021-06-04,20309.0,Marijuana Tests
72,2021-06-05,20811.0,Marijuana Tests
73,2021-06-06,20811.0,Marijuana Tests
74,2021-06-07,21758.0,Marijuana Tests
75,2021-06-08,21633.0,Marijuana Tests
76,2021-06-09,21633.0,Marijuana Tests
77,2021-06-10,21633.0,Marijuana Tests
78,2021-06-11,21633.0,Marijuana Tests
79,2021-06-12,21633.0,Marijuana Tests
80,2021-06-13,21633.0,Marijuana Tests
81,2021-06-14,17289.0,Marijuana Tests
82,2021-06-15,17289.0,Marijuana Tests
83,2021-06-16,17289.0,Marijuana Tests
84,2021-06-17,19256.0,Marijuana Tests
85,2021-06-18,19256.0,Marijuana Tests
86,2021-06-19,19768.0,Marijuana Tests
87,2021-06-20,19768.0,Marijuana Tests
88,2021-06-21,22508.0,Marijuana Tests
89,2021-06-22,26917.0,Marijuana Tests
90,2021-06-23,26917.0,Marijuana Tests
91,2021-06-24,26917.0,Marijuana Tests
92,2021-06-25,29032.0,Marijuana Tests
93,2021-06-26,29032.0,Marijuana Tests
94,2021-06-27,29032.0,Marijuana Tests
95,2021-06-28,32138.0,Marijuana Tests
96,2021-06-29,27760.0,Marijuana Tests
97,2021-06-30,27760.0,Marijuana Tests
98,2021-07-01,19616.0,Marijuana Tests
99,2021-07-02,19616.0,Marijuana Tests
100,2021-07-03,19616.0,Marijuana Tests
101,2021-07-04,22852.0,Marijuana Tests
102,2021-07-05,22852.0,Marijuana Tests
103,2021-07-06,22852.0,Marijuana Tests
104,2021-07-07,22852.0,Marijuana Tests
105,2021-07-08,19560.0,Marijuana Tests
106,2021-07-09,24957.0,Marijuana Tests
