,date,value,name_B08RJ4XHS4
0,2021-01-21,122077.0,Meat
1,2021-01-22,68906.0,Meat
2,2021-01-23,72581.0,Meat
3,2021-01-24,72581.0,Meat
4,2021-01-25,72581.0,Meat
5,2021-01-26,128090.0,Meat
6,2021-01-27,128090.0,Meat
7,2021-01-28,128090.0,Meat
8,2021-01-29,105656.0,Meat
9,2021-01-30,139153.0,Meat
10,2021-01-31,82310.0,Meat
11,2021-02-01,82310.0,Meat
12,2021-02-02,57229.0,Meat
13,2021-02-03,44973.0,Meat
14,2021-02-04,49489.0,Meat
15,2021-02-05,51796.0,Meat
16,2021-02-06,56132.0,Meat
17,2021-02-07,37363.0,Meat
18,2021-02-08,43653.0,Meat
19,2021-02-09,43559.0,Meat
20,2021-02-10,26930.0,Meat
21,2021-02-11,26930.0,Meat
22,2021-02-12,25736.0,Meat
23,2021-02-13,33984.0,Meat
24,2021-02-14,39846.0,Meat
25,2021-02-15,41314.0,Meat
26,2021-02-16,50382.0,Meat
27,2021-02-17,30376.0,Meat
28,2021-02-18,27968.0,Meat
29,2021-02-19,16709.0,Meat
30,2021-02-20,20338.0,Meat
31,2021-02-21,30774.0,Meat
32,2021-02-22,48735.0,Meat
33,2021-02-23,41595.0,Meat
34,2021-02-24,37786.0,Meat
35,2021-02-25,49973.0,Meat
36,2021-02-26,36227.0,Meat
37,2021-02-27,48262.0,Meat
38,2021-02-28,53370.0,Meat
39,2021-03-01,26317.0,Meat
40,2021-03-02,55813.0,Meat
41,2021-03-03,55883.0,Meat
42,2021-03-04,64781.0,Meat
43,2021-03-05,69233.0,Meat
44,2021-03-06,105206.0,Meat
45,2021-03-07,56394.0,Meat
46,2021-03-08,86494.0,Meat
47,2021-03-09,108817.0,Meat
48,2021-03-10,158382.0,Meat
49,2021-03-11,182053.0,Meat
50,2021-03-12,194610.0,Meat
51,2021-03-13,194610.0,Meat
52,2021-03-14,194610.0,Meat
53,2021-03-15,90121.0,Meat
54,2021-03-16,97573.0,Meat
55,2021-03-17,112706.0,Meat
56,2021-03-18,105763.0,Meat
57,2021-03-19,119511.0,Meat
58,2021-03-20,119511.0,Meat
59,2021-03-21,88765.0,Meat
60,2021-03-22,126674.0,Meat
61,2021-03-23,139054.0,Meat
62,2021-03-24,80416.0,Meat
63,2021-03-25,81370.0,Meat
64,2021-03-26,82959.0,Meat
65,2021-03-27,76003.0,Meat
66,2021-03-28,31742.0,Meat
67,2021-03-29,42379.0,Meat
68,2021-03-30,42072.0,Meat
69,2021-03-31,45734.0,Meat
70,2021-04-01,54832.0,Meat
71,2021-04-02,79836.0,Meat
72,2021-04-03,90689.0,Meat
73,2021-04-04,106215.0,Meat
74,2021-04-05,142922.0,Meat
75,2021-04-06,156459.0,Meat
76,2021-04-07,181750.0,Meat
77,2021-04-08,196659.0,Meat
78,2021-04-09,141516.0,Meat
79,2021-04-10,80527.0,Meat
80,2021-04-11,147269.0,Meat
81,2021-04-12,198308.0,Meat
82,2021-04-13,198308.0,Meat
83,2021-04-14,107975.0,Meat
84,2021-04-15,144731.0,Meat
85,2021-04-16,147480.0,Meat
86,2021-04-17,172057.0,Meat
87,2021-04-18,199539.0,Meat
88,2021-04-19,94487.0,Meat
89,2021-04-20,128739.0,Meat
90,2021-04-21,120453.0,Meat
91,2021-04-22,147085.0,Meat
92,2021-04-23,84333.0,Meat
93,2021-04-24,73998.0,Meat
94,2021-04-25,132088.0,Meat
95,2021-04-26,78628.0,Meat
96,2021-04-27,54645.0,Meat
97,2021-04-28,67193.0,Meat
98,2021-04-29,105544.0,Meat
99,2021-04-30,81174.0,Meat
100,2021-05-01,114648.0,Meat
101,2021-05-02,40947.0,Meat
102,2021-05-03,16647.0,Meat
103,2021-05-04,23541.0,Meat
104,2021-05-05,28936.0,Meat
105,2021-05-06,34525.0,Meat
106,2021-05-07,41448.0,Meat
107,2021-05-08,36618.0,Meat
108,2021-05-09,31093.0,Meat
109,2021-05-10,22421.0,Meat
110,2021-05-11,24513.0,Meat
111,2021-05-12,26850.0,Meat
112,2021-05-13,30006.0,Meat
113,2021-05-14,33540.0,Meat
114,2021-05-15,35028.0,Meat
115,2021-05-16,19824.0,Meat
116,2021-05-17,24051.0,Meat
117,2021-05-18,23651.0,Meat
118,2021-05-19,12642.0,Meat
119,2021-05-20,20267.0,Meat
120,2021-05-21,18627.0,Meat
121,2021-05-22,21211.0,Meat
122,2021-05-23,33561.0,Meat
123,2021-05-24,31990.0,Meat
124,2021-05-25,51306.0,Meat
