,date,value,name_B07KBG67ZW
0,2020-05-25,28187.0,Manual Toothbrushes
1,2020-05-26,28187.0,Manual Toothbrushes
2,2020-05-27,27340.0,Manual Toothbrushes
3,2020-05-28,25576.0,Manual Toothbrushes
4,2020-05-29,25576.0,Manual Toothbrushes
5,2020-05-30,25576.0,Manual Toothbrushes
6,2020-05-31,25576.0,Manual Toothbrushes
7,2020-06-01,26491.0,Manual Toothbrushes
8,2020-06-02,24024.0,Manual Toothbrushes
9,2020-06-03,25606.0,Manual Toothbrushes
10,2020-06-04,23049.0,Manual Toothbrushes
11,2020-06-05,23049.0,Manual Toothbrushes
12,2020-06-06,23049.0,Manual Toothbrushes
13,2020-06-07,23251.0,Manual Toothbrushes
14,2020-06-08,24873.0,Manual Toothbrushes
15,2020-06-09,19662.0,Manual Toothbrushes
16,2020-06-10,21150.0,Manual Toothbrushes
17,2020-06-11,19298.0,Manual Toothbrushes
18,2020-06-12,19298.0,Manual Toothbrushes
19,2020-06-13,19298.0,Manual Toothbrushes
20,2020-06-14,19298.0,Manual Toothbrushes
21,2020-06-15,26288.0,Manual Toothbrushes
22,2020-06-16,26261.0,Manual Toothbrushes
23,2020-06-17,26261.0,Manual Toothbrushes
24,2020-06-18,21518.0,Manual Toothbrushes
25,2020-06-19,21518.0,Manual Toothbrushes
26,2020-06-20,26681.0,Manual Toothbrushes
27,2020-06-21,26681.0,Manual Toothbrushes
28,2020-06-22,21372.0,Manual Toothbrushes
29,2020-06-23,24722.0,Manual Toothbrushes
30,2020-06-24,26174.0,Manual Toothbrushes
31,2020-06-25,20624.0,Manual Toothbrushes
32,2020-06-26,26155.0,Manual Toothbrushes
33,2020-06-27,26155.0,Manual Toothbrushes
34,2020-06-28,26155.0,Manual Toothbrushes
35,2020-06-29,19097.0,Manual Toothbrushes
36,2020-06-30,19097.0,Manual Toothbrushes
37,2020-07-01,22978.0,Manual Toothbrushes
38,2020-07-02,21442.0,Manual Toothbrushes
39,2020-07-03,23361.0,Manual Toothbrushes
40,2020-07-04,23361.0,Manual Toothbrushes
41,2020-07-05,30307.0,Manual Toothbrushes
42,2020-07-06,34281.0,Manual Toothbrushes
43,2020-07-07,36540.0,Manual Toothbrushes
44,2020-07-08,36540.0,Manual Toothbrushes
45,2020-07-09,36540.0,Manual Toothbrushes
46,2020-07-10,22264.0,Manual Toothbrushes
47,2020-07-11,23649.0,Manual Toothbrushes
48,2020-07-12,23649.0,Manual Toothbrushes
49,2020-07-13,27094.0,Manual Toothbrushes
50,2020-07-14,24245.0,Manual Toothbrushes
51,2020-07-15,24245.0,Manual Toothbrushes
52,2020-07-16,26152.0,Manual Toothbrushes
53,2020-07-17,21808.0,Manual Toothbrushes
54,2020-07-18,21808.0,Manual Toothbrushes
55,2020-07-19,27451.0,Manual Toothbrushes
56,2020-07-20,27451.0,Manual Toothbrushes
57,2020-07-21,24708.0,Manual Toothbrushes
58,2020-07-22,26803.0,Manual Toothbrushes
59,2020-07-23,29118.0,Manual Toothbrushes
60,2020-07-24,29118.0,Manual Toothbrushes
61,2020-07-25,29118.0,Manual Toothbrushes
62,2020-07-26,29118.0,Manual Toothbrushes
63,2020-07-27,45241.0,Manual Toothbrushes
64,2020-07-28,30201.0,Manual Toothbrushes
65,2020-07-29,29566.0,Manual Toothbrushes
66,2020-07-30,23760.0,Manual Toothbrushes
67,2020-07-31,21598.0,Manual Toothbrushes
68,2020-08-01,21598.0,Manual Toothbrushes
69,2020-08-02,31091.0,Manual Toothbrushes
70,2020-08-03,31091.0,Manual Toothbrushes
71,2020-08-04,31091.0,Manual Toothbrushes
72,2020-08-05,28136.0,Manual Toothbrushes
73,2020-08-06,32517.0,Manual Toothbrushes
74,2020-08-07,32517.0,Manual Toothbrushes
75,2020-08-08,32517.0,Manual Toothbrushes
76,2020-08-09,27458.0,Manual Toothbrushes
77,2020-08-10,36466.0,Manual Toothbrushes
78,2020-08-11,32425.0,Manual Toothbrushes
79,2020-08-12,32773.0,Manual Toothbrushes
80,2020-08-13,32773.0,Manual Toothbrushes
81,2020-08-14,26327.0,Manual Toothbrushes
82,2020-08-15,25138.0,Manual Toothbrushes
83,2020-08-16,31357.0,Manual Toothbrushes
84,2020-08-17,31357.0,Manual Toothbrushes
85,2020-08-18,33174.0,Manual Toothbrushes
86,2020-08-19,33174.0,Manual Toothbrushes
87,2020-08-20,27806.0,Manual Toothbrushes
88,2020-08-21,27806.0,Manual Toothbrushes
89,2020-08-22,27806.0,Manual Toothbrushes
90,2020-08-23,30707.0,Manual Toothbrushes
91,2020-08-24,30707.0,Manual Toothbrushes
92,2020-08-25,27341.0,Manual Toothbrushes
93,2020-08-26,24641.0,Manual Toothbrushes
94,2020-08-27,24641.0,Manual Toothbrushes
