,date,value,name_B08RXS7QTR
117,2021-06-20,6571.0,Augers & Posthole Diggers
118,2021-06-21,6650.0,Augers & Posthole Diggers
119,2021-06-22,6904.0,Augers & Posthole Diggers
120,2021-06-23,6624.0,Augers & Posthole Diggers
121,2021-06-24,6904.0,Augers & Posthole Diggers
122,2021-06-25,6509.0,Augers & Posthole Diggers
123,2021-06-26,9007.0,Augers & Posthole Diggers
124,2021-06-27,17681.0,Augers & Posthole Diggers
125,2021-06-28,30058.0,Augers & Posthole Diggers
126,2021-06-29,22153.0,Augers & Posthole Diggers
127,2021-06-30,11913.0,Augers & Posthole Diggers
128,2021-07-01,11312.0,Augers & Posthole Diggers
129,2021-07-02,9589.0,Augers & Posthole Diggers
130,2021-07-03,8543.0,Augers & Posthole Diggers
131,2021-07-04,7213.0,Augers & Posthole Diggers
132,2021-07-05,9140.0,Augers & Posthole Diggers
133,2021-07-06,7698.0,Augers & Posthole Diggers
134,2021-07-07,8065.0,Augers & Posthole Diggers
135,2021-07-08,6288.0,Augers & Posthole Diggers
136,2021-07-09,8432.0,Augers & Posthole Diggers
137,2021-07-10,9387.0,Augers & Posthole Diggers
