,date,value,name_B081DYSLTD
0,2020-05-22,1139.0,Motion Sickness & Nausea
1,2020-05-23,1139.0,Motion Sickness & Nausea
2,2020-05-24,972.0,Motion Sickness & Nausea
3,2020-05-25,972.0,Motion Sickness & Nausea
4,2020-05-26,944.0,Motion Sickness & Nausea
5,2020-05-27,965.0,Motion Sickness & Nausea
6,2020-05-28,915.0,Motion Sickness & Nausea
7,2020-05-29,956.0,Motion Sickness & Nausea
8,2020-05-30,956.0,Motion Sickness & Nausea
9,2020-05-31,956.0,Motion Sickness & Nausea
10,2020-06-01,1041.0,Motion Sickness & Nausea
11,2020-06-02,1041.0,Motion Sickness & Nausea
12,2020-06-03,1083.0,Motion Sickness & Nausea
13,2020-06-04,1083.0,Motion Sickness & Nausea
14,2020-06-05,1083.0,Motion Sickness & Nausea
15,2020-06-06,885.0,Motion Sickness & Nausea
16,2020-06-07,885.0,Motion Sickness & Nausea
17,2020-06-08,885.0,Motion Sickness & Nausea
18,2020-06-09,623.0,Motion Sickness & Nausea
19,2020-06-10,623.0,Motion Sickness & Nausea
20,2020-06-11,623.0,Motion Sickness & Nausea
21,2020-06-12,623.0,Motion Sickness & Nausea
22,2020-06-13,648.0,Motion Sickness & Nausea
23,2020-06-14,648.0,Motion Sickness & Nausea
24,2020-06-15,659.0,Motion Sickness & Nausea
25,2020-06-16,717.0,Motion Sickness & Nausea
26,2020-06-17,717.0,Motion Sickness & Nausea
27,2020-06-18,717.0,Motion Sickness & Nausea
28,2020-06-19,730.0,Motion Sickness & Nausea
29,2020-06-20,730.0,Motion Sickness & Nausea
30,2020-06-21,730.0,Motion Sickness & Nausea
31,2020-06-22,443.0,Motion Sickness & Nausea
32,2020-06-23,465.0,Motion Sickness & Nausea
33,2020-06-24,533.0,Motion Sickness & Nausea
34,2020-06-25,559.0,Motion Sickness & Nausea
35,2020-06-26,598.0,Motion Sickness & Nausea
36,2020-06-27,598.0,Motion Sickness & Nausea
37,2020-06-28,598.0,Motion Sickness & Nausea
38,2020-06-29,530.0,Motion Sickness & Nausea
39,2020-06-30,526.0,Motion Sickness & Nausea
40,2020-07-01,557.0,Motion Sickness & Nausea
41,2020-07-02,567.0,Motion Sickness & Nausea
42,2020-07-03,567.0,Motion Sickness & Nausea
43,2020-07-04,621.0,Motion Sickness & Nausea
44,2020-07-05,621.0,Motion Sickness & Nausea
45,2020-07-06,581.0,Motion Sickness & Nausea
46,2020-07-07,500.0,Motion Sickness & Nausea
47,2020-07-08,546.0,Motion Sickness & Nausea
48,2020-07-09,599.0,Motion Sickness & Nausea
49,2020-07-10,599.0,Motion Sickness & Nausea
50,2020-07-11,593.0,Motion Sickness & Nausea
51,2020-07-12,593.0,Motion Sickness & Nausea
52,2020-07-13,516.0,Motion Sickness & Nausea
53,2020-07-14,516.0,Motion Sickness & Nausea
54,2020-07-15,601.0,Motion Sickness & Nausea
55,2020-07-16,601.0,Motion Sickness & Nausea
56,2020-07-17,601.0,Motion Sickness & Nausea
57,2020-07-18,618.0,Motion Sickness & Nausea
58,2020-07-19,618.0,Motion Sickness & Nausea
59,2020-07-20,549.0,Motion Sickness & Nausea
60,2020-07-21,524.0,Motion Sickness & Nausea
61,2020-07-22,524.0,Motion Sickness & Nausea
62,2020-07-23,627.0,Motion Sickness & Nausea
63,2020-07-24,631.0,Motion Sickness & Nausea
64,2020-07-25,631.0,Motion Sickness & Nausea
65,2020-07-26,631.0,Motion Sickness & Nausea
66,2020-07-27,514.0,Motion Sickness & Nausea
67,2020-07-28,514.0,Motion Sickness & Nausea
68,2020-07-29,607.0,Motion Sickness & Nausea
69,2020-07-30,600.0,Motion Sickness & Nausea
70,2020-07-31,600.0,Motion Sickness & Nausea
71,2020-08-01,600.0,Motion Sickness & Nausea
72,2020-08-02,513.0,Motion Sickness & Nausea
73,2020-08-03,528.0,Motion Sickness & Nausea
