,date,value,name_B07SRT3ZK4
0,2020-03-27,3300.0,Garden Netting
1,2020-03-28,2968.0,Garden Netting
2,2020-03-29,3365.0,Garden Netting
3,2020-03-30,3365.0,Garden Netting
4,2020-03-31,3365.0,Garden Netting
5,2020-04-01,2979.0,Garden Netting
6,2020-04-02,2979.0,Garden Netting
7,2020-04-03,2979.0,Garden Netting
8,2020-04-04,2979.0,Garden Netting
9,2020-04-05,2979.0,Garden Netting
10,2020-04-06,3852.0,Garden Netting
11,2020-04-07,3852.0,Garden Netting
12,2020-04-08,3540.0,Garden Netting
13,2020-04-09,3540.0,Garden Netting
14,2020-04-10,3100.0,Garden Netting
15,2020-04-11,2477.0,Garden Netting
16,2020-04-12,2477.0,Garden Netting
17,2020-04-13,2513.0,Garden Netting
18,2020-04-14,2609.0,Garden Netting
19,2020-04-15,2547.0,Garden Netting
20,2020-04-16,2547.0,Garden Netting
21,2020-04-17,2547.0,Garden Netting
22,2020-04-18,2547.0,Garden Netting
23,2020-04-19,4192.0,Garden Netting
24,2020-04-20,4192.0,Garden Netting
25,2020-04-21,3808.0,Garden Netting
26,2020-04-22,3711.0,Garden Netting
27,2020-04-23,3573.0,Garden Netting
28,2020-04-24,3576.0,Garden Netting
29,2020-04-25,5037.0,Garden Netting
30,2020-04-26,8673.0,Garden Netting
31,2020-04-27,9939.0,Garden Netting
32,2020-04-28,9424.0,Garden Netting
33,2020-04-29,9424.0,Garden Netting
34,2020-04-30,9424.0,Garden Netting
35,2020-05-01,9424.0,Garden Netting
36,2020-05-02,9424.0,Garden Netting
37,2020-05-03,10176.0,Garden Netting
38,2020-05-04,11422.0,Garden Netting
39,2020-05-05,12266.0,Garden Netting
40,2020-05-06,11824.0,Garden Netting
41,2020-05-07,11824.0,Garden Netting
42,2020-05-08,11824.0,Garden Netting
43,2020-05-09,11824.0,Garden Netting
44,2020-05-10,11824.0,Garden Netting
45,2020-05-11,7522.0,Garden Netting
46,2020-05-12,6571.0,Garden Netting
47,2020-05-13,6525.0,Garden Netting
48,2020-05-14,5500.0,Garden Netting
49,2020-05-15,8277.0,Garden Netting
50,2020-05-16,8277.0,Garden Netting
51,2020-05-17,7011.0,Garden Netting
52,2020-05-18,6885.0,Garden Netting
53,2020-05-19,5907.0,Garden Netting
54,2020-05-20,5907.0,Garden Netting
55,2020-05-21,8351.0,Garden Netting
56,2020-05-22,8351.0,Garden Netting
57,2020-05-23,8351.0,Garden Netting
58,2020-05-24,8351.0,Garden Netting
59,2020-05-25,20571.0,Garden Netting
60,2020-05-26,11794.0,Garden Netting
61,2020-05-27,11282.0,Garden Netting
62,2020-05-28,10494.0,Garden Netting
63,2020-05-29,9510.0,Garden Netting
64,2020-05-30,9510.0,Garden Netting
65,2020-05-31,9510.0,Garden Netting
66,2020-06-01,7331.0,Garden Netting
67,2020-06-02,7331.0,Garden Netting
68,2020-06-03,7060.0,Garden Netting
69,2020-06-04,7060.0,Garden Netting
70,2020-06-05,4891.0,Garden Netting
71,2020-06-06,5767.0,Garden Netting
72,2020-06-07,5767.0,Garden Netting
73,2020-06-08,5767.0,Garden Netting
74,2020-06-09,7699.0,Garden Netting
75,2020-06-10,7699.0,Garden Netting
76,2020-06-11,7699.0,Garden Netting
77,2020-06-12,14968.0,Garden Netting
78,2020-06-13,14968.0,Garden Netting
79,2020-06-14,21506.0,Garden Netting
80,2020-06-15,21208.0,Garden Netting
81,2020-06-16,24092.0,Garden Netting
82,2020-06-17,32644.0,Garden Netting
83,2020-06-18,32644.0,Garden Netting
84,2020-06-19,9599.0,Garden Netting
85,2020-06-20,9599.0,Garden Netting
86,2020-06-21,9599.0,Garden Netting
87,2020-06-22,9599.0,Garden Netting
88,2020-06-23,6086.0,Garden Netting
89,2020-06-24,4564.0,Garden Netting
90,2020-06-25,3840.0,Garden Netting
91,2020-06-26,3050.0,Garden Netting
92,2020-06-27,3852.0,Garden Netting
93,2020-06-28,3852.0,Garden Netting
94,2020-06-29,3252.0,Garden Netting
95,2020-06-30,3252.0,Garden Netting
96,2020-07-01,3252.0,Garden Netting
97,2020-07-02,5178.0,Garden Netting
98,2020-07-03,5178.0,Garden Netting
99,2020-07-04,5178.0,Garden Netting
100,2020-07-05,5178.0,Garden Netting
101,2020-07-06,5178.0,Garden Netting
102,2020-07-07,7508.0,Garden Netting
103,2020-07-08,7508.0,Garden Netting
104,2020-07-09,9909.0,Garden Netting
105,2020-07-10,9909.0,Garden Netting
106,2020-07-11,7033.0,Garden Netting
107,2020-07-12,7033.0,Garden Netting
108,2020-07-13,7033.0,Garden Netting
