,date,value,name_B07PTY129F
0,2020-05-25,4873.0,Dry
1,2020-05-26,4873.0,Dry
2,2020-05-27,4748.0,Dry
3,2020-05-28,4748.0,Dry
4,2020-05-29,4961.0,Dry
5,2020-05-30,5140.0,Dry
6,2020-05-31,5140.0,Dry
7,2020-06-01,4502.0,Dry
8,2020-06-02,4502.0,Dry
9,2020-06-03,4682.0,Dry
10,2020-06-04,4682.0,Dry
11,2020-06-05,6140.0,Dry
12,2020-06-06,6140.0,Dry
13,2020-06-07,6140.0,Dry
14,2020-06-08,5554.0,Dry
15,2020-06-09,5554.0,Dry
16,2020-06-10,5010.0,Dry
17,2020-06-11,4849.0,Dry
18,2020-06-12,4487.0,Dry
19,2020-06-13,4487.0,Dry
20,2020-06-14,4487.0,Dry
21,2020-06-15,5117.0,Dry
22,2020-06-16,4683.0,Dry
23,2020-06-17,4683.0,Dry
24,2020-06-18,4683.0,Dry
25,2020-06-19,4455.0,Dry
26,2020-06-20,4455.0,Dry
27,2020-06-21,4455.0,Dry
28,2020-06-22,5190.0,Dry
29,2020-06-23,5190.0,Dry
30,2020-06-24,4673.0,Dry
31,2020-06-25,5368.0,Dry
32,2020-06-26,5368.0,Dry
33,2020-06-27,5368.0,Dry
34,2020-06-28,4259.0,Dry
35,2020-06-29,4259.0,Dry
36,2020-06-30,4259.0,Dry
37,2020-07-01,4409.0,Dry
38,2020-07-02,4409.0,Dry
39,2020-07-03,4409.0,Dry
40,2020-07-04,4961.0,Dry
41,2020-07-05,4961.0,Dry
42,2020-07-06,4961.0,Dry
43,2020-07-07,4770.0,Dry
44,2020-07-08,4405.0,Dry
45,2020-07-09,5077.0,Dry
46,2020-07-10,5515.0,Dry
47,2020-07-11,5515.0,Dry
48,2020-07-12,5336.0,Dry
49,2020-07-13,5336.0,Dry
50,2020-07-14,4701.0,Dry
51,2020-07-15,4701.0,Dry
52,2020-07-16,4723.0,Dry
53,2020-07-17,4750.0,Dry
54,2020-07-18,4750.0,Dry
55,2020-07-19,5057.0,Dry
56,2020-07-20,5018.0,Dry
57,2020-07-21,5018.0,Dry
58,2020-07-22,4296.0,Dry
59,2020-07-23,4296.0,Dry
60,2020-07-24,4958.0,Dry
61,2020-07-25,4958.0,Dry
62,2020-07-26,5300.0,Dry
63,2020-07-27,4080.0,Dry
64,2020-07-28,4080.0,Dry
65,2020-07-29,4230.0,Dry
66,2020-07-30,4271.0,Dry
67,2020-07-31,4680.0,Dry
68,2020-08-01,4680.0,Dry
69,2020-08-02,4680.0,Dry
70,2020-08-03,4125.0,Dry
71,2020-08-04,4125.0,Dry
72,2020-08-05,4330.0,Dry
73,2020-08-06,4330.0,Dry
74,2020-08-07,5054.0,Dry
75,2020-08-08,5054.0,Dry
76,2020-08-09,4754.0,Dry
77,2020-08-10,4754.0,Dry
78,2020-08-11,4834.0,Dry
79,2020-08-12,5216.0,Dry
80,2020-08-13,5216.0,Dry
81,2020-08-14,5216.0,Dry
82,2020-08-15,5727.0,Dry
83,2020-08-16,5452.0,Dry
84,2020-08-17,5452.0,Dry
85,2020-08-18,4766.0,Dry
86,2020-08-19,4766.0,Dry
87,2020-08-20,4575.0,Dry
88,2020-08-21,4575.0,Dry
89,2020-08-22,5422.0,Dry
90,2020-08-23,5422.0,Dry
91,2020-08-24,4573.0,Dry
92,2020-08-25,3939.0,Dry
93,2020-08-26,4335.0,Dry
94,2020-08-27,5000.0,Dry
95,2020-08-28,5000.0,Dry
96,2020-08-29,5000.0,Dry
97,2020-08-30,4093.0,Dry
98,2020-08-31,3904.0,Dry
99,2020-09-01,3904.0,Dry
100,2020-09-02,3904.0,Dry
101,2020-09-03,3840.0,Dry
102,2020-09-04,3840.0,Dry
103,2020-09-05,3840.0,Dry
104,2020-09-06,4426.0,Dry
105,2020-09-07,4069.0,Dry
106,2020-09-08,4603.0,Dry
107,2020-09-09,4603.0,Dry
108,2020-09-10,4384.0,Dry
109,2020-09-11,4634.0,Dry
110,2020-09-12,4634.0,Dry
111,2020-09-13,4634.0,Dry
112,2020-09-14,4210.0,Dry
113,2020-09-15,4913.0,Dry
114,2020-09-16,4444.0,Dry
115,2020-09-17,4070.0,Dry
116,2020-09-18,4070.0,Dry
117,2020-09-19,5863.0,Dry
118,2020-09-20,4833.0,Dry
119,2020-09-21,4833.0,Dry
120,2020-09-22,4061.0,Dry
121,2020-09-23,4272.0,Dry
122,2020-09-24,4202.0,Dry
123,2020-09-25,4202.0,Dry
124,2020-09-26,5363.0,Dry
125,2020-09-27,5031.0,Dry
126,2020-09-28,5031.0,Dry
127,2020-09-29,5031.0,Dry
128,2020-09-30,5746.0,Dry
129,2020-10-01,5358.0,Dry
130,2020-10-02,5161.0,Dry
131,2020-10-03,5161.0,Dry
132,2020-10-04,5161.0,Dry
133,2020-10-05,5142.0,Dry
134,2020-10-06,5142.0,Dry
135,2020-10-07,5192.0,Dry
136,2020-10-08,5192.0,Dry
137,2020-10-09,4682.0,Dry
138,2020-10-10,4680.0,Dry
139,2020-10-11,5007.0,Dry
140,2020-10-12,5578.0,Dry
141,2020-10-13,5403.0,Dry
142,2020-10-14,5981.0,Dry
143,2020-10-15,5981.0,Dry
144,2020-10-16,5981.0,Dry
145,2020-10-17,5618.0,Dry
146,2020-10-18,4847.0,Dry
147,2020-10-19,5185.0,Dry
148,2020-10-20,4941.0,Dry
149,2020-10-21,4642.0,Dry
150,2020-10-22,4210.0,Dry
151,2020-10-23,5429.0,Dry
152,2020-10-24,5429.0,Dry
153,2020-10-25,4693.0,Dry
154,2020-10-26,3556.0,Dry
155,2020-10-27,3556.0,Dry
156,2020-10-28,3556.0,Dry
157,2020-10-29,4307.0,Dry
158,2020-10-30,4307.0,Dry
159,2020-10-31,4307.0,Dry
160,2020-11-01,4780.0,Dry
161,2020-11-02,4443.0,Dry
162,2020-11-03,4443.0,Dry
163,2020-11-04,4268.0,Dry
164,2020-11-05,4764.0,Dry
