,date,value,name_B07R2DZQV8
144,2019-12-04,66070.0,Travel Pillows
145,2019-12-05,66070.0,Travel Pillows
146,2019-12-06,32889.0,Travel Pillows
147,2019-12-07,32889.0,Travel Pillows
148,2019-12-08,32889.0,Travel Pillows
149,2019-12-09,23791.0,Travel Pillows
150,2019-12-10,23791.0,Travel Pillows
151,2019-12-11,23791.0,Travel Pillows
152,2019-12-12,23791.0,Travel Pillows
153,2019-12-13,23791.0,Travel Pillows
154,2019-12-14,23791.0,Travel Pillows
155,2019-12-15,33797.0,Travel Pillows
156,2019-12-16,33797.0,Travel Pillows
157,2019-12-17,33797.0,Travel Pillows
158,2019-12-18,33797.0,Travel Pillows
159,2019-12-19,33797.0,Travel Pillows
160,2019-12-20,39324.0,Travel Pillows
161,2019-12-21,39324.0,Travel Pillows
162,2019-12-22,39324.0,Travel Pillows
163,2019-12-23,39324.0,Travel Pillows
164,2019-12-24,39324.0,Travel Pillows
165,2019-12-25,64200.0,Travel Pillows
166,2019-12-26,64200.0,Travel Pillows
167,2019-12-27,64200.0,Travel Pillows
168,2019-12-28,91140.0,Travel Pillows
169,2019-12-29,91140.0,Travel Pillows
170,2019-12-30,91140.0,Travel Pillows
171,2019-12-31,91140.0,Travel Pillows
172,2020-01-01,51297.0,Travel Pillows
173,2020-01-02,51297.0,Travel Pillows
174,2020-01-03,51297.0,Travel Pillows
175,2020-01-04,187358.0,Travel Pillows
176,2020-01-05,187358.0,Travel Pillows
177,2020-01-06,187358.0,Travel Pillows
178,2020-01-07,187358.0,Travel Pillows
179,2020-01-08,187358.0,Travel Pillows
180,2020-01-09,45643.0,Travel Pillows
181,2020-01-10,34467.0,Travel Pillows
182,2020-01-11,34467.0,Travel Pillows
183,2020-01-12,34467.0,Travel Pillows
184,2020-01-13,34467.0,Travel Pillows
185,2020-01-14,34467.0,Travel Pillows
186,2020-01-15,138630.0,Travel Pillows
187,2020-01-16,138630.0,Travel Pillows
188,2020-01-17,138630.0,Travel Pillows
189,2020-01-18,138630.0,Travel Pillows
190,2020-01-19,38398.0,Travel Pillows
191,2020-01-20,90298.0,Travel Pillows
192,2020-01-21,90298.0,Travel Pillows
193,2020-01-22,90298.0,Travel Pillows
194,2020-01-23,90298.0,Travel Pillows
195,2020-01-24,90298.0,Travel Pillows
196,2020-01-25,90298.0,Travel Pillows
197,2020-01-26,56439.0,Travel Pillows
198,2020-01-27,56439.0,Travel Pillows
199,2020-01-28,56439.0,Travel Pillows
200,2020-01-29,139488.0,Travel Pillows
201,2020-01-30,88109.0,Travel Pillows
202,2020-01-31,88109.0,Travel Pillows
203,2020-02-01,88109.0,Travel Pillows
204,2020-02-02,88109.0,Travel Pillows
205,2020-02-03,88109.0,Travel Pillows
206,2020-02-04,30608.0,Travel Pillows
207,2020-02-05,30608.0,Travel Pillows
208,2020-02-06,30608.0,Travel Pillows
209,2020-02-07,30608.0,Travel Pillows
210,2020-02-08,30608.0,Travel Pillows
211,2020-02-09,20036.0,Travel Pillows
212,2020-02-10,30126.0,Travel Pillows
213,2020-02-11,30126.0,Travel Pillows
214,2020-02-12,30126.0,Travel Pillows
215,2020-02-13,182257.0,Travel Pillows
216,2020-02-14,129991.0,Travel Pillows
217,2020-02-15,129991.0,Travel Pillows
218,2020-02-16,54645.0,Travel Pillows
219,2020-02-17,54645.0,Travel Pillows
220,2020-02-18,54645.0,Travel Pillows
221,2020-02-19,54645.0,Travel Pillows
222,2020-02-20,54645.0,Travel Pillows
223,2020-02-21,154537.0,Travel Pillows
224,2020-02-22,154537.0,Travel Pillows
225,2020-02-23,154537.0,Travel Pillows
226,2020-02-24,175405.0,Travel Pillows
227,2020-02-25,175405.0,Travel Pillows
228,2020-02-26,175405.0,Travel Pillows
229,2020-02-27,55245.0,Travel Pillows
230,2020-02-28,55245.0,Travel Pillows
231,2020-02-29,55245.0,Travel Pillows
232,2020-03-01,55245.0,Travel Pillows
233,2020-03-02,55245.0,Travel Pillows
234,2020-03-03,55245.0,Travel Pillows
235,2020-03-04,55245.0,Travel Pillows
236,2020-03-05,-1.0,Travel Pillows
