,date,value,name_B07GHN63CC
0,2020-05-26,2635.0,Ready to Drink
1,2020-05-27,2635.0,Ready to Drink
2,2020-05-28,2370.0,Ready to Drink
3,2020-05-29,2370.0,Ready to Drink
4,2020-05-30,2295.0,Ready to Drink
5,2020-05-31,2295.0,Ready to Drink
6,2020-06-01,2401.0,Ready to Drink
7,2020-06-02,2401.0,Ready to Drink
8,2020-06-03,2401.0,Ready to Drink
9,2020-06-04,2169.0,Ready to Drink
10,2020-06-05,2622.0,Ready to Drink
11,2020-06-06,2622.0,Ready to Drink
12,2020-06-07,2622.0,Ready to Drink
13,2020-06-08,2631.0,Ready to Drink
14,2020-06-09,2631.0,Ready to Drink
15,2020-06-10,2631.0,Ready to Drink
16,2020-06-11,2340.0,Ready to Drink
17,2020-06-12,2340.0,Ready to Drink
18,2020-06-13,2377.0,Ready to Drink
19,2020-06-14,2377.0,Ready to Drink
20,2020-06-15,2377.0,Ready to Drink
21,2020-06-16,2377.0,Ready to Drink
22,2020-06-17,2377.0,Ready to Drink
23,2020-06-18,2776.0,Ready to Drink
24,2020-06-19,2776.0,Ready to Drink
25,2020-06-20,2776.0,Ready to Drink
26,2020-06-21,3172.0,Ready to Drink
27,2020-06-22,3172.0,Ready to Drink
28,2020-06-23,3172.0,Ready to Drink
29,2020-06-24,3227.0,Ready to Drink
30,2020-06-25,3227.0,Ready to Drink
31,2020-06-26,3227.0,Ready to Drink
32,2020-06-27,3389.0,Ready to Drink
33,2020-06-28,3162.0,Ready to Drink
34,2020-06-29,3162.0,Ready to Drink
35,2020-06-30,3162.0,Ready to Drink
36,2020-07-01,2834.0,Ready to Drink
37,2020-07-02,3303.0,Ready to Drink
38,2020-07-03,3549.0,Ready to Drink
39,2020-07-04,3549.0,Ready to Drink
40,2020-07-05,3549.0,Ready to Drink
41,2020-07-06,2834.0,Ready to Drink
42,2020-07-07,2834.0,Ready to Drink
43,2020-07-08,3214.0,Ready to Drink
44,2020-07-09,3214.0,Ready to Drink
45,2020-07-10,2762.0,Ready to Drink
46,2020-07-11,2762.0,Ready to Drink
47,2020-07-12,2762.0,Ready to Drink
48,2020-07-13,2710.0,Ready to Drink
49,2020-07-14,2713.0,Ready to Drink
50,2020-07-15,2713.0,Ready to Drink
