,date,value,name_B07VGHZ46V
151,2020-11-17,58043.0,Badge Holders
152,2020-11-18,58043.0,Badge Holders
153,2020-11-19,58043.0,Badge Holders
154,2020-11-20,58043.0,Badge Holders
155,2020-11-21,58043.0,Badge Holders
156,2020-11-22,58043.0,Badge Holders
157,2020-11-23,54912.0,Badge Holders
158,2020-11-24,54912.0,Badge Holders
159,2020-11-25,54912.0,Badge Holders
160,2020-11-26,57637.0,Badge Holders
161,2020-11-27,57637.0,Badge Holders
162,2020-11-28,57637.0,Badge Holders
163,2020-11-29,36215.0,Badge Holders
164,2020-11-30,36215.0,Badge Holders
165,2020-12-01,36215.0,Badge Holders
166,2020-12-02,36215.0,Badge Holders
167,2020-12-03,56788.0,Badge Holders
168,2020-12-04,56788.0,Badge Holders
169,2020-12-05,56788.0,Badge Holders
170,2020-12-06,56788.0,Badge Holders
171,2020-12-07,56788.0,Badge Holders
172,2020-12-08,56788.0,Badge Holders
173,2020-12-09,56788.0,Badge Holders
174,2020-12-10,47242.0,Badge Holders
175,2020-12-11,47242.0,Badge Holders
176,2020-12-12,47242.0,Badge Holders
177,2020-12-13,47242.0,Badge Holders
178,2020-12-14,47242.0,Badge Holders
179,2020-12-15,47242.0,Badge Holders
180,2020-12-16,71239.0,Badge Holders
181,2020-12-17,71239.0,Badge Holders
182,2020-12-18,71239.0,Badge Holders
183,2020-12-19,71239.0,Badge Holders
184,2020-12-20,71239.0,Badge Holders
185,2020-12-21,71239.0,Badge Holders
186,2020-12-22,71239.0,Badge Holders
187,2020-12-23,71239.0,Badge Holders
188,2020-12-24,71239.0,Badge Holders
189,2020-12-25,71239.0,Badge Holders
190,2020-12-26,71239.0,Badge Holders
191,2020-12-27,71239.0,Badge Holders
192,2020-12-28,71239.0,Badge Holders
193,2020-12-29,71239.0,Badge Holders
194,2020-12-30,71239.0,Badge Holders
195,2020-12-31,71239.0,Badge Holders
196,2021-01-01,71239.0,Badge Holders
197,2021-01-02,71239.0,Badge Holders
198,2021-01-03,71239.0,Badge Holders
199,2021-01-04,71239.0,Badge Holders
200,2021-01-05,71239.0,Badge Holders
201,2021-01-06,49777.0,Badge Holders
202,2021-01-07,49777.0,Badge Holders
203,2021-01-08,49777.0,Badge Holders
204,2021-01-09,49777.0,Badge Holders
205,2021-01-10,49777.0,Badge Holders
206,2021-01-11,49777.0,Badge Holders
207,2021-01-12,49777.0,Badge Holders
208,2021-01-13,49777.0,Badge Holders
209,2021-01-14,49777.0,Badge Holders
210,2021-01-15,49777.0,Badge Holders
211,2021-01-16,49777.0,Badge Holders
212,2021-01-17,57721.0,Badge Holders
213,2021-01-18,57721.0,Badge Holders
214,2021-01-19,57721.0,Badge Holders
215,2021-01-20,57721.0,Badge Holders
216,2021-01-21,57721.0,Badge Holders
217,2021-01-22,57721.0,Badge Holders
218,2021-01-23,57721.0,Badge Holders
219,2021-01-24,57721.0,Badge Holders
220,2021-01-25,58651.0,Badge Holders
221,2021-01-26,58651.0,Badge Holders
222,2021-01-27,58651.0,Badge Holders
223,2021-01-28,58651.0,Badge Holders
224,2021-01-29,58651.0,Badge Holders
225,2021-01-30,58651.0,Badge Holders
226,2021-01-31,39546.0,Badge Holders
227,2021-02-01,39546.0,Badge Holders
228,2021-02-02,39546.0,Badge Holders
229,2021-02-03,39546.0,Badge Holders
230,2021-02-04,39546.0,Badge Holders
231,2021-02-05,39546.0,Badge Holders
232,2021-02-06,39546.0,Badge Holders
233,2021-02-07,39546.0,Badge Holders
234,2021-02-08,39546.0,Badge Holders
235,2021-02-09,39546.0,Badge Holders
236,2021-02-10,39546.0,Badge Holders
237,2021-02-11,20913.0,Badge Holders
238,2021-02-12,23924.0,Badge Holders
239,2021-02-13,23924.0,Badge Holders
240,2021-02-14,23924.0,Badge Holders
241,2021-02-15,23924.0,Badge Holders
242,2021-02-16,37049.0,Badge Holders
243,2021-02-17,37049.0,Badge Holders
244,2021-02-18,37049.0,Badge Holders
245,2021-02-19,37049.0,Badge Holders
246,2021-02-20,37049.0,Badge Holders
247,2021-02-21,37049.0,Badge Holders
248,2021-02-22,21243.0,Badge Holders
249,2021-02-23,21243.0,Badge Holders
250,2021-02-24,21243.0,Badge Holders
251,2021-02-25,21259.0,Badge Holders
252,2021-02-26,21259.0,Badge Holders
253,2021-02-27,21259.0,Badge Holders
254,2021-02-28,25357.0,Badge Holders
255,2021-03-01,25357.0,Badge Holders
256,2021-03-02,25357.0,Badge Holders
257,2021-03-03,19422.0,Badge Holders
258,2021-03-04,19422.0,Badge Holders
259,2021-03-05,19422.0,Badge Holders
260,2021-03-06,19422.0,Badge Holders
261,2021-03-07,19422.0,Badge Holders
262,2021-03-08,25987.0,Badge Holders
263,2021-03-09,25987.0,Badge Holders
264,2021-03-10,25987.0,Badge Holders
265,2021-03-11,17283.0,Badge Holders
266,2021-03-12,17283.0,Badge Holders
267,2021-03-13,17283.0,Badge Holders
268,2021-03-14,17283.0,Badge Holders
269,2021-03-15,30531.0,Badge Holders
270,2021-03-16,30531.0,Badge Holders
271,2021-03-17,30531.0,Badge Holders
272,2021-03-18,30531.0,Badge Holders
273,2021-03-19,26734.0,Badge Holders
274,2021-03-20,26734.0,Badge Holders
275,2021-03-21,26734.0,Badge Holders
276,2021-03-22,26734.0,Badge Holders
277,2021-03-23,28652.0,Badge Holders
278,2021-03-24,28652.0,Badge Holders
279,2021-03-25,28652.0,Badge Holders
280,2021-03-26,28652.0,Badge Holders
281,2021-03-27,28652.0,Badge Holders
282,2021-03-28,28652.0,Badge Holders
283,2021-03-29,13275.0,Badge Holders
284,2021-03-30,13275.0,Badge Holders
285,2021-03-31,13275.0,Badge Holders
286,2021-04-01,4701.0,Badge Holders
287,2021-04-02,4572.0,Badge Holders
288,2021-04-03,4572.0,Badge Holders
289,2021-04-04,4572.0,Badge Holders
290,2021-04-05,6124.0,Badge Holders
291,2021-04-06,6124.0,Badge Holders
292,2021-04-07,6124.0,Badge Holders
293,2021-04-08,9277.0,Badge Holders
294,2021-04-09,9277.0,Badge Holders
295,2021-04-10,11059.0,Badge Holders
296,2021-04-11,11059.0,Badge Holders
297,2021-04-12,11059.0,Badge Holders
298,2021-04-13,16156.0,Badge Holders
299,2021-04-14,16156.0,Badge Holders
300,2021-04-15,16156.0,Badge Holders
301,2021-04-16,17971.0,Badge Holders
302,2021-04-17,17971.0,Badge Holders
303,2021-04-18,17971.0,Badge Holders
304,2021-04-19,17971.0,Badge Holders
305,2021-04-20,15846.0,Badge Holders
306,2021-04-21,15846.0,Badge Holders
307,2021-04-22,29532.0,Badge Holders
308,2021-04-23,29532.0,Badge Holders
309,2021-04-24,29532.0,Badge Holders
310,2021-04-25,29532.0,Badge Holders
311,2021-04-26,35504.0,Badge Holders
312,2021-04-27,35504.0,Badge Holders
313,2021-04-28,35504.0,Badge Holders
314,2021-04-29,41768.0,Badge Holders
315,2021-04-30,41768.0,Badge Holders
316,2021-05-01,41768.0,Badge Holders
317,2021-05-02,41768.0,Badge Holders
318,2021-05-03,34627.0,Badge Holders
319,2021-05-04,34627.0,Badge Holders
320,2021-05-05,34627.0,Badge Holders
321,2021-05-06,34627.0,Badge Holders
322,2021-05-07,12729.0,Badge Holders
323,2021-05-08,12729.0,Badge Holders
324,2021-05-09,12729.0,Badge Holders
