,date,value,name_B01B4AJVEA
0,2018-07-11,5545.0,Mattress Protectors
1,2018-07-12,4798.0,Mattress Protectors
2,2018-07-13,4998.0,Mattress Protectors
3,2018-07-14,5596.0,Mattress Protectors
4,2018-07-15,5596.0,Mattress Protectors
5,2018-07-16,6244.0,Mattress Protectors
6,2018-07-17,6244.0,Mattress Protectors
7,2018-07-18,6064.0,Mattress Protectors
8,2018-07-19,5730.0,Mattress Protectors
9,2018-07-20,5730.0,Mattress Protectors
10,2018-07-21,6034.0,Mattress Protectors
11,2018-07-22,5713.0,Mattress Protectors
12,2018-07-23,3291.0,Mattress Protectors
13,2018-07-24,3291.0,Mattress Protectors
14,2018-07-25,4226.0,Mattress Protectors
15,2018-07-26,4226.0,Mattress Protectors
16,2018-07-27,4226.0,Mattress Protectors
17,2018-07-28,4226.0,Mattress Protectors
18,2018-07-29,8590.0,Mattress Protectors
19,2018-07-30,8590.0,Mattress Protectors
20,2018-07-31,6139.0,Mattress Protectors
21,2018-08-01,5765.0,Mattress Protectors
22,2018-08-02,5229.0,Mattress Protectors
23,2018-08-03,3288.0,Mattress Protectors
24,2018-08-04,5170.0,Mattress Protectors
25,2018-08-05,5170.0,Mattress Protectors
26,2018-08-06,5170.0,Mattress Protectors
27,2018-08-07,5170.0,Mattress Protectors
28,2018-08-08,6202.0,Mattress Protectors
29,2018-08-09,5471.0,Mattress Protectors
30,2018-08-10,5471.0,Mattress Protectors
31,2018-08-11,6560.0,Mattress Protectors
32,2018-08-12,6560.0,Mattress Protectors
33,2018-08-13,7108.0,Mattress Protectors
34,2018-08-14,5388.0,Mattress Protectors
35,2018-08-15,5388.0,Mattress Protectors
36,2018-08-16,3359.0,Mattress Protectors
37,2018-08-17,3359.0,Mattress Protectors
38,2018-08-18,3359.0,Mattress Protectors
39,2018-08-19,3359.0,Mattress Protectors
40,2018-08-20,6549.0,Mattress Protectors
41,2018-08-21,8542.0,Mattress Protectors
42,2018-08-22,6554.0,Mattress Protectors
43,2018-08-23,9224.0,Mattress Protectors
44,2018-08-24,9224.0,Mattress Protectors
45,2018-08-25,4234.0,Mattress Protectors
46,2018-08-26,4645.0,Mattress Protectors
47,2018-08-27,4915.0,Mattress Protectors
48,2018-08-28,4915.0,Mattress Protectors
49,2018-08-29,6595.0,Mattress Protectors
50,2018-08-30,5116.0,Mattress Protectors
51,2018-08-31,8019.0,Mattress Protectors
52,2018-09-01,5746.0,Mattress Protectors
53,2018-09-02,5371.0,Mattress Protectors
54,2018-09-03,7102.0,Mattress Protectors
55,2018-09-04,7102.0,Mattress Protectors
56,2018-09-05,4887.0,Mattress Protectors
57,2018-09-06,6141.0,Mattress Protectors
58,2018-09-07,4663.0,Mattress Protectors
59,2018-09-08,4395.0,Mattress Protectors
60,2018-09-09,4434.0,Mattress Protectors
61,2018-09-10,4434.0,Mattress Protectors
62,2018-09-11,4434.0,Mattress Protectors
63,2018-09-12,3484.0,Mattress Protectors
64,2018-09-13,3990.0,Mattress Protectors
65,2018-09-14,4170.0,Mattress Protectors
66,2018-09-15,3699.0,Mattress Protectors
67,2018-09-16,3612.0,Mattress Protectors
68,2018-09-17,3174.0,Mattress Protectors
69,2018-09-18,3381.0,Mattress Protectors
70,2018-09-19,3381.0,Mattress Protectors
71,2018-09-20,1937.0,Mattress Protectors
72,2018-09-21,1996.0,Mattress Protectors
73,2018-09-22,1996.0,Mattress Protectors
74,2018-09-23,2153.0,Mattress Protectors
75,2018-09-24,2166.0,Mattress Protectors
76,2018-09-25,2364.0,Mattress Protectors
77,2018-09-26,2668.0,Mattress Protectors
78,2018-09-27,3139.0,Mattress Protectors
79,2018-09-28,3391.0,Mattress Protectors
80,2018-09-29,3391.0,Mattress Protectors
81,2018-09-30,3391.0,Mattress Protectors
82,2018-10-01,3159.0,Mattress Protectors
83,2018-10-02,2829.0,Mattress Protectors
84,2018-10-03,2829.0,Mattress Protectors
85,2018-10-04,2384.0,Mattress Protectors
86,2018-10-05,2384.0,Mattress Protectors
87,2018-10-06,3679.0,Mattress Protectors
88,2018-10-07,3992.0,Mattress Protectors
89,2018-10-08,3992.0,Mattress Protectors
90,2018-10-09,4649.0,Mattress Protectors
91,2018-10-10,3483.0,Mattress Protectors
92,2018-10-11,3275.0,Mattress Protectors
93,2018-10-12,3995.0,Mattress Protectors
94,2018-10-13,3570.0,Mattress Protectors
95,2018-10-14,3570.0,Mattress Protectors
96,2018-10-15,3570.0,Mattress Protectors
97,2018-10-16,2375.0,Mattress Protectors
98,2018-10-17,2407.0,Mattress Protectors
99,2018-10-18,2464.0,Mattress Protectors
100,2018-10-19,2464.0,Mattress Protectors
101,2018-10-20,2464.0,Mattress Protectors
102,2018-10-21,2464.0,Mattress Protectors
103,2018-10-22,3114.0,Mattress Protectors
104,2018-10-23,3114.0,Mattress Protectors
105,2018-10-24,3114.0,Mattress Protectors
106,2018-10-25,3114.0,Mattress Protectors
107,2018-10-26,3114.0,Mattress Protectors
108,2018-10-27,3560.0,Mattress Protectors
109,2018-10-28,4278.0,Mattress Protectors
110,2018-10-29,4278.0,Mattress Protectors
111,2018-10-30,4278.0,Mattress Protectors
112,2018-10-31,1665.0,Mattress Protectors
113,2018-11-01,1966.0,Mattress Protectors
114,2018-11-02,2179.0,Mattress Protectors
115,2018-11-03,2179.0,Mattress Protectors
116,2018-11-04,2179.0,Mattress Protectors
117,2018-11-05,2179.0,Mattress Protectors
118,2018-11-06,3173.0,Mattress Protectors
119,2018-11-07,3173.0,Mattress Protectors
120,2018-11-08,3173.0,Mattress Protectors
121,2018-11-09,3199.0,Mattress Protectors
122,2018-11-10,3199.0,Mattress Protectors
123,2018-11-11,3199.0,Mattress Protectors
124,2018-11-12,4552.0,Mattress Protectors
125,2018-11-13,4552.0,Mattress Protectors
126,2018-11-14,4360.0,Mattress Protectors
127,2018-11-15,5657.0,Mattress Protectors
128,2018-11-16,4322.0,Mattress Protectors
129,2018-11-17,4322.0,Mattress Protectors
130,2018-11-18,4694.0,Mattress Protectors
131,2018-11-19,3467.0,Mattress Protectors
132,2018-11-20,3467.0,Mattress Protectors
133,2018-11-21,5293.0,Mattress Protectors
134,2018-11-22,5293.0,Mattress Protectors
135,2018-11-23,5736.0,Mattress Protectors
136,2018-11-24,5736.0,Mattress Protectors
137,2018-11-25,6304.0,Mattress Protectors
138,2018-11-26,6304.0,Mattress Protectors
139,2018-11-27,6304.0,Mattress Protectors
140,2018-11-28,6304.0,Mattress Protectors
141,2018-11-29,5369.0,Mattress Protectors
142,2018-11-30,5369.0,Mattress Protectors
143,2018-12-01,5200.0,Mattress Protectors
