,date,value,name_B07JFRJ5JK
0,2020-05-27,5877.0,Laser & Inkjet Printer Labels
1,2020-05-28,5877.0,Laser & Inkjet Printer Labels
2,2020-05-29,5877.0,Laser & Inkjet Printer Labels
3,2020-05-30,5877.0,Laser & Inkjet Printer Labels
4,2020-05-31,5877.0,Laser & Inkjet Printer Labels
5,2020-06-01,5877.0,Laser & Inkjet Printer Labels
6,2020-06-02,8256.0,Laser & Inkjet Printer Labels
7,2020-06-03,8256.0,Laser & Inkjet Printer Labels
8,2020-06-04,8256.0,Laser & Inkjet Printer Labels
9,2020-06-05,8256.0,Laser & Inkjet Printer Labels
10,2020-06-06,3963.0,Laser & Inkjet Printer Labels
11,2020-06-07,3963.0,Laser & Inkjet Printer Labels
12,2020-06-08,6998.0,Laser & Inkjet Printer Labels
13,2020-06-09,6998.0,Laser & Inkjet Printer Labels
14,2020-06-10,4411.0,Laser & Inkjet Printer Labels
15,2020-06-11,5244.0,Laser & Inkjet Printer Labels
16,2020-06-12,5244.0,Laser & Inkjet Printer Labels
17,2020-06-13,5244.0,Laser & Inkjet Printer Labels
18,2020-06-14,5244.0,Laser & Inkjet Printer Labels
19,2020-06-15,7101.0,Laser & Inkjet Printer Labels
20,2020-06-16,7101.0,Laser & Inkjet Printer Labels
21,2020-06-17,7101.0,Laser & Inkjet Printer Labels
22,2020-06-18,4488.0,Laser & Inkjet Printer Labels
23,2020-06-19,4488.0,Laser & Inkjet Printer Labels
24,2020-06-20,3984.0,Laser & Inkjet Printer Labels
25,2020-06-21,3984.0,Laser & Inkjet Printer Labels
26,2020-06-22,3984.0,Laser & Inkjet Printer Labels
27,2020-06-23,5354.0,Laser & Inkjet Printer Labels
28,2020-06-24,4081.0,Laser & Inkjet Printer Labels
29,2020-06-25,4081.0,Laser & Inkjet Printer Labels
30,2020-06-26,4081.0,Laser & Inkjet Printer Labels
31,2020-06-27,4941.0,Laser & Inkjet Printer Labels
32,2020-06-28,4941.0,Laser & Inkjet Printer Labels
33,2020-06-29,4941.0,Laser & Inkjet Printer Labels
34,2020-06-30,4941.0,Laser & Inkjet Printer Labels
35,2020-07-01,4419.0,Laser & Inkjet Printer Labels
36,2020-07-02,4419.0,Laser & Inkjet Printer Labels
37,2020-07-03,6736.0,Laser & Inkjet Printer Labels
38,2020-07-04,6736.0,Laser & Inkjet Printer Labels
39,2020-07-05,10310.0,Laser & Inkjet Printer Labels
40,2020-07-06,9673.0,Laser & Inkjet Printer Labels
41,2020-07-07,9673.0,Laser & Inkjet Printer Labels
42,2020-07-08,5830.0,Laser & Inkjet Printer Labels
43,2020-07-09,5830.0,Laser & Inkjet Printer Labels
44,2020-07-10,5830.0,Laser & Inkjet Printer Labels
45,2020-07-11,5152.0,Laser & Inkjet Printer Labels
46,2020-07-12,7121.0,Laser & Inkjet Printer Labels
47,2020-07-13,7965.0,Laser & Inkjet Printer Labels
48,2020-07-14,7965.0,Laser & Inkjet Printer Labels
49,2020-07-15,7965.0,Laser & Inkjet Printer Labels
50,2020-07-16,5923.0,Laser & Inkjet Printer Labels
51,2020-07-17,5923.0,Laser & Inkjet Printer Labels
52,2020-07-18,5923.0,Laser & Inkjet Printer Labels
53,2020-07-19,5923.0,Laser & Inkjet Printer Labels
54,2020-07-20,5760.0,Laser & Inkjet Printer Labels
55,2020-07-21,5760.0,Laser & Inkjet Printer Labels
56,2020-07-22,5760.0,Laser & Inkjet Printer Labels
57,2020-07-23,5342.0,Laser & Inkjet Printer Labels
58,2020-07-24,5342.0,Laser & Inkjet Printer Labels
59,2020-07-25,3974.0,Laser & Inkjet Printer Labels
60,2020-07-26,3974.0,Laser & Inkjet Printer Labels
61,2020-07-27,8379.0,Laser & Inkjet Printer Labels
62,2020-07-28,10399.0,Laser & Inkjet Printer Labels
63,2020-07-29,10399.0,Laser & Inkjet Printer Labels
64,2020-07-30,10399.0,Laser & Inkjet Printer Labels
65,2020-07-31,10399.0,Laser & Inkjet Printer Labels
66,2020-08-01,10399.0,Laser & Inkjet Printer Labels
67,2020-08-02,8199.0,Laser & Inkjet Printer Labels
68,2020-08-03,8199.0,Laser & Inkjet Printer Labels
69,2020-08-04,8199.0,Laser & Inkjet Printer Labels
70,2020-08-05,8199.0,Laser & Inkjet Printer Labels
71,2020-08-06,7760.0,Laser & Inkjet Printer Labels
72,2020-08-07,7760.0,Laser & Inkjet Printer Labels
73,2020-08-08,7760.0,Laser & Inkjet Printer Labels
74,2020-08-09,10826.0,Laser & Inkjet Printer Labels
75,2020-08-10,10826.0,Laser & Inkjet Printer Labels
76,2020-08-11,10826.0,Laser & Inkjet Printer Labels
77,2020-08-12,5946.0,Laser & Inkjet Printer Labels
78,2020-08-13,5946.0,Laser & Inkjet Printer Labels
79,2020-08-14,7319.0,Laser & Inkjet Printer Labels
80,2020-08-15,7319.0,Laser & Inkjet Printer Labels
81,2020-08-16,7319.0,Laser & Inkjet Printer Labels
82,2020-08-17,10056.0,Laser & Inkjet Printer Labels
83,2020-08-18,10056.0,Laser & Inkjet Printer Labels
84,2020-08-19,10056.0,Laser & Inkjet Printer Labels
85,2020-08-20,8008.0,Laser & Inkjet Printer Labels
86,2020-08-21,8008.0,Laser & Inkjet Printer Labels
87,2020-08-22,8008.0,Laser & Inkjet Printer Labels
88,2020-08-23,10901.0,Laser & Inkjet Printer Labels
89,2020-08-24,10901.0,Laser & Inkjet Printer Labels
90,2020-08-25,10901.0,Laser & Inkjet Printer Labels
91,2020-08-26,7737.0,Laser & Inkjet Printer Labels
92,2020-08-27,7737.0,Laser & Inkjet Printer Labels
93,2020-08-28,7737.0,Laser & Inkjet Printer Labels
94,2020-08-29,7057.0,Laser & Inkjet Printer Labels
95,2020-08-30,7057.0,Laser & Inkjet Printer Labels
96,2020-08-31,7057.0,Laser & Inkjet Printer Labels
97,2020-09-01,7057.0,Laser & Inkjet Printer Labels
98,2020-09-02,6709.0,Laser & Inkjet Printer Labels
99,2020-09-03,6709.0,Laser & Inkjet Printer Labels
100,2020-09-04,6709.0,Laser & Inkjet Printer Labels
101,2020-09-05,7646.0,Laser & Inkjet Printer Labels
102,2020-09-06,7646.0,Laser & Inkjet Printer Labels
103,2020-09-07,7646.0,Laser & Inkjet Printer Labels
104,2020-09-08,13777.0,Laser & Inkjet Printer Labels
105,2020-09-09,13777.0,Laser & Inkjet Printer Labels
106,2020-09-10,13777.0,Laser & Inkjet Printer Labels
107,2020-09-11,13777.0,Laser & Inkjet Printer Labels
108,2020-09-12,13777.0,Laser & Inkjet Printer Labels
109,2020-09-13,9627.0,Laser & Inkjet Printer Labels
110,2020-09-14,8620.0,Laser & Inkjet Printer Labels
111,2020-09-15,8620.0,Laser & Inkjet Printer Labels
112,2020-09-16,7114.0,Laser & Inkjet Printer Labels
113,2020-09-17,7114.0,Laser & Inkjet Printer Labels
114,2020-09-18,7114.0,Laser & Inkjet Printer Labels
115,2020-09-19,7114.0,Laser & Inkjet Printer Labels
116,2020-09-20,10727.0,Laser & Inkjet Printer Labels
117,2020-09-21,10727.0,Laser & Inkjet Printer Labels
118,2020-09-22,10727.0,Laser & Inkjet Printer Labels
119,2020-09-23,5420.0,Laser & Inkjet Printer Labels
120,2020-09-24,5420.0,Laser & Inkjet Printer Labels
121,2020-09-25,5420.0,Laser & Inkjet Printer Labels
122,2020-09-26,7846.0,Laser & Inkjet Printer Labels
123,2020-09-27,11760.0,Laser & Inkjet Printer Labels
124,2020-09-28,11760.0,Laser & Inkjet Printer Labels
125,2020-09-29,11760.0,Laser & Inkjet Printer Labels
126,2020-09-30,11760.0,Laser & Inkjet Printer Labels
127,2020-10-01,6661.0,Laser & Inkjet Printer Labels
128,2020-10-02,6661.0,Laser & Inkjet Printer Labels
129,2020-10-03,6661.0,Laser & Inkjet Printer Labels
130,2020-10-04,8806.0,Laser & Inkjet Printer Labels
131,2020-10-05,8806.0,Laser & Inkjet Printer Labels
132,2020-10-06,8806.0,Laser & Inkjet Printer Labels
133,2020-10-07,7215.0,Laser & Inkjet Printer Labels
134,2020-10-08,7215.0,Laser & Inkjet Printer Labels
135,2020-10-09,7215.0,Laser & Inkjet Printer Labels
136,2020-10-10,5924.0,Laser & Inkjet Printer Labels
137,2020-10-11,5924.0,Laser & Inkjet Printer Labels
138,2020-10-12,5924.0,Laser & Inkjet Printer Labels
139,2020-10-13,5924.0,Laser & Inkjet Printer Labels
140,2020-10-14,5924.0,Laser & Inkjet Printer Labels
141,2020-10-15,5924.0,Laser & Inkjet Printer Labels
142,2020-10-16,6352.0,Laser & Inkjet Printer Labels
143,2020-10-17,6352.0,Laser & Inkjet Printer Labels
144,2020-10-18,6352.0,Laser & Inkjet Printer Labels
145,2020-10-19,6117.0,Laser & Inkjet Printer Labels
146,2020-10-20,6117.0,Laser & Inkjet Printer Labels
147,2020-10-21,6117.0,Laser & Inkjet Printer Labels
148,2020-10-22,6117.0,Laser & Inkjet Printer Labels
149,2020-10-23,6117.0,Laser & Inkjet Printer Labels
150,2020-10-24,5871.0,Laser & Inkjet Printer Labels
151,2020-10-25,5871.0,Laser & Inkjet Printer Labels
152,2020-10-26,5871.0,Laser & Inkjet Printer Labels
153,2020-10-27,6685.0,Laser & Inkjet Printer Labels
154,2020-10-28,6168.0,Laser & Inkjet Printer Labels
155,2020-10-29,3828.0,Laser & Inkjet Printer Labels
