,date,value,name_B08NK79FSB
0,2021-03-08,19466.0,Stands
1,2021-03-09,19466.0,Stands
2,2021-03-10,19466.0,Stands
3,2021-03-11,19466.0,Stands
4,2021-03-12,19466.0,Stands
5,2021-03-13,19466.0,Stands
6,2021-03-14,19466.0,Stands
7,2021-03-15,19466.0,Stands
8,2021-03-16,19466.0,Stands
9,2021-03-17,20424.0,Stands
10,2021-03-18,20424.0,Stands
11,2021-03-19,20424.0,Stands
12,2021-03-20,20424.0,Stands
13,2021-03-21,20424.0,Stands
14,2021-03-22,20424.0,Stands
15,2021-03-23,17148.0,Stands
16,2021-03-24,17148.0,Stands
17,2021-03-25,17148.0,Stands
18,2021-03-26,21222.0,Stands
19,2021-03-27,21222.0,Stands
20,2021-03-28,21222.0,Stands
21,2021-03-29,21222.0,Stands
22,2021-03-30,21222.0,Stands
23,2021-03-31,21222.0,Stands
24,2021-04-01,21222.0,Stands
25,2021-04-02,27242.0,Stands
26,2021-04-03,27242.0,Stands
27,2021-04-04,27242.0,Stands
28,2021-04-05,27242.0,Stands
29,2021-04-06,27242.0,Stands
30,2021-04-07,27242.0,Stands
31,2021-04-08,22275.0,Stands
32,2021-04-09,22275.0,Stands
33,2021-04-10,22275.0,Stands
34,2021-04-11,22275.0,Stands
35,2021-04-12,27187.0,Stands
36,2021-04-13,27187.0,Stands
37,2021-04-14,27187.0,Stands
38,2021-04-15,27187.0,Stands
39,2021-04-16,27187.0,Stands
40,2021-04-17,27187.0,Stands
41,2021-04-18,27187.0,Stands
42,2021-04-19,20683.0,Stands
43,2021-04-20,20683.0,Stands
44,2021-04-21,20683.0,Stands
45,2021-04-22,17075.0,Stands
46,2021-04-23,17075.0,Stands
47,2021-04-24,17075.0,Stands
48,2021-04-25,17075.0,Stands
49,2021-04-26,17075.0,Stands
50,2021-04-27,11058.0,Stands
51,2021-04-28,11058.0,Stands
52,2021-04-29,11058.0,Stands
53,2021-04-30,11058.0,Stands
54,2021-05-01,11058.0,Stands
55,2021-05-02,11058.0,Stands
56,2021-05-03,12910.0,Stands
57,2021-05-04,12910.0,Stands
58,2021-05-05,12910.0,Stands
59,2021-05-06,9143.0,Stands
60,2021-05-07,9143.0,Stands
61,2021-05-08,9143.0,Stands
62,2021-05-09,9143.0,Stands
63,2021-05-10,9143.0,Stands
64,2021-05-11,12882.0,Stands
65,2021-05-12,12882.0,Stands
66,2021-05-13,12882.0,Stands
67,2021-05-14,15172.0,Stands
68,2021-05-15,17032.0,Stands
69,2021-05-16,17032.0,Stands
70,2021-05-17,17260.0,Stands
71,2021-05-18,17065.0,Stands
72,2021-05-19,17065.0,Stands
73,2021-05-20,17447.0,Stands
74,2021-05-21,17447.0,Stands
75,2021-05-22,17447.0,Stands
76,2021-05-23,17447.0,Stands
77,2021-05-24,17447.0,Stands
78,2021-05-25,14294.0,Stands
79,2021-05-26,13918.0,Stands
80,2021-05-27,13918.0,Stands
81,2021-05-28,13918.0,Stands
82,2021-05-29,15227.0,Stands
83,2021-05-30,15227.0,Stands
84,2021-05-31,15227.0,Stands
85,2021-06-01,15227.0,Stands
86,2021-06-02,15227.0,Stands
87,2021-06-03,15227.0,Stands
88,2021-06-04,7956.0,Stands
89,2021-06-05,7956.0,Stands
90,2021-06-06,7956.0,Stands
91,2021-06-07,7956.0,Stands
92,2021-06-08,7956.0,Stands
93,2021-06-09,7005.0,Stands
94,2021-06-10,7005.0,Stands
95,2021-06-11,7005.0,Stands
96,2021-06-12,7005.0,Stands
97,2021-06-13,7005.0,Stands
98,2021-06-14,5454.0,Stands
99,2021-06-15,5454.0,Stands
100,2021-06-16,5454.0,Stands
101,2021-06-17,3028.0,Stands
102,2021-06-18,3028.0,Stands
103,2021-06-19,3028.0,Stands
104,2021-06-20,3028.0,Stands
105,2021-06-21,6329.0,Stands
106,2021-06-22,6329.0,Stands
107,2021-06-23,13531.0,Stands
108,2021-06-24,14856.0,Stands
109,2021-06-25,14140.0,Stands
110,2021-06-26,19162.0,Stands
111,2021-06-27,19162.0,Stands
112,2021-06-28,19162.0,Stands
113,2021-06-29,18209.0,Stands
114,2021-06-30,18209.0,Stands
115,2021-07-01,18209.0,Stands
116,2021-07-02,18209.0,Stands
117,2021-07-03,20519.0,Stands
118,2021-07-04,20519.0,Stands
119,2021-07-05,20519.0,Stands
120,2021-07-06,20519.0,Stands
121,2021-07-07,20519.0,Stands
122,2021-07-08,19978.0,Stands
123,2021-07-09,19978.0,Stands
124,2021-07-10,19978.0,Stands
125,2021-07-11,18465.0,Stands
