,date,value,name_B087NMJC8H
0,2020-06-15,141435.0,Children's Clothes Hangers
1,2020-06-16,141435.0,Children's Clothes Hangers
2,2020-06-17,141435.0,Children's Clothes Hangers
3,2020-06-18,141435.0,Children's Clothes Hangers
4,2020-06-19,141435.0,Children's Clothes Hangers
5,2020-06-20,141435.0,Children's Clothes Hangers
6,2020-06-21,-1.0,Children's Clothes Hangers
7,2020-06-22,-1.0,Children's Clothes Hangers
8,2020-06-23,-1.0,Children's Clothes Hangers
9,2020-06-24,-1.0,Children's Clothes Hangers
10,2020-06-25,-1.0,Children's Clothes Hangers
11,2020-06-26,-1.0,Children's Clothes Hangers
12,2020-06-27,-1.0,Children's Clothes Hangers
13,2020-06-28,-1.0,Children's Clothes Hangers
14,2020-06-29,-1.0,Children's Clothes Hangers
15,2020-06-30,-1.0,Children's Clothes Hangers
16,2020-07-01,-1.0,Children's Clothes Hangers
17,2020-07-02,-1.0,Children's Clothes Hangers
18,2020-07-03,-1.0,Children's Clothes Hangers
19,2020-07-04,-1.0,Children's Clothes Hangers
20,2020-07-05,-1.0,Children's Clothes Hangers
21,2020-07-06,-1.0,Children's Clothes Hangers
22,2020-07-07,-1.0,Children's Clothes Hangers
23,2020-07-08,-1.0,Children's Clothes Hangers
24,2020-07-09,-1.0,Children's Clothes Hangers
25,2020-07-10,-1.0,Children's Clothes Hangers
26,2020-07-11,-1.0,Children's Clothes Hangers
27,2020-07-12,-1.0,Children's Clothes Hangers
28,2020-07-13,-1.0,Children's Clothes Hangers
29,2020-07-14,-1.0,Children's Clothes Hangers
30,2020-07-15,-1.0,Children's Clothes Hangers
31,2020-07-16,21721.0,Children's Clothes Hangers
32,2020-07-17,20510.0,Children's Clothes Hangers
33,2020-07-18,21869.0,Children's Clothes Hangers
34,2020-07-19,16123.0,Children's Clothes Hangers
35,2020-07-20,19814.0,Children's Clothes Hangers
36,2020-07-21,16046.0,Children's Clothes Hangers
37,2020-07-22,15443.0,Children's Clothes Hangers
38,2020-07-23,15735.0,Children's Clothes Hangers
39,2020-07-24,14428.0,Children's Clothes Hangers
40,2020-07-25,14428.0,Children's Clothes Hangers
41,2020-07-26,14428.0,Children's Clothes Hangers
42,2020-07-27,11783.0,Children's Clothes Hangers
43,2020-07-28,12938.0,Children's Clothes Hangers
44,2020-07-29,19184.0,Children's Clothes Hangers
45,2020-07-30,14050.0,Children's Clothes Hangers
46,2020-07-31,12103.0,Children's Clothes Hangers
47,2020-08-01,13814.0,Children's Clothes Hangers
48,2020-08-02,13814.0,Children's Clothes Hangers
49,2020-08-03,14758.0,Children's Clothes Hangers
50,2020-08-04,13461.0,Children's Clothes Hangers
51,2020-08-05,13461.0,Children's Clothes Hangers
52,2020-08-06,13461.0,Children's Clothes Hangers
53,2020-08-07,14408.0,Children's Clothes Hangers
54,2020-08-08,14408.0,Children's Clothes Hangers
55,2020-08-09,14408.0,Children's Clothes Hangers
56,2020-08-10,22756.0,Children's Clothes Hangers
57,2020-08-11,16660.0,Children's Clothes Hangers
58,2020-08-12,16660.0,Children's Clothes Hangers
59,2020-08-13,16764.0,Children's Clothes Hangers
60,2020-08-14,16764.0,Children's Clothes Hangers
61,2020-08-15,16764.0,Children's Clothes Hangers
62,2020-08-16,13304.0,Children's Clothes Hangers
63,2020-08-17,12987.0,Children's Clothes Hangers
64,2020-08-18,12987.0,Children's Clothes Hangers
65,2020-08-19,13101.0,Children's Clothes Hangers
66,2020-08-20,13101.0,Children's Clothes Hangers
67,2020-08-21,13101.0,Children's Clothes Hangers
68,2020-08-22,13101.0,Children's Clothes Hangers
69,2020-08-23,13101.0,Children's Clothes Hangers
70,2020-08-24,9913.0,Children's Clothes Hangers
71,2020-08-25,9913.0,Children's Clothes Hangers
72,2020-08-26,9913.0,Children's Clothes Hangers
73,2020-08-27,9913.0,Children's Clothes Hangers
74,2020-08-28,13510.0,Children's Clothes Hangers
75,2020-08-29,12771.0,Children's Clothes Hangers
76,2020-08-30,12771.0,Children's Clothes Hangers
77,2020-08-31,12771.0,Children's Clothes Hangers
78,2020-09-01,12771.0,Children's Clothes Hangers
79,2020-09-02,17122.0,Children's Clothes Hangers
80,2020-09-03,17122.0,Children's Clothes Hangers
81,2020-09-04,18374.0,Children's Clothes Hangers
82,2020-09-05,18374.0,Children's Clothes Hangers
83,2020-09-06,18374.0,Children's Clothes Hangers
84,2020-09-07,16786.0,Children's Clothes Hangers
85,2020-09-08,16786.0,Children's Clothes Hangers
86,2020-09-09,16786.0,Children's Clothes Hangers
87,2020-09-10,20178.0,Children's Clothes Hangers
88,2020-09-11,20178.0,Children's Clothes Hangers
89,2020-09-12,20178.0,Children's Clothes Hangers
90,2020-09-13,20178.0,Children's Clothes Hangers
91,2020-09-14,22292.0,Children's Clothes Hangers
92,2020-09-15,22292.0,Children's Clothes Hangers
93,2020-09-16,18115.0,Children's Clothes Hangers
94,2020-09-17,18115.0,Children's Clothes Hangers
95,2020-09-18,19414.0,Children's Clothes Hangers
96,2020-09-19,19414.0,Children's Clothes Hangers
97,2020-09-20,19414.0,Children's Clothes Hangers
98,2020-09-21,21124.0,Children's Clothes Hangers
99,2020-09-22,21124.0,Children's Clothes Hangers
100,2020-09-23,27268.0,Children's Clothes Hangers
101,2020-09-24,27268.0,Children's Clothes Hangers
102,2020-09-25,27268.0,Children's Clothes Hangers
103,2020-09-26,27268.0,Children's Clothes Hangers
104,2020-09-27,14800.0,Children's Clothes Hangers
105,2020-09-28,14800.0,Children's Clothes Hangers
106,2020-09-29,17956.0,Children's Clothes Hangers
107,2020-09-30,18869.0,Children's Clothes Hangers
108,2020-10-01,18869.0,Children's Clothes Hangers
109,2020-10-02,18869.0,Children's Clothes Hangers
110,2020-10-03,18869.0,Children's Clothes Hangers
111,2020-10-04,18869.0,Children's Clothes Hangers
112,2020-10-05,15092.0,Children's Clothes Hangers
113,2020-10-06,15092.0,Children's Clothes Hangers
114,2020-10-07,15092.0,Children's Clothes Hangers
115,2020-10-08,15092.0,Children's Clothes Hangers
116,2020-10-09,15092.0,Children's Clothes Hangers
117,2020-10-10,24367.0,Children's Clothes Hangers
118,2020-10-11,24367.0,Children's Clothes Hangers
119,2020-10-12,24367.0,Children's Clothes Hangers
120,2020-10-13,32660.0,Children's Clothes Hangers
121,2020-10-14,32660.0,Children's Clothes Hangers
122,2020-10-15,33701.0,Children's Clothes Hangers
123,2020-10-16,33701.0,Children's Clothes Hangers
124,2020-10-17,33701.0,Children's Clothes Hangers
125,2020-10-18,33701.0,Children's Clothes Hangers
126,2020-10-19,25981.0,Children's Clothes Hangers
127,2020-10-20,25981.0,Children's Clothes Hangers
128,2020-10-21,17613.0,Children's Clothes Hangers
129,2020-10-22,17613.0,Children's Clothes Hangers
130,2020-10-23,9556.0,Children's Clothes Hangers
131,2020-10-24,9556.0,Children's Clothes Hangers
132,2020-10-25,9556.0,Children's Clothes Hangers
133,2020-10-26,25270.0,Children's Clothes Hangers
134,2020-10-27,25270.0,Children's Clothes Hangers
135,2020-10-28,25270.0,Children's Clothes Hangers
136,2020-10-29,25270.0,Children's Clothes Hangers
137,2020-10-30,24407.0,Children's Clothes Hangers
138,2020-10-31,24407.0,Children's Clothes Hangers
139,2020-11-01,24407.0,Children's Clothes Hangers
