,date,value,name_B08DCSF2GH
0,2020-08-03,41373.0,LED Bulbs
1,2020-08-04,54926.0,LED Bulbs
2,2020-08-05,54926.0,LED Bulbs
3,2020-08-06,31502.0,LED Bulbs
4,2020-08-07,31502.0,LED Bulbs
5,2020-08-08,31502.0,LED Bulbs
6,2020-08-09,31502.0,LED Bulbs
7,2020-08-10,31502.0,LED Bulbs
8,2020-08-11,44998.0,LED Bulbs
9,2020-08-12,44998.0,LED Bulbs
10,2020-08-13,44998.0,LED Bulbs
11,2020-08-14,47712.0,LED Bulbs
12,2020-08-15,47712.0,LED Bulbs
13,2020-08-16,47712.0,LED Bulbs
14,2020-08-17,47712.0,LED Bulbs
15,2020-08-18,47712.0,LED Bulbs
16,2020-08-19,46389.0,LED Bulbs
17,2020-08-20,46389.0,LED Bulbs
18,2020-08-21,46389.0,LED Bulbs
19,2020-08-22,46389.0,LED Bulbs
20,2020-08-23,46389.0,LED Bulbs
21,2020-08-24,46389.0,LED Bulbs
22,2020-08-25,38551.0,LED Bulbs
23,2020-08-26,40016.0,LED Bulbs
24,2020-08-27,40016.0,LED Bulbs
25,2020-08-28,40016.0,LED Bulbs
26,2020-08-29,40016.0,LED Bulbs
27,2020-08-30,40016.0,LED Bulbs
28,2020-08-31,34063.0,LED Bulbs
29,2020-09-01,34063.0,LED Bulbs
30,2020-09-02,34063.0,LED Bulbs
31,2020-09-03,33991.0,LED Bulbs
32,2020-09-04,33991.0,LED Bulbs
33,2020-09-05,33991.0,LED Bulbs
34,2020-09-06,33991.0,LED Bulbs
35,2020-09-07,44057.0,LED Bulbs
36,2020-09-08,36814.0,LED Bulbs
37,2020-09-09,36814.0,LED Bulbs
38,2020-09-10,36814.0,LED Bulbs
39,2020-09-11,36814.0,LED Bulbs
40,2020-09-12,34304.0,LED Bulbs
41,2020-09-13,34304.0,LED Bulbs
42,2020-09-14,34304.0,LED Bulbs
43,2020-09-15,28091.0,LED Bulbs
44,2020-09-16,30431.0,LED Bulbs
45,2020-09-17,30431.0,LED Bulbs
46,2020-09-18,30431.0,LED Bulbs
47,2020-09-19,30431.0,LED Bulbs
48,2020-09-20,30431.0,LED Bulbs
49,2020-09-21,23245.0,LED Bulbs
50,2020-09-22,23245.0,LED Bulbs
51,2020-09-23,23245.0,LED Bulbs
52,2020-09-24,23245.0,LED Bulbs
53,2020-09-25,35668.0,LED Bulbs
54,2020-09-26,38824.0,LED Bulbs
55,2020-09-27,38824.0,LED Bulbs
56,2020-09-28,38824.0,LED Bulbs
57,2020-09-29,38824.0,LED Bulbs
58,2020-09-30,31960.0,LED Bulbs
59,2020-10-01,31960.0,LED Bulbs
60,2020-10-02,31960.0,LED Bulbs
61,2020-10-03,31960.0,LED Bulbs
62,2020-10-04,31960.0,LED Bulbs
63,2020-10-05,31290.0,LED Bulbs
64,2020-10-06,31290.0,LED Bulbs
65,2020-10-07,31290.0,LED Bulbs
66,2020-10-08,31290.0,LED Bulbs
67,2020-10-09,37802.0,LED Bulbs
68,2020-10-10,37802.0,LED Bulbs
69,2020-10-11,37802.0,LED Bulbs
70,2020-10-12,37802.0,LED Bulbs
71,2020-10-13,34673.0,LED Bulbs
72,2020-10-14,34673.0,LED Bulbs
73,2020-10-15,34673.0,LED Bulbs
74,2020-10-16,36076.0,LED Bulbs
75,2020-10-17,37812.0,LED Bulbs
76,2020-10-18,37812.0,LED Bulbs
77,2020-10-19,37812.0,LED Bulbs
78,2020-10-20,37812.0,LED Bulbs
79,2020-10-21,37812.0,LED Bulbs
80,2020-10-22,40186.0,LED Bulbs
81,2020-10-23,39513.0,LED Bulbs
82,2020-10-24,37174.0,LED Bulbs
83,2020-10-25,37174.0,LED Bulbs
84,2020-10-26,33821.0,LED Bulbs
85,2020-10-27,33821.0,LED Bulbs
86,2020-10-28,33821.0,LED Bulbs
87,2020-10-29,35055.0,LED Bulbs
88,2020-10-30,35055.0,LED Bulbs
89,2020-10-31,33798.0,LED Bulbs
90,2020-11-01,33798.0,LED Bulbs
91,2020-11-02,33798.0,LED Bulbs
92,2020-11-03,23972.0,LED Bulbs
93,2020-11-04,23972.0,LED Bulbs
94,2020-11-05,23972.0,LED Bulbs
95,2020-11-06,25205.0,LED Bulbs
96,2020-11-07,25205.0,LED Bulbs
97,2020-11-08,23404.0,LED Bulbs
98,2020-11-09,23404.0,LED Bulbs
99,2020-11-10,23404.0,LED Bulbs
100,2020-11-11,23404.0,LED Bulbs
101,2020-11-12,23404.0,LED Bulbs
102,2020-11-13,23404.0,LED Bulbs
103,2020-11-14,24557.0,LED Bulbs
104,2020-11-15,24557.0,LED Bulbs
105,2020-11-16,24557.0,LED Bulbs
106,2020-11-17,24557.0,LED Bulbs
107,2020-11-18,24557.0,LED Bulbs
108,2020-11-19,24557.0,LED Bulbs
109,2020-11-20,34222.0,LED Bulbs
110,2020-11-21,34222.0,LED Bulbs
111,2020-11-22,34222.0,LED Bulbs
112,2020-11-23,34222.0,LED Bulbs
113,2020-11-24,34222.0,LED Bulbs
114,2020-11-25,34222.0,LED Bulbs
115,2020-11-26,25629.0,LED Bulbs
116,2020-11-27,25629.0,LED Bulbs
117,2020-11-28,25629.0,LED Bulbs
118,2020-11-29,25629.0,LED Bulbs
119,2020-11-30,21602.0,LED Bulbs
120,2020-12-01,21602.0,LED Bulbs
121,2020-12-02,21602.0,LED Bulbs
122,2020-12-03,21602.0,LED Bulbs
123,2020-12-04,21602.0,LED Bulbs
124,2020-12-05,37979.0,LED Bulbs
125,2020-12-06,37979.0,LED Bulbs
126,2020-12-07,37979.0,LED Bulbs
127,2020-12-08,37979.0,LED Bulbs
128,2020-12-09,25310.0,LED Bulbs
129,2020-12-10,25310.0,LED Bulbs
130,2020-12-11,31224.0,LED Bulbs
131,2020-12-12,31224.0,LED Bulbs
132,2020-12-13,31224.0,LED Bulbs
133,2020-12-14,31224.0,LED Bulbs
134,2020-12-15,31224.0,LED Bulbs
135,2020-12-16,31224.0,LED Bulbs
136,2020-12-17,50751.0,LED Bulbs
137,2020-12-18,50751.0,LED Bulbs
138,2020-12-19,50751.0,LED Bulbs
139,2020-12-20,50751.0,LED Bulbs
140,2020-12-21,33155.0,LED Bulbs
141,2020-12-22,33155.0,LED Bulbs
142,2020-12-23,33155.0,LED Bulbs
143,2020-12-24,33155.0,LED Bulbs
144,2020-12-25,33155.0,LED Bulbs
145,2020-12-26,35800.0,LED Bulbs
146,2020-12-27,35800.0,LED Bulbs
147,2020-12-28,34624.0,LED Bulbs
148,2020-12-29,34624.0,LED Bulbs
149,2020-12-30,34624.0,LED Bulbs
150,2020-12-31,34624.0,LED Bulbs
151,2021-01-01,19126.0,LED Bulbs
152,2021-01-02,19126.0,LED Bulbs
153,2021-01-03,19126.0,LED Bulbs
154,2021-01-04,19126.0,LED Bulbs
155,2021-01-05,18741.0,LED Bulbs
156,2021-01-06,18741.0,LED Bulbs
157,2021-01-07,18741.0,LED Bulbs
158,2021-01-08,18741.0,LED Bulbs
159,2021-01-09,18741.0,LED Bulbs
160,2021-01-10,18741.0,LED Bulbs
161,2021-01-11,16076.0,LED Bulbs
162,2021-01-12,16076.0,LED Bulbs
163,2021-01-13,24795.0,LED Bulbs
164,2021-01-14,23586.0,LED Bulbs
165,2021-01-15,23586.0,LED Bulbs
166,2021-01-16,23586.0,LED Bulbs
167,2021-01-17,23586.0,LED Bulbs
168,2021-01-18,20478.0,LED Bulbs
169,2021-01-19,20478.0,LED Bulbs
170,2021-01-20,22995.0,LED Bulbs
171,2021-01-21,22995.0,LED Bulbs
172,2021-01-22,22995.0,LED Bulbs
173,2021-01-23,22995.0,LED Bulbs
174,2021-01-24,22995.0,LED Bulbs
175,2021-01-25,19766.0,LED Bulbs
176,2021-01-26,19766.0,LED Bulbs
177,2021-01-27,19766.0,LED Bulbs
178,2021-01-28,22134.0,LED Bulbs
179,2021-01-29,22134.0,LED Bulbs
180,2021-01-30,22134.0,LED Bulbs
181,2021-01-31,22134.0,LED Bulbs
182,2021-02-01,22134.0,LED Bulbs
183,2021-02-02,17981.0,LED Bulbs
184,2021-02-03,17981.0,LED Bulbs
185,2021-02-04,20944.0,LED Bulbs
186,2021-02-05,20944.0,LED Bulbs
187,2021-02-06,20944.0,LED Bulbs
188,2021-02-07,20785.0,LED Bulbs
189,2021-02-08,20785.0,LED Bulbs
190,2021-02-09,20785.0,LED Bulbs
191,2021-02-10,20785.0,LED Bulbs
192,2021-02-11,20785.0,LED Bulbs
193,2021-02-12,20785.0,LED Bulbs
194,2021-02-13,20785.0,LED Bulbs
195,2021-02-14,20785.0,LED Bulbs
196,2021-02-15,15232.0,LED Bulbs
197,2021-02-16,15232.0,LED Bulbs
198,2021-02-17,15232.0,LED Bulbs
199,2021-02-18,18724.0,LED Bulbs
200,2021-02-19,18724.0,LED Bulbs
201,2021-02-20,18724.0,LED Bulbs
202,2021-02-21,18724.0,LED Bulbs
203,2021-02-22,19848.0,LED Bulbs
204,2021-02-23,19848.0,LED Bulbs
205,2021-02-24,19848.0,LED Bulbs
206,2021-02-25,19848.0,LED Bulbs
207,2021-02-26,16045.0,LED Bulbs
208,2021-02-27,16045.0,LED Bulbs
209,2021-02-28,16045.0,LED Bulbs
210,2021-03-01,16045.0,LED Bulbs
211,2021-03-02,16045.0,LED Bulbs
212,2021-03-03,22028.0,LED Bulbs
213,2021-03-04,22028.0,LED Bulbs
214,2021-03-05,22028.0,LED Bulbs
215,2021-03-06,22028.0,LED Bulbs
216,2021-03-07,22028.0,LED Bulbs
217,2021-03-08,16787.0,LED Bulbs
218,2021-03-09,24329.0,LED Bulbs
219,2021-03-10,22483.0,LED Bulbs
220,2021-03-11,22483.0,LED Bulbs
221,2021-03-12,23381.0,LED Bulbs
222,2021-03-13,25012.0,LED Bulbs
223,2021-03-14,25012.0,LED Bulbs
224,2021-03-15,25012.0,LED Bulbs
225,2021-03-16,22756.0,LED Bulbs
226,2021-03-17,22756.0,LED Bulbs
227,2021-03-18,22756.0,LED Bulbs
228,2021-03-19,22756.0,LED Bulbs
229,2021-03-20,22756.0,LED Bulbs
230,2021-03-21,22756.0,LED Bulbs
231,2021-03-22,26790.0,LED Bulbs
232,2021-03-23,26790.0,LED Bulbs
233,2021-03-24,26790.0,LED Bulbs
234,2021-03-25,26790.0,LED Bulbs
235,2021-03-26,26790.0,LED Bulbs
236,2021-03-27,26790.0,LED Bulbs
237,2021-03-28,26790.0,LED Bulbs
238,2021-03-29,20628.0,LED Bulbs
239,2021-03-30,20628.0,LED Bulbs
240,2021-03-31,20628.0,LED Bulbs
241,2021-04-01,23498.0,LED Bulbs
242,2021-04-02,23498.0,LED Bulbs
243,2021-04-03,23498.0,LED Bulbs
244,2021-04-04,23498.0,LED Bulbs
245,2021-04-05,22226.0,LED Bulbs
246,2021-04-06,22226.0,LED Bulbs
247,2021-04-07,22226.0,LED Bulbs
248,2021-04-08,22226.0,LED Bulbs
249,2021-04-09,18921.0,LED Bulbs
250,2021-04-10,18921.0,LED Bulbs
251,2021-04-11,18921.0,LED Bulbs
252,2021-04-12,18921.0,LED Bulbs
253,2021-04-13,18921.0,LED Bulbs
254,2021-04-14,24424.0,LED Bulbs
255,2021-04-15,24424.0,LED Bulbs
256,2021-04-16,24424.0,LED Bulbs
257,2021-04-17,24424.0,LED Bulbs
258,2021-04-18,34901.0,LED Bulbs
259,2021-04-19,34901.0,LED Bulbs
260,2021-04-20,34901.0,LED Bulbs
261,2021-04-21,30549.0,LED Bulbs
262,2021-04-22,30549.0,LED Bulbs
263,2021-04-23,30549.0,LED Bulbs
264,2021-04-24,30549.0,LED Bulbs
265,2021-04-25,30549.0,LED Bulbs
266,2021-04-26,29178.0,LED Bulbs
267,2021-04-27,29178.0,LED Bulbs
268,2021-04-28,29178.0,LED Bulbs
269,2021-04-29,29178.0,LED Bulbs
270,2021-04-30,29178.0,LED Bulbs
271,2021-05-01,29178.0,LED Bulbs
272,2021-05-02,29178.0,LED Bulbs
273,2021-05-03,29178.0,LED Bulbs
274,2021-05-04,29178.0,LED Bulbs
275,2021-05-05,29178.0,LED Bulbs
276,2021-05-06,29178.0,LED Bulbs
277,2021-05-07,27396.0,LED Bulbs
278,2021-05-08,34272.0,LED Bulbs
279,2021-05-09,34272.0,LED Bulbs
280,2021-05-10,22652.0,LED Bulbs
281,2021-05-11,30399.0,LED Bulbs
282,2021-05-12,30399.0,LED Bulbs
283,2021-05-13,30399.0,LED Bulbs
284,2021-05-14,30399.0,LED Bulbs
285,2021-05-15,30399.0,LED Bulbs
286,2021-05-16,30399.0,LED Bulbs
287,2021-05-17,39311.0,LED Bulbs
288,2021-05-18,39311.0,LED Bulbs
289,2021-05-19,39311.0,LED Bulbs
290,2021-05-20,30386.0,LED Bulbs
291,2021-05-21,30386.0,LED Bulbs
292,2021-05-22,30386.0,LED Bulbs
293,2021-05-23,30386.0,LED Bulbs
294,2021-05-24,30386.0,LED Bulbs
295,2021-05-25,32299.0,LED Bulbs
296,2021-05-26,32299.0,LED Bulbs
297,2021-05-27,32299.0,LED Bulbs
298,2021-05-28,32299.0,LED Bulbs
299,2021-05-29,36478.0,LED Bulbs
300,2021-05-30,36478.0,LED Bulbs
301,2021-05-31,36478.0,LED Bulbs
302,2021-06-01,33593.0,LED Bulbs
