,date,value,name_B07Y42BDW6
0,2020-05-22,6906.0,L-Lysine
1,2020-05-23,6906.0,L-Lysine
2,2020-05-24,6906.0,L-Lysine
3,2020-05-25,5716.0,L-Lysine
4,2020-05-26,5680.0,L-Lysine
5,2020-05-27,5680.0,L-Lysine
6,2020-05-28,6139.0,L-Lysine
7,2020-05-29,6139.0,L-Lysine
8,2020-05-30,5799.0,L-Lysine
9,2020-05-31,5799.0,L-Lysine
10,2020-06-01,5799.0,L-Lysine
11,2020-06-02,4947.0,L-Lysine
12,2020-06-03,4947.0,L-Lysine
13,2020-06-04,4947.0,L-Lysine
14,2020-06-05,5852.0,L-Lysine
15,2020-06-06,5418.0,L-Lysine
16,2020-06-07,5418.0,L-Lysine
17,2020-06-08,5147.0,L-Lysine
18,2020-06-09,5907.0,L-Lysine
19,2020-06-10,5907.0,L-Lysine
20,2020-06-11,6057.0,L-Lysine
21,2020-06-12,6057.0,L-Lysine
22,2020-06-13,6344.0,L-Lysine
23,2020-06-14,6485.0,L-Lysine
24,2020-06-15,6422.0,L-Lysine
25,2020-06-16,6422.0,L-Lysine
26,2020-06-17,6422.0,L-Lysine
27,2020-06-18,5638.0,L-Lysine
28,2020-06-19,5638.0,L-Lysine
29,2020-06-20,5638.0,L-Lysine
30,2020-06-21,5698.0,L-Lysine
31,2020-06-22,5827.0,L-Lysine
32,2020-06-23,5827.0,L-Lysine
33,2020-06-24,5827.0,L-Lysine
34,2020-06-25,6382.0,L-Lysine
35,2020-06-26,6382.0,L-Lysine
36,2020-06-27,6382.0,L-Lysine
37,2020-06-28,6382.0,L-Lysine
38,2020-06-29,6672.0,L-Lysine
39,2020-06-30,5000.0,L-Lysine
40,2020-07-01,4654.0,L-Lysine
41,2020-07-02,4654.0,L-Lysine
42,2020-07-03,4654.0,L-Lysine
43,2020-07-04,5067.0,L-Lysine
44,2020-07-05,5067.0,L-Lysine
45,2020-07-06,5067.0,L-Lysine
46,2020-07-07,4326.0,L-Lysine
47,2020-07-08,5816.0,L-Lysine
48,2020-07-09,6509.0,L-Lysine
49,2020-07-10,6509.0,L-Lysine
50,2020-07-11,6509.0,L-Lysine
51,2020-07-12,5956.0,L-Lysine
52,2020-07-13,5217.0,L-Lysine
53,2020-07-14,5217.0,L-Lysine
54,2020-07-15,5217.0,L-Lysine
55,2020-07-16,5586.0,L-Lysine
56,2020-07-17,5513.0,L-Lysine
57,2020-07-18,5513.0,L-Lysine
58,2020-07-19,4809.0,L-Lysine
59,2020-07-20,4809.0,L-Lysine
60,2020-07-21,5582.0,L-Lysine
61,2020-07-22,5421.0,L-Lysine
62,2020-07-23,5658.0,L-Lysine
63,2020-07-24,5710.0,L-Lysine
64,2020-07-25,5933.0,L-Lysine
65,2020-07-26,5933.0,L-Lysine
66,2020-07-27,5548.0,L-Lysine
67,2020-07-28,6832.0,L-Lysine
68,2020-07-29,18489.0,L-Lysine
69,2020-07-30,19402.0,L-Lysine
70,2020-07-31,19402.0,L-Lysine
71,2020-08-01,13715.0,L-Lysine
72,2020-08-02,13715.0,L-Lysine
73,2020-08-03,13715.0,L-Lysine
74,2020-08-04,13455.0,L-Lysine
75,2020-08-05,13455.0,L-Lysine
76,2020-08-06,13343.0,L-Lysine
77,2020-08-07,13343.0,L-Lysine
78,2020-08-08,13579.0,L-Lysine
79,2020-08-09,13579.0,L-Lysine
80,2020-08-10,13628.0,L-Lysine
81,2020-08-11,13628.0,L-Lysine
82,2020-08-12,13628.0,L-Lysine
83,2020-08-13,21600.0,L-Lysine
84,2020-08-14,21600.0,L-Lysine
85,2020-08-15,21600.0,L-Lysine
86,2020-08-16,21600.0,L-Lysine
87,2020-08-17,15593.0,L-Lysine
88,2020-08-18,15593.0,L-Lysine
89,2020-08-19,15593.0,L-Lysine
90,2020-08-20,15762.0,L-Lysine
91,2020-08-21,15762.0,L-Lysine
92,2020-08-22,15762.0,L-Lysine
93,2020-08-23,17242.0,L-Lysine
94,2020-08-24,12087.0,L-Lysine
95,2020-08-25,12087.0,L-Lysine
96,2020-08-26,12087.0,L-Lysine
97,2020-08-27,12374.0,L-Lysine
98,2020-08-28,12374.0,L-Lysine
99,2020-08-29,13043.0,L-Lysine
100,2020-08-30,14493.0,L-Lysine
101,2020-08-31,11411.0,L-Lysine
102,2020-09-01,12000.0,L-Lysine
103,2020-09-02,13060.0,L-Lysine
104,2020-09-03,13060.0,L-Lysine
105,2020-09-04,13060.0,L-Lysine
106,2020-09-05,13060.0,L-Lysine
107,2020-09-06,13060.0,L-Lysine
108,2020-09-07,9757.0,L-Lysine
109,2020-09-08,9757.0,L-Lysine
110,2020-09-09,9642.0,L-Lysine
111,2020-09-10,8856.0,L-Lysine
112,2020-09-11,8856.0,L-Lysine
113,2020-09-12,8856.0,L-Lysine
114,2020-09-13,8290.0,L-Lysine
115,2020-09-14,8290.0,L-Lysine
116,2020-09-15,7722.0,L-Lysine
117,2020-09-16,7722.0,L-Lysine
118,2020-09-17,6823.0,L-Lysine
119,2020-09-18,6823.0,L-Lysine
120,2020-09-19,6823.0,L-Lysine
121,2020-09-20,5941.0,L-Lysine
122,2020-09-21,5941.0,L-Lysine
123,2020-09-22,5420.0,L-Lysine
124,2020-09-23,5800.0,L-Lysine
125,2020-09-24,6804.0,L-Lysine
126,2020-09-25,6804.0,L-Lysine
127,2020-09-26,6804.0,L-Lysine
128,2020-09-27,6556.0,L-Lysine
129,2020-09-28,6556.0,L-Lysine
130,2020-09-29,5510.0,L-Lysine
131,2020-09-30,5510.0,L-Lysine
132,2020-10-01,5510.0,L-Lysine
133,2020-10-02,4908.0,L-Lysine
134,2020-10-03,4908.0,L-Lysine
135,2020-10-04,4908.0,L-Lysine
136,2020-10-05,3996.0,L-Lysine
137,2020-10-06,5097.0,L-Lysine
138,2020-10-07,4975.0,L-Lysine
139,2020-10-08,4641.0,L-Lysine
140,2020-10-09,4641.0,L-Lysine
141,2020-10-10,5150.0,L-Lysine
142,2020-10-11,5150.0,L-Lysine
143,2020-10-12,4993.0,L-Lysine
144,2020-10-13,4993.0,L-Lysine
145,2020-10-14,6543.0,L-Lysine
146,2020-10-15,7448.0,L-Lysine
147,2020-10-16,7448.0,L-Lysine
148,2020-10-17,7448.0,L-Lysine
149,2020-10-18,7448.0,L-Lysine
150,2020-10-19,6510.0,L-Lysine
151,2020-10-20,6613.0,L-Lysine
152,2020-10-21,6325.0,L-Lysine
153,2020-10-22,6325.0,L-Lysine
154,2020-10-23,6325.0,L-Lysine
155,2020-10-24,6325.0,L-Lysine
156,2020-10-25,6617.0,L-Lysine
157,2020-10-26,6617.0,L-Lysine
158,2020-10-27,6089.0,L-Lysine
159,2020-10-28,6089.0,L-Lysine
160,2020-10-29,5598.0,L-Lysine
161,2020-10-30,5598.0,L-Lysine
162,2020-10-31,5924.0,L-Lysine
163,2020-11-01,5924.0,L-Lysine
164,2020-11-02,5924.0,L-Lysine
165,2020-11-03,5535.0,L-Lysine
166,2020-11-04,5535.0,L-Lysine
167,2020-11-05,5241.0,L-Lysine
168,2020-11-06,5241.0,L-Lysine
169,2020-11-07,6655.0,L-Lysine
170,2020-11-08,6655.0,L-Lysine
171,2020-11-09,7314.0,L-Lysine
172,2020-11-10,7026.0,L-Lysine
173,2020-11-11,7026.0,L-Lysine
174,2020-11-12,7026.0,L-Lysine
175,2020-11-13,6277.0,L-Lysine
176,2020-11-14,6277.0,L-Lysine
177,2020-11-15,6280.0,L-Lysine
178,2020-11-16,6280.0,L-Lysine
179,2020-11-17,6280.0,L-Lysine
180,2020-11-18,6322.0,L-Lysine
181,2020-11-19,6409.0,L-Lysine
182,2020-11-20,6345.0,L-Lysine
183,2020-11-21,6345.0,L-Lysine
184,2020-11-22,6345.0,L-Lysine
185,2020-11-23,5197.0,L-Lysine
