,date,value,name_B08J911SH5
0,2020-12-06,970.0,Dish Soap
1,2020-12-07,1664.0,Dish Soap
2,2020-12-08,1780.0,Dish Soap
3,2020-12-09,1780.0,Dish Soap
4,2020-12-10,2097.0,Dish Soap
5,2020-12-11,2361.0,Dish Soap
6,2020-12-12,2166.0,Dish Soap
7,2020-12-13,2249.0,Dish Soap
8,2020-12-14,2334.0,Dish Soap
9,2020-12-15,2233.0,Dish Soap
10,2020-12-16,2408.0,Dish Soap
11,2020-12-17,2596.0,Dish Soap
12,2020-12-18,2598.0,Dish Soap
13,2020-12-19,2395.0,Dish Soap
14,2020-12-20,2229.0,Dish Soap
15,2020-12-21,2096.0,Dish Soap
16,2020-12-22,1908.0,Dish Soap
17,2020-12-23,1908.0,Dish Soap
18,2020-12-24,1908.0,Dish Soap
19,2020-12-25,1954.0,Dish Soap
20,2020-12-26,1951.0,Dish Soap
21,2020-12-27,1770.0,Dish Soap
22,2020-12-28,1548.0,Dish Soap
23,2020-12-29,1782.0,Dish Soap
24,2020-12-30,1819.0,Dish Soap
25,2020-12-31,1795.0,Dish Soap
26,2021-01-01,1957.0,Dish Soap
27,2021-01-02,1948.0,Dish Soap
28,2021-01-03,1798.0,Dish Soap
29,2021-01-04,1798.0,Dish Soap
30,2021-01-05,1978.0,Dish Soap
31,2021-01-06,1978.0,Dish Soap
32,2021-01-07,2057.0,Dish Soap
33,2021-01-08,2213.0,Dish Soap
34,2021-01-09,1942.0,Dish Soap
35,2021-01-10,1875.0,Dish Soap
36,2021-01-11,1981.0,Dish Soap
37,2021-01-12,2251.0,Dish Soap
38,2021-01-13,2139.0,Dish Soap
39,2021-01-14,2008.0,Dish Soap
40,2021-01-15,2021.0,Dish Soap
41,2021-01-16,2021.0,Dish Soap
42,2021-01-17,2021.0,Dish Soap
43,2021-01-18,1708.0,Dish Soap
44,2021-01-19,1708.0,Dish Soap
45,2021-01-20,1864.0,Dish Soap
46,2021-01-21,2047.0,Dish Soap
47,2021-01-22,2047.0,Dish Soap
48,2021-01-23,2047.0,Dish Soap
49,2021-01-24,1976.0,Dish Soap
50,2021-01-25,1976.0,Dish Soap
51,2021-01-26,2038.0,Dish Soap
52,2021-01-27,2038.0,Dish Soap
53,2021-01-28,2038.0,Dish Soap
54,2021-01-29,2347.0,Dish Soap
55,2021-01-30,2103.0,Dish Soap
56,2021-01-31,2103.0,Dish Soap
57,2021-02-01,2103.0,Dish Soap
58,2021-02-02,2000.0,Dish Soap
59,2021-02-03,2248.0,Dish Soap
60,2021-02-04,2248.0,Dish Soap
61,2021-02-05,2195.0,Dish Soap
62,2021-02-06,2043.0,Dish Soap
63,2021-02-07,1996.0,Dish Soap
64,2021-02-08,1996.0,Dish Soap
65,2021-02-09,1996.0,Dish Soap
66,2021-02-10,2070.0,Dish Soap
67,2021-02-11,2070.0,Dish Soap
68,2021-02-12,1471.0,Dish Soap
69,2021-02-13,1471.0,Dish Soap
70,2021-02-14,1471.0,Dish Soap
71,2021-02-15,1899.0,Dish Soap
72,2021-02-16,1899.0,Dish Soap
73,2021-02-17,1858.0,Dish Soap
74,2021-02-18,1858.0,Dish Soap
75,2021-02-19,1772.0,Dish Soap
76,2021-02-20,2011.0,Dish Soap
77,2021-02-21,2011.0,Dish Soap
78,2021-02-22,2011.0,Dish Soap
79,2021-02-23,2012.0,Dish Soap
80,2021-02-24,2012.0,Dish Soap
81,2021-02-25,2033.0,Dish Soap
82,2021-02-26,2033.0,Dish Soap
83,2021-02-27,2033.0,Dish Soap
84,2021-02-28,1893.0,Dish Soap
85,2021-03-01,1722.0,Dish Soap
86,2021-03-02,1722.0,Dish Soap
87,2021-03-03,2055.0,Dish Soap
88,2021-03-04,2055.0,Dish Soap
89,2021-03-05,2214.0,Dish Soap
90,2021-03-06,2214.0,Dish Soap
91,2021-03-07,2214.0,Dish Soap
92,2021-03-08,2024.0,Dish Soap
93,2021-03-09,2024.0,Dish Soap
94,2021-03-10,2104.0,Dish Soap
95,2021-03-11,1382.0,Dish Soap
96,2021-03-12,1269.0,Dish Soap
97,2021-03-13,1269.0,Dish Soap
98,2021-03-14,1269.0,Dish Soap
99,2021-03-15,1887.0,Dish Soap
100,2021-03-16,1887.0,Dish Soap
101,2021-03-17,2151.0,Dish Soap
102,2021-03-18,1965.0,Dish Soap
103,2021-03-19,1965.0,Dish Soap
104,2021-03-20,2001.0,Dish Soap
105,2021-03-21,1708.0,Dish Soap
106,2021-03-22,1713.0,Dish Soap
107,2021-03-23,1713.0,Dish Soap
108,2021-03-24,1787.0,Dish Soap
109,2021-03-25,2019.0,Dish Soap
110,2021-03-26,2019.0,Dish Soap
111,2021-03-27,2019.0,Dish Soap
112,2021-03-28,2018.0,Dish Soap
113,2021-03-29,2018.0,Dish Soap
114,2021-03-30,2018.0,Dish Soap
115,2021-03-31,2188.0,Dish Soap
116,2021-04-01,2188.0,Dish Soap
117,2021-04-02,2098.0,Dish Soap
118,2021-04-03,2098.0,Dish Soap
119,2021-04-04,2098.0,Dish Soap
120,2021-04-05,2045.0,Dish Soap
121,2021-04-06,2045.0,Dish Soap
122,2021-04-07,2045.0,Dish Soap
123,2021-04-08,2343.0,Dish Soap
124,2021-04-09,2343.0,Dish Soap
125,2021-04-10,2343.0,Dish Soap
126,2021-04-11,1988.0,Dish Soap
127,2021-04-12,1988.0,Dish Soap
128,2021-04-13,1988.0,Dish Soap
129,2021-04-14,2064.0,Dish Soap
130,2021-04-15,2064.0,Dish Soap
131,2021-04-16,1996.0,Dish Soap
132,2021-04-17,1996.0,Dish Soap
133,2021-04-18,1934.0,Dish Soap
134,2021-04-19,1934.0,Dish Soap
135,2021-04-20,2042.0,Dish Soap
136,2021-04-21,1954.0,Dish Soap
137,2021-04-22,1954.0,Dish Soap
138,2021-04-23,1798.0,Dish Soap
139,2021-04-24,1798.0,Dish Soap
140,2021-04-25,1798.0,Dish Soap
141,2021-04-26,1688.0,Dish Soap
142,2021-04-27,1688.0,Dish Soap
143,2021-04-28,1925.0,Dish Soap
144,2021-04-29,2065.0,Dish Soap
145,2021-04-30,2044.0,Dish Soap
146,2021-05-01,2176.0,Dish Soap
147,2021-05-02,1920.0,Dish Soap
148,2021-05-03,1920.0,Dish Soap
149,2021-05-04,2157.0,Dish Soap
150,2021-05-05,2360.0,Dish Soap
151,2021-05-06,2186.0,Dish Soap
152,2021-05-07,2196.0,Dish Soap
153,2021-05-08,2347.0,Dish Soap
154,2021-05-09,1745.0,Dish Soap
155,2021-05-10,1745.0,Dish Soap
156,2021-05-11,1798.0,Dish Soap
157,2021-05-12,1984.0,Dish Soap
158,2021-05-13,1984.0,Dish Soap
159,2021-05-14,2039.0,Dish Soap
160,2021-05-15,2039.0,Dish Soap
161,2021-05-16,1700.0,Dish Soap
162,2021-05-17,1700.0,Dish Soap
163,2021-05-18,1700.0,Dish Soap
164,2021-05-19,1638.0,Dish Soap
165,2021-05-20,1900.0,Dish Soap
166,2021-05-21,2029.0,Dish Soap
167,2021-05-22,2029.0,Dish Soap
168,2021-05-23,1934.0,Dish Soap
169,2021-05-24,1934.0,Dish Soap
170,2021-05-25,1788.0,Dish Soap
171,2021-05-26,1788.0,Dish Soap
172,2021-05-27,2097.0,Dish Soap
173,2021-05-28,2097.0,Dish Soap
174,2021-05-29,2087.0,Dish Soap
175,2021-05-30,2087.0,Dish Soap
176,2021-05-31,1979.0,Dish Soap
177,2021-06-01,1979.0,Dish Soap
178,2021-06-02,1979.0,Dish Soap
179,2021-06-03,2097.0,Dish Soap
180,2021-06-04,2097.0,Dish Soap
181,2021-06-05,2308.0,Dish Soap
182,2021-06-06,2308.0,Dish Soap
183,2021-06-07,2307.0,Dish Soap
184,2021-06-08,2307.0,Dish Soap
185,2021-06-09,2309.0,Dish Soap
186,2021-06-10,2309.0,Dish Soap
187,2021-06-11,2309.0,Dish Soap
188,2021-06-12,2474.0,Dish Soap
189,2021-06-13,2474.0,Dish Soap
190,2021-06-14,1939.0,Dish Soap
191,2021-06-15,1939.0,Dish Soap
192,2021-06-16,1939.0,Dish Soap
193,2021-06-17,2329.0,Dish Soap
194,2021-06-18,2211.0,Dish Soap
195,2021-06-19,2211.0,Dish Soap
196,2021-06-20,1792.0,Dish Soap
197,2021-06-21,2092.0,Dish Soap
198,2021-06-22,1781.0,Dish Soap
199,2021-06-23,1781.0,Dish Soap
200,2021-06-24,2075.0,Dish Soap
201,2021-06-25,2075.0,Dish Soap
202,2021-06-26,2075.0,Dish Soap
203,2021-06-27,1964.0,Dish Soap
204,2021-06-28,1964.0,Dish Soap
205,2021-06-29,2010.0,Dish Soap
206,2021-06-30,1958.0,Dish Soap
