,date,value,name_B08R9JDRBS
0,2021-03-22,53279.0,Protective Briefs & Underwear
1,2021-03-23,53279.0,Protective Briefs & Underwear
2,2021-03-24,53279.0,Protective Briefs & Underwear
3,2021-03-25,53279.0,Protective Briefs & Underwear
4,2021-03-26,53279.0,Protective Briefs & Underwear
5,2021-03-27,53279.0,Protective Briefs & Underwear
6,2021-03-28,53279.0,Protective Briefs & Underwear
7,2021-03-29,53279.0,Protective Briefs & Underwear
8,2021-03-30,53279.0,Protective Briefs & Underwear
9,2021-03-31,68077.0,Protective Briefs & Underwear
10,2021-04-01,68077.0,Protective Briefs & Underwear
11,2021-04-02,68077.0,Protective Briefs & Underwear
12,2021-04-03,68077.0,Protective Briefs & Underwear
13,2021-04-04,68077.0,Protective Briefs & Underwear
14,2021-04-05,68077.0,Protective Briefs & Underwear
15,2021-04-06,68077.0,Protective Briefs & Underwear
16,2021-04-07,68077.0,Protective Briefs & Underwear
17,2021-04-08,68077.0,Protective Briefs & Underwear
18,2021-04-09,68077.0,Protective Briefs & Underwear
19,2021-04-10,68077.0,Protective Briefs & Underwear
20,2021-04-11,68077.0,Protective Briefs & Underwear
21,2021-04-12,68077.0,Protective Briefs & Underwear
22,2021-04-13,82326.0,Protective Briefs & Underwear
23,2021-04-14,82326.0,Protective Briefs & Underwear
24,2021-04-15,82326.0,Protective Briefs & Underwear
25,2021-04-16,49450.0,Protective Briefs & Underwear
26,2021-04-17,49450.0,Protective Briefs & Underwear
27,2021-04-18,49450.0,Protective Briefs & Underwear
28,2021-04-19,49450.0,Protective Briefs & Underwear
29,2021-04-20,114881.0,Protective Briefs & Underwear
30,2021-04-21,108863.0,Protective Briefs & Underwear
31,2021-04-22,108863.0,Protective Briefs & Underwear
32,2021-04-23,149781.0,Protective Briefs & Underwear
33,2021-04-24,149781.0,Protective Briefs & Underwear
34,2021-04-25,149781.0,Protective Briefs & Underwear
35,2021-04-26,149781.0,Protective Briefs & Underwear
36,2021-04-27,170323.0,Protective Briefs & Underwear
37,2021-04-28,170323.0,Protective Briefs & Underwear
38,2021-04-29,170323.0,Protective Briefs & Underwear
39,2021-04-30,228962.0,Protective Briefs & Underwear
40,2021-05-01,228962.0,Protective Briefs & Underwear
41,2021-05-02,228962.0,Protective Briefs & Underwear
42,2021-05-03,228962.0,Protective Briefs & Underwear
43,2021-05-04,228962.0,Protective Briefs & Underwear
44,2021-05-05,228962.0,Protective Briefs & Underwear
45,2021-05-06,228962.0,Protective Briefs & Underwear
46,2021-05-07,228962.0,Protective Briefs & Underwear
47,2021-05-08,228962.0,Protective Briefs & Underwear
48,2021-05-09,228962.0,Protective Briefs & Underwear
49,2021-05-10,228962.0,Protective Briefs & Underwear
50,2021-05-11,228962.0,Protective Briefs & Underwear
51,2021-05-12,228962.0,Protective Briefs & Underwear
52,2021-05-13,94107.0,Protective Briefs & Underwear
53,2021-05-14,94107.0,Protective Briefs & Underwear
54,2021-05-15,94107.0,Protective Briefs & Underwear
55,2021-05-16,94107.0,Protective Briefs & Underwear
56,2021-05-17,106577.0,Protective Briefs & Underwear
57,2021-05-18,106577.0,Protective Briefs & Underwear
58,2021-05-19,106577.0,Protective Briefs & Underwear
59,2021-05-20,106577.0,Protective Briefs & Underwear
60,2021-05-21,67888.0,Protective Briefs & Underwear
61,2021-05-22,67888.0,Protective Briefs & Underwear
62,2021-05-23,67888.0,Protective Briefs & Underwear
63,2021-05-24,67888.0,Protective Briefs & Underwear
64,2021-05-25,60151.0,Protective Briefs & Underwear
65,2021-05-26,60151.0,Protective Briefs & Underwear
66,2021-05-27,60151.0,Protective Briefs & Underwear
67,2021-05-28,60151.0,Protective Briefs & Underwear
68,2021-05-29,60151.0,Protective Briefs & Underwear
69,2021-05-30,60151.0,Protective Briefs & Underwear
70,2021-05-31,72027.0,Protective Briefs & Underwear
71,2021-06-01,72027.0,Protective Briefs & Underwear
72,2021-06-02,72027.0,Protective Briefs & Underwear
73,2021-06-03,47207.0,Protective Briefs & Underwear
74,2021-06-04,47207.0,Protective Briefs & Underwear
75,2021-06-05,47207.0,Protective Briefs & Underwear
76,2021-06-06,47207.0,Protective Briefs & Underwear
77,2021-06-07,35898.0,Protective Briefs & Underwear
78,2021-06-08,35898.0,Protective Briefs & Underwear
79,2021-06-09,38938.0,Protective Briefs & Underwear
80,2021-06-10,38938.0,Protective Briefs & Underwear
81,2021-06-11,31614.0,Protective Briefs & Underwear
82,2021-06-12,31614.0,Protective Briefs & Underwear
83,2021-06-13,31614.0,Protective Briefs & Underwear
84,2021-06-14,30302.0,Protective Briefs & Underwear
85,2021-06-15,30302.0,Protective Briefs & Underwear
86,2021-06-16,30050.0,Protective Briefs & Underwear
87,2021-06-17,27261.0,Protective Briefs & Underwear
88,2021-06-18,27261.0,Protective Briefs & Underwear
89,2021-06-19,27261.0,Protective Briefs & Underwear
90,2021-06-20,31184.0,Protective Briefs & Underwear
91,2021-06-21,38205.0,Protective Briefs & Underwear
92,2021-06-22,38205.0,Protective Briefs & Underwear
93,2021-06-23,38205.0,Protective Briefs & Underwear
94,2021-06-24,46741.0,Protective Briefs & Underwear
95,2021-06-25,46741.0,Protective Briefs & Underwear
96,2021-06-26,32423.0,Protective Briefs & Underwear
97,2021-06-27,32423.0,Protective Briefs & Underwear
98,2021-06-28,32423.0,Protective Briefs & Underwear
99,2021-06-29,41340.0,Protective Briefs & Underwear
100,2021-06-30,41340.0,Protective Briefs & Underwear
101,2021-07-01,30811.0,Protective Briefs & Underwear
102,2021-07-02,30811.0,Protective Briefs & Underwear
103,2021-07-03,30811.0,Protective Briefs & Underwear
104,2021-07-04,30811.0,Protective Briefs & Underwear
105,2021-07-05,30811.0,Protective Briefs & Underwear
106,2021-07-06,32777.0,Protective Briefs & Underwear
107,2021-07-07,32777.0,Protective Briefs & Underwear
108,2021-07-08,32777.0,Protective Briefs & Underwear
109,2021-07-09,30429.0,Protective Briefs & Underwear
