,date,value,name_B07K2P1HTV
174,2019-05-09,101614.0,Panels
175,2019-05-10,147044.0,Panels
176,2019-05-11,147044.0,Panels
177,2019-05-12,147044.0,Panels
178,2019-05-13,120715.0,Panels
179,2019-05-14,120715.0,Panels
180,2019-05-15,90805.0,Panels
181,2019-05-16,90805.0,Panels
182,2019-05-17,90892.0,Panels
183,2019-05-18,90892.0,Panels
184,2019-05-19,110367.0,Panels
185,2019-05-20,110367.0,Panels
186,2019-05-21,66952.0,Panels
187,2019-05-22,75599.0,Panels
188,2019-05-23,89881.0,Panels
189,2019-05-24,89881.0,Panels
190,2019-05-25,68148.0,Panels
191,2019-05-26,68148.0,Panels
192,2019-05-27,68148.0,Panels
193,2019-05-28,59109.0,Panels
194,2019-05-29,58070.0,Panels
195,2019-05-30,58070.0,Panels
196,2019-05-31,58070.0,Panels
197,2019-06-01,64957.0,Panels
198,2019-06-02,97501.0,Panels
199,2019-06-03,59392.0,Panels
200,2019-06-04,73735.0,Panels
201,2019-06-05,85096.0,Panels
202,2019-06-06,50966.0,Panels
203,2019-06-07,43785.0,Panels
204,2019-06-08,48568.0,Panels
205,2019-06-09,79392.0,Panels
206,2019-06-10,60672.0,Panels
207,2019-06-11,96688.0,Panels
208,2019-06-12,75426.0,Panels
209,2019-06-13,101540.0,Panels
210,2019-06-14,59865.0,Panels
211,2019-06-15,78658.0,Panels
212,2019-06-16,51874.0,Panels
213,2019-06-17,68137.0,Panels
214,2019-06-18,68137.0,Panels
215,2019-06-19,100519.0,Panels
216,2019-06-20,63145.0,Panels
217,2019-06-21,63145.0,Panels
218,2019-06-22,51886.0,Panels
219,2019-06-23,55219.0,Panels
220,2019-06-24,67753.0,Panels
221,2019-06-25,79369.0,Panels
222,2019-06-26,79369.0,Panels
223,2019-06-27,70232.0,Panels
224,2019-06-28,46969.0,Panels
225,2019-06-29,43932.0,Panels
226,2019-06-30,49521.0,Panels
227,2019-07-01,47558.0,Panels
228,2019-07-02,74126.0,Panels
229,2019-07-03,65042.0,Panels
230,2019-07-04,41489.0,Panels
231,2019-07-05,55730.0,Panels
232,2019-07-06,73200.0,Panels
233,2019-07-07,56982.0,Panels
234,2019-07-08,57839.0,Panels
235,2019-07-09,76434.0,Panels
236,2019-07-10,46728.0,Panels
237,2019-07-11,46175.0,Panels
238,2019-07-12,51587.0,Panels
