,date,value,name_B08X6L5WS5
0,2021-03-03,1443.0,Craft & Sewing Supplies Storage
1,2021-03-04,1443.0,Craft & Sewing Supplies Storage
2,2021-03-05,1409.0,Craft & Sewing Supplies Storage
3,2021-03-06,1103.0,Craft & Sewing Supplies Storage
4,2021-03-07,1103.0,Craft & Sewing Supplies Storage
5,2021-03-08,1103.0,Craft & Sewing Supplies Storage
6,2021-03-09,1133.0,Craft & Sewing Supplies Storage
7,2021-03-10,1535.0,Craft & Sewing Supplies Storage
8,2021-03-11,1535.0,Craft & Sewing Supplies Storage
9,2021-03-12,1536.0,Craft & Sewing Supplies Storage
10,2021-03-13,1536.0,Craft & Sewing Supplies Storage
11,2021-03-14,1536.0,Craft & Sewing Supplies Storage
12,2021-03-15,1536.0,Craft & Sewing Supplies Storage
13,2021-03-16,1316.0,Craft & Sewing Supplies Storage
14,2021-03-17,840.0,Craft & Sewing Supplies Storage
15,2021-03-18,1149.0,Craft & Sewing Supplies Storage
16,2021-03-19,1149.0,Craft & Sewing Supplies Storage
17,2021-03-20,1149.0,Craft & Sewing Supplies Storage
18,2021-03-21,1877.0,Craft & Sewing Supplies Storage
19,2021-03-22,1702.0,Craft & Sewing Supplies Storage
20,2021-03-23,1702.0,Craft & Sewing Supplies Storage
21,2021-03-24,1702.0,Craft & Sewing Supplies Storage
22,2021-03-25,5682.0,Craft & Sewing Supplies Storage
23,2021-03-26,3674.0,Craft & Sewing Supplies Storage
24,2021-03-27,3051.0,Craft & Sewing Supplies Storage
25,2021-03-28,3051.0,Craft & Sewing Supplies Storage
26,2021-03-29,3051.0,Craft & Sewing Supplies Storage
27,2021-03-30,2689.0,Craft & Sewing Supplies Storage
28,2021-03-31,2228.0,Craft & Sewing Supplies Storage
29,2021-04-01,1793.0,Craft & Sewing Supplies Storage
30,2021-04-02,1561.0,Craft & Sewing Supplies Storage
31,2021-04-03,1561.0,Craft & Sewing Supplies Storage
32,2021-04-04,812.0,Craft & Sewing Supplies Storage
33,2021-04-05,812.0,Craft & Sewing Supplies Storage
34,2021-04-06,812.0,Craft & Sewing Supplies Storage
35,2021-04-07,904.0,Craft & Sewing Supplies Storage
36,2021-04-08,706.0,Craft & Sewing Supplies Storage
37,2021-04-09,598.0,Craft & Sewing Supplies Storage
38,2021-04-10,480.0,Craft & Sewing Supplies Storage
39,2021-04-11,480.0,Craft & Sewing Supplies Storage
40,2021-04-12,524.0,Craft & Sewing Supplies Storage
41,2021-04-13,524.0,Craft & Sewing Supplies Storage
42,2021-04-14,909.0,Craft & Sewing Supplies Storage
43,2021-04-15,696.0,Craft & Sewing Supplies Storage
44,2021-04-16,732.0,Craft & Sewing Supplies Storage
45,2021-04-17,732.0,Craft & Sewing Supplies Storage
46,2021-04-18,549.0,Craft & Sewing Supplies Storage
47,2021-04-19,549.0,Craft & Sewing Supplies Storage
48,2021-04-20,549.0,Craft & Sewing Supplies Storage
49,2021-04-21,542.0,Craft & Sewing Supplies Storage
50,2021-04-22,491.0,Craft & Sewing Supplies Storage
51,2021-04-23,491.0,Craft & Sewing Supplies Storage
52,2021-04-24,507.0,Craft & Sewing Supplies Storage
53,2021-04-25,442.0,Craft & Sewing Supplies Storage
54,2021-04-26,442.0,Craft & Sewing Supplies Storage
55,2021-04-27,787.0,Craft & Sewing Supplies Storage
56,2021-04-28,787.0,Craft & Sewing Supplies Storage
57,2021-04-29,787.0,Craft & Sewing Supplies Storage
58,2021-04-30,740.0,Craft & Sewing Supplies Storage
59,2021-05-01,740.0,Craft & Sewing Supplies Storage
60,2021-05-02,534.0,Craft & Sewing Supplies Storage
61,2021-05-03,534.0,Craft & Sewing Supplies Storage
62,2021-05-04,639.0,Craft & Sewing Supplies Storage
63,2021-05-05,639.0,Craft & Sewing Supplies Storage
64,2021-05-06,639.0,Craft & Sewing Supplies Storage
65,2021-05-07,673.0,Craft & Sewing Supplies Storage
66,2021-05-08,673.0,Craft & Sewing Supplies Storage
67,2021-05-09,587.0,Craft & Sewing Supplies Storage
68,2021-05-10,503.0,Craft & Sewing Supplies Storage
69,2021-05-11,673.0,Craft & Sewing Supplies Storage
70,2021-05-12,877.0,Craft & Sewing Supplies Storage
71,2021-05-13,877.0,Craft & Sewing Supplies Storage
72,2021-05-14,679.0,Craft & Sewing Supplies Storage
73,2021-05-15,690.0,Craft & Sewing Supplies Storage
74,2021-05-16,938.0,Craft & Sewing Supplies Storage
75,2021-05-17,902.0,Craft & Sewing Supplies Storage
76,2021-05-18,959.0,Craft & Sewing Supplies Storage
77,2021-05-19,947.0,Craft & Sewing Supplies Storage
78,2021-05-20,915.0,Craft & Sewing Supplies Storage
79,2021-05-21,1000.0,Craft & Sewing Supplies Storage
80,2021-05-22,1000.0,Craft & Sewing Supplies Storage
81,2021-05-23,852.0,Craft & Sewing Supplies Storage
82,2021-05-24,1107.0,Craft & Sewing Supplies Storage
83,2021-05-25,1627.0,Craft & Sewing Supplies Storage
84,2021-05-26,700.0,Craft & Sewing Supplies Storage
85,2021-05-27,613.0,Craft & Sewing Supplies Storage
86,2021-05-28,609.0,Craft & Sewing Supplies Storage
87,2021-05-29,588.0,Craft & Sewing Supplies Storage
88,2021-05-30,588.0,Craft & Sewing Supplies Storage
89,2021-05-31,588.0,Craft & Sewing Supplies Storage
90,2021-06-01,582.0,Craft & Sewing Supplies Storage
91,2021-06-02,582.0,Craft & Sewing Supplies Storage
92,2021-06-03,664.0,Craft & Sewing Supplies Storage
93,2021-06-04,838.0,Craft & Sewing Supplies Storage
94,2021-06-05,838.0,Craft & Sewing Supplies Storage
95,2021-06-06,566.0,Craft & Sewing Supplies Storage
96,2021-06-07,711.0,Craft & Sewing Supplies Storage
97,2021-06-08,674.0,Craft & Sewing Supplies Storage
98,2021-06-09,760.0,Craft & Sewing Supplies Storage
99,2021-06-10,544.0,Craft & Sewing Supplies Storage
100,2021-06-11,458.0,Craft & Sewing Supplies Storage
101,2021-06-12,404.0,Craft & Sewing Supplies Storage
102,2021-06-13,404.0,Craft & Sewing Supplies Storage
103,2021-06-14,372.0,Craft & Sewing Supplies Storage
104,2021-06-15,557.0,Craft & Sewing Supplies Storage
105,2021-06-16,475.0,Craft & Sewing Supplies Storage
106,2021-06-17,567.0,Craft & Sewing Supplies Storage
107,2021-06-18,567.0,Craft & Sewing Supplies Storage
108,2021-06-19,423.0,Craft & Sewing Supplies Storage
109,2021-06-20,423.0,Craft & Sewing Supplies Storage
110,2021-06-21,475.0,Craft & Sewing Supplies Storage
111,2021-06-22,150.0,Craft & Sewing Supplies Storage
112,2021-06-23,178.0,Craft & Sewing Supplies Storage
113,2021-06-24,196.0,Craft & Sewing Supplies Storage
114,2021-06-25,196.0,Craft & Sewing Supplies Storage
115,2021-06-26,227.0,Craft & Sewing Supplies Storage
116,2021-06-27,227.0,Craft & Sewing Supplies Storage
117,2021-06-28,305.0,Craft & Sewing Supplies Storage
118,2021-06-29,455.0,Craft & Sewing Supplies Storage
119,2021-06-30,474.0,Craft & Sewing Supplies Storage
120,2021-07-01,474.0,Craft & Sewing Supplies Storage
121,2021-07-02,356.0,Craft & Sewing Supplies Storage
122,2021-07-03,296.0,Craft & Sewing Supplies Storage
123,2021-07-04,316.0,Craft & Sewing Supplies Storage
124,2021-07-05,391.0,Craft & Sewing Supplies Storage
125,2021-07-06,512.0,Craft & Sewing Supplies Storage
126,2021-07-07,386.0,Craft & Sewing Supplies Storage
127,2021-07-08,517.0,Craft & Sewing Supplies Storage
128,2021-07-09,487.0,Craft & Sewing Supplies Storage
129,2021-07-10,478.0,Craft & Sewing Supplies Storage
