,date,value,name_B07YCTNHVD
0,2020-05-25,27404.0,All-Purpose Cleaners
1,2020-05-26,27404.0,All-Purpose Cleaners
2,2020-05-27,27404.0,All-Purpose Cleaners
3,2020-05-28,25794.0,All-Purpose Cleaners
4,2020-05-29,25794.0,All-Purpose Cleaners
5,2020-05-30,25794.0,All-Purpose Cleaners
6,2020-05-31,25794.0,All-Purpose Cleaners
7,2020-06-01,39680.0,All-Purpose Cleaners
8,2020-06-02,39680.0,All-Purpose Cleaners
9,2020-06-03,39680.0,All-Purpose Cleaners
10,2020-06-04,35215.0,All-Purpose Cleaners
11,2020-06-05,35215.0,All-Purpose Cleaners
12,2020-06-06,35215.0,All-Purpose Cleaners
13,2020-06-07,35215.0,All-Purpose Cleaners
14,2020-06-08,59951.0,All-Purpose Cleaners
15,2020-06-09,59951.0,All-Purpose Cleaners
16,2020-06-10,59951.0,All-Purpose Cleaners
17,2020-06-11,56265.0,All-Purpose Cleaners
18,2020-06-12,56265.0,All-Purpose Cleaners
19,2020-06-13,52959.0,All-Purpose Cleaners
20,2020-06-14,52959.0,All-Purpose Cleaners
21,2020-06-15,52959.0,All-Purpose Cleaners
22,2020-06-16,52959.0,All-Purpose Cleaners
23,2020-06-17,15753.0,All-Purpose Cleaners
24,2020-06-18,15753.0,All-Purpose Cleaners
25,2020-06-19,11932.0,All-Purpose Cleaners
26,2020-06-20,11932.0,All-Purpose Cleaners
27,2020-06-21,11932.0,All-Purpose Cleaners
28,2020-06-22,8668.0,All-Purpose Cleaners
29,2020-06-23,8668.0,All-Purpose Cleaners
30,2020-06-24,8668.0,All-Purpose Cleaners
31,2020-06-25,7823.0,All-Purpose Cleaners
32,2020-06-26,7823.0,All-Purpose Cleaners
33,2020-06-27,7823.0,All-Purpose Cleaners
34,2020-06-28,21004.0,All-Purpose Cleaners
35,2020-06-29,21071.0,All-Purpose Cleaners
36,2020-06-30,21071.0,All-Purpose Cleaners
37,2020-07-01,29767.0,All-Purpose Cleaners
38,2020-07-02,29767.0,All-Purpose Cleaners
39,2020-07-03,29767.0,All-Purpose Cleaners
40,2020-07-04,28548.0,All-Purpose Cleaners
41,2020-07-05,28548.0,All-Purpose Cleaners
42,2020-07-06,28548.0,All-Purpose Cleaners
43,2020-07-07,25883.0,All-Purpose Cleaners
44,2020-07-08,35591.0,All-Purpose Cleaners
45,2020-07-09,35591.0,All-Purpose Cleaners
46,2020-07-10,35591.0,All-Purpose Cleaners
47,2020-07-11,35591.0,All-Purpose Cleaners
48,2020-07-12,11915.0,All-Purpose Cleaners
49,2020-07-13,11915.0,All-Purpose Cleaners
50,2020-07-14,11915.0,All-Purpose Cleaners
51,2020-07-15,22557.0,All-Purpose Cleaners
52,2020-07-16,22557.0,All-Purpose Cleaners
53,2020-07-17,22557.0,All-Purpose Cleaners
54,2020-07-18,12609.0,All-Purpose Cleaners
55,2020-07-19,12609.0,All-Purpose Cleaners
56,2020-07-20,12609.0,All-Purpose Cleaners
57,2020-07-21,10926.0,All-Purpose Cleaners
58,2020-07-22,10926.0,All-Purpose Cleaners
59,2020-07-23,10926.0,All-Purpose Cleaners
60,2020-07-24,10926.0,All-Purpose Cleaners
61,2020-07-25,10135.0,All-Purpose Cleaners
62,2020-07-26,10135.0,All-Purpose Cleaners
63,2020-07-27,4872.0,All-Purpose Cleaners
64,2020-07-28,4401.0,All-Purpose Cleaners
65,2020-07-29,4401.0,All-Purpose Cleaners
66,2020-07-30,4530.0,All-Purpose Cleaners
67,2020-07-31,4219.0,All-Purpose Cleaners
68,2020-08-01,4219.0,All-Purpose Cleaners
69,2020-08-02,4219.0,All-Purpose Cleaners
70,2020-08-03,2765.0,All-Purpose Cleaners
71,2020-08-04,2765.0,All-Purpose Cleaners
72,2020-08-05,2765.0,All-Purpose Cleaners
73,2020-08-06,2145.0,All-Purpose Cleaners
74,2020-08-07,2145.0,All-Purpose Cleaners
75,2020-08-08,2122.0,All-Purpose Cleaners
76,2020-08-09,2122.0,All-Purpose Cleaners
77,2020-08-10,2192.0,All-Purpose Cleaners
78,2020-08-11,2031.0,All-Purpose Cleaners
79,2020-08-12,2142.0,All-Purpose Cleaners
80,2020-08-13,2030.0,All-Purpose Cleaners
81,2020-08-14,2030.0,All-Purpose Cleaners
82,2020-08-15,2030.0,All-Purpose Cleaners
83,2020-08-16,2025.0,All-Purpose Cleaners
84,2020-08-17,2328.0,All-Purpose Cleaners
85,2020-08-18,2318.0,All-Purpose Cleaners
86,2020-08-19,2315.0,All-Purpose Cleaners
87,2020-08-20,2315.0,All-Purpose Cleaners
88,2020-08-21,2315.0,All-Purpose Cleaners
89,2020-08-22,2379.0,All-Purpose Cleaners
90,2020-08-23,2379.0,All-Purpose Cleaners
91,2020-08-24,2379.0,All-Purpose Cleaners
92,2020-08-25,2935.0,All-Purpose Cleaners
93,2020-08-26,2935.0,All-Purpose Cleaners
94,2020-08-27,3255.0,All-Purpose Cleaners
95,2020-08-28,3255.0,All-Purpose Cleaners
96,2020-08-29,3255.0,All-Purpose Cleaners
97,2020-08-30,3417.0,All-Purpose Cleaners
98,2020-08-31,3887.0,All-Purpose Cleaners
99,2020-09-01,3887.0,All-Purpose Cleaners
100,2020-09-02,3887.0,All-Purpose Cleaners
101,2020-09-03,3601.0,All-Purpose Cleaners
102,2020-09-04,3976.0,All-Purpose Cleaners
103,2020-09-05,3976.0,All-Purpose Cleaners
104,2020-09-06,3976.0,All-Purpose Cleaners
105,2020-09-07,4460.0,All-Purpose Cleaners
106,2020-09-08,4460.0,All-Purpose Cleaners
107,2020-09-09,4176.0,All-Purpose Cleaners
108,2020-09-10,4737.0,All-Purpose Cleaners
109,2020-09-11,4737.0,All-Purpose Cleaners
110,2020-09-12,4177.0,All-Purpose Cleaners
111,2020-09-13,4177.0,All-Purpose Cleaners
112,2020-09-14,4177.0,All-Purpose Cleaners
113,2020-09-15,4623.0,All-Purpose Cleaners
114,2020-09-16,4623.0,All-Purpose Cleaners
115,2020-09-17,4317.0,All-Purpose Cleaners
116,2020-09-18,4317.0,All-Purpose Cleaners
117,2020-09-19,4317.0,All-Purpose Cleaners
118,2020-09-20,3923.0,All-Purpose Cleaners
119,2020-09-21,3923.0,All-Purpose Cleaners
120,2020-09-22,4255.0,All-Purpose Cleaners
121,2020-09-23,4255.0,All-Purpose Cleaners
122,2020-09-24,5231.0,All-Purpose Cleaners
123,2020-09-25,5231.0,All-Purpose Cleaners
124,2020-09-26,5231.0,All-Purpose Cleaners
125,2020-09-27,5562.0,All-Purpose Cleaners
126,2020-09-28,5562.0,All-Purpose Cleaners
127,2020-09-29,5562.0,All-Purpose Cleaners
128,2020-09-30,4559.0,All-Purpose Cleaners
129,2020-10-01,4559.0,All-Purpose Cleaners
130,2020-10-02,4559.0,All-Purpose Cleaners
131,2020-10-03,5000.0,All-Purpose Cleaners
132,2020-10-04,5000.0,All-Purpose Cleaners
133,2020-10-05,5657.0,All-Purpose Cleaners
134,2020-10-06,6090.0,All-Purpose Cleaners
135,2020-10-07,5884.0,All-Purpose Cleaners
136,2020-10-08,5884.0,All-Purpose Cleaners
137,2020-10-09,6443.0,All-Purpose Cleaners
138,2020-10-10,6241.0,All-Purpose Cleaners
139,2020-10-11,6241.0,All-Purpose Cleaners
140,2020-10-12,6241.0,All-Purpose Cleaners
141,2020-10-13,6398.0,All-Purpose Cleaners
142,2020-10-14,6398.0,All-Purpose Cleaners
143,2020-10-15,6398.0,All-Purpose Cleaners
144,2020-10-16,7748.0,All-Purpose Cleaners
145,2020-10-17,7748.0,All-Purpose Cleaners
146,2020-10-18,7748.0,All-Purpose Cleaners
147,2020-10-19,6576.0,All-Purpose Cleaners
148,2020-10-20,6215.0,All-Purpose Cleaners
149,2020-10-21,6215.0,All-Purpose Cleaners
150,2020-10-22,6645.0,All-Purpose Cleaners
151,2020-10-23,7114.0,All-Purpose Cleaners
152,2020-10-24,7114.0,All-Purpose Cleaners
153,2020-10-25,6851.0,All-Purpose Cleaners
154,2020-10-26,7651.0,All-Purpose Cleaners
155,2020-10-27,7651.0,All-Purpose Cleaners
156,2020-10-28,7651.0,All-Purpose Cleaners
157,2020-10-29,7342.0,All-Purpose Cleaners
158,2020-10-30,7342.0,All-Purpose Cleaners
159,2020-10-31,8332.0,All-Purpose Cleaners
160,2020-11-01,8332.0,All-Purpose Cleaners
161,2020-11-02,7595.0,All-Purpose Cleaners
162,2020-11-03,7595.0,All-Purpose Cleaners
