,date,value,name_B0946J31HD
0,2021-05-29,61302,Pumps
1,2021-05-30,22122,Pumps
2,2021-05-31,2189,Pumps
3,2021-06-01,4164,Pumps
4,2021-06-02,6399,Pumps
5,2021-06-03,14899,Pumps
6,2021-06-04,18945,Pumps
7,2021-06-05,28552,Pumps
8,2021-06-06,30708,Pumps
9,2021-06-07,24216,Pumps
10,2021-06-08,14444,Pumps
11,2021-06-09,16794,Pumps
12,2021-06-10,15816,Pumps
13,2021-06-11,17319,Pumps
14,2021-06-12,11288,Pumps
15,2021-06-13,13120,Pumps
16,2021-06-14,19832,Pumps
17,2021-06-15,20295,Pumps
18,2021-06-16,23384,Pumps
19,2021-06-17,17163,Pumps
20,2021-06-18,20735,Pumps
21,2021-06-19,23193,Pumps
22,2021-06-20,27869,Pumps
23,2021-06-21,36174,Pumps
24,2021-06-22,33815,Pumps
25,2021-06-23,26824,Pumps
26,2021-06-24,17167,Pumps
27,2021-06-25,15656,Pumps
28,2021-06-26,14443,Pumps
29,2021-06-27,16684,Pumps
30,2021-06-28,10472,Pumps
31,2021-06-29,18155,Pumps
32,2021-06-30,17248,Pumps
33,2021-07-01,14718,Pumps
34,2021-07-02,11712,Pumps
35,2021-07-03,18365,Pumps
36,2021-07-04,14122,Pumps
37,2021-07-05,17992,Pumps
38,2021-07-06,27183,Pumps
39,2021-07-07,21380,Pumps
40,2021-07-08,27989,Pumps
41,2021-07-09,31881,Pumps
