,date,value,name_B08FXX6H95
0,2021-03-26,84716.0,Bath Towels
1,2021-03-27,84716.0,Bath Towels
2,2021-03-28,90466.0,Bath Towels
3,2021-03-29,90466.0,Bath Towels
4,2021-03-30,74152.0,Bath Towels
5,2021-03-31,74152.0,Bath Towels
6,2021-04-01,64919.0,Bath Towels
7,2021-04-02,52711.0,Bath Towels
8,2021-04-03,52711.0,Bath Towels
9,2021-04-04,52711.0,Bath Towels
10,2021-04-05,54658.0,Bath Towels
11,2021-04-06,54658.0,Bath Towels
12,2021-04-07,48119.0,Bath Towels
13,2021-04-08,48119.0,Bath Towels
14,2021-04-09,39457.0,Bath Towels
15,2021-04-10,46914.0,Bath Towels
16,2021-04-11,46914.0,Bath Towels
17,2021-04-12,37833.0,Bath Towels
18,2021-04-13,37833.0,Bath Towels
19,2021-04-14,37833.0,Bath Towels
20,2021-04-15,56948.0,Bath Towels
21,2021-04-16,55695.0,Bath Towels
22,2021-04-17,55695.0,Bath Towels
23,2021-04-18,27276.0,Bath Towels
24,2021-04-19,33761.0,Bath Towels
25,2021-04-20,33761.0,Bath Towels
26,2021-04-21,32701.0,Bath Towels
27,2021-04-22,32701.0,Bath Towels
28,2021-04-23,25069.0,Bath Towels
29,2021-04-24,25069.0,Bath Towels
30,2021-04-25,25069.0,Bath Towels
31,2021-04-26,25069.0,Bath Towels
32,2021-04-27,25069.0,Bath Towels
33,2021-04-28,30312.0,Bath Towels
34,2021-04-29,30312.0,Bath Towels
35,2021-04-30,30312.0,Bath Towels
36,2021-05-01,21262.0,Bath Towels
37,2021-05-02,21262.0,Bath Towels
38,2021-05-03,21262.0,Bath Towels
39,2021-05-04,33188.0,Bath Towels
40,2021-05-05,33188.0,Bath Towels
41,2021-05-06,33188.0,Bath Towels
42,2021-05-07,33188.0,Bath Towels
43,2021-05-08,35661.0,Bath Towels
44,2021-05-09,35661.0,Bath Towels
45,2021-05-10,19888.0,Bath Towels
46,2021-05-11,19888.0,Bath Towels
47,2021-05-12,19888.0,Bath Towels
48,2021-05-13,19037.0,Bath Towels
49,2021-05-14,23401.0,Bath Towels
50,2021-05-15,23401.0,Bath Towels
51,2021-05-16,23401.0,Bath Towels
52,2021-05-17,23401.0,Bath Towels
53,2021-05-18,34366.0,Bath Towels
54,2021-05-19,41688.0,Bath Towels
55,2021-05-20,38697.0,Bath Towels
56,2021-05-21,40406.0,Bath Towels
57,2021-05-22,40406.0,Bath Towels
58,2021-05-23,40406.0,Bath Towels
59,2021-05-24,57955.0,Bath Towels
60,2021-05-25,57955.0,Bath Towels
61,2021-05-26,31481.0,Bath Towels
62,2021-05-27,31481.0,Bath Towels
63,2021-05-28,31481.0,Bath Towels
64,2021-05-29,31481.0,Bath Towels
65,2021-05-30,32176.0,Bath Towels
66,2021-05-31,32176.0,Bath Towels
67,2021-06-01,21771.0,Bath Towels
68,2021-06-02,21771.0,Bath Towels
69,2021-06-03,21771.0,Bath Towels
70,2021-06-04,21771.0,Bath Towels
71,2021-06-05,21771.0,Bath Towels
72,2021-06-06,27182.0,Bath Towels
73,2021-06-07,27182.0,Bath Towels
74,2021-06-08,27182.0,Bath Towels
75,2021-06-09,36585.0,Bath Towels
76,2021-06-10,36585.0,Bath Towels
77,2021-06-11,36585.0,Bath Towels
78,2021-06-12,36585.0,Bath Towels
79,2021-06-13,36585.0,Bath Towels
80,2021-06-14,36585.0,Bath Towels
81,2021-06-15,33360.0,Bath Towels
82,2021-06-16,33360.0,Bath Towels
83,2021-06-17,30774.0,Bath Towels
84,2021-06-18,30774.0,Bath Towels
85,2021-06-19,30774.0,Bath Towels
86,2021-06-20,30774.0,Bath Towels
87,2021-06-21,63866.0,Bath Towels
88,2021-06-22,10599.0,Bath Towels
89,2021-06-23,13234.0,Bath Towels
90,2021-06-24,19446.0,Bath Towels
91,2021-06-25,19446.0,Bath Towels
92,2021-06-26,19446.0,Bath Towels
93,2021-06-27,19446.0,Bath Towels
94,2021-06-28,33806.0,Bath Towels
95,2021-06-29,33806.0,Bath Towels
96,2021-06-30,33806.0,Bath Towels
97,2021-07-01,37677.0,Bath Towels
98,2021-07-02,37677.0,Bath Towels
99,2021-07-03,37677.0,Bath Towels
100,2021-07-04,37677.0,Bath Towels
101,2021-07-05,29190.0,Bath Towels
102,2021-07-06,25408.0,Bath Towels
103,2021-07-07,25408.0,Bath Towels
104,2021-07-08,27724.0,Bath Towels
105,2021-07-09,21311.0,Bath Towels
106,2021-07-10,12845.0,Bath Towels
