,date,value,name_B091SR82DC
0,2021-04-10,19148.0,Heating Pads
1,2021-04-11,19148.0,Heating Pads
2,2021-04-12,29572.0,Heating Pads
3,2021-04-13,34239.0,Heating Pads
4,2021-04-14,34239.0,Heating Pads
5,2021-04-15,23014.0,Heating Pads
6,2021-04-16,23014.0,Heating Pads
7,2021-04-17,24723.0,Heating Pads
8,2021-04-18,24723.0,Heating Pads
9,2021-04-19,27000.0,Heating Pads
10,2021-04-20,24501.0,Heating Pads
11,2021-04-21,27761.0,Heating Pads
12,2021-04-22,27761.0,Heating Pads
13,2021-04-23,22814.0,Heating Pads
14,2021-04-24,25117.0,Heating Pads
15,2021-04-25,25117.0,Heating Pads
16,2021-04-26,31872.0,Heating Pads
17,2021-04-27,31872.0,Heating Pads
18,2021-04-28,38886.0,Heating Pads
19,2021-04-29,38886.0,Heating Pads
20,2021-04-30,23536.0,Heating Pads
21,2021-05-01,23536.0,Heating Pads
22,2021-05-02,33321.0,Heating Pads
23,2021-05-03,36484.0,Heating Pads
24,2021-05-04,28781.0,Heating Pads
25,2021-05-05,28781.0,Heating Pads
26,2021-05-06,19433.0,Heating Pads
27,2021-05-07,19433.0,Heating Pads
28,2021-05-08,20392.0,Heating Pads
29,2021-05-09,20392.0,Heating Pads
30,2021-05-10,27253.0,Heating Pads
31,2021-05-11,27253.0,Heating Pads
32,2021-05-12,23032.0,Heating Pads
33,2021-05-13,23032.0,Heating Pads
34,2021-05-14,23032.0,Heating Pads
35,2021-05-15,23032.0,Heating Pads
36,2021-05-16,23032.0,Heating Pads
37,2021-05-17,191277.0,Heating Pads
38,2021-05-18,46074.0,Heating Pads
39,2021-05-19,46074.0,Heating Pads
40,2021-05-20,55911.0,Heating Pads
41,2021-05-21,29358.0,Heating Pads
42,2021-05-22,29358.0,Heating Pads
43,2021-05-23,33165.0,Heating Pads
44,2021-05-24,33165.0,Heating Pads
45,2021-05-25,34718.0,Heating Pads
46,2021-05-26,34718.0,Heating Pads
47,2021-05-27,34718.0,Heating Pads
48,2021-05-28,25552.0,Heating Pads
49,2021-05-29,35420.0,Heating Pads
50,2021-05-30,35420.0,Heating Pads
51,2021-05-31,31842.0,Heating Pads
52,2021-06-01,31842.0,Heating Pads
53,2021-06-02,31842.0,Heating Pads
54,2021-06-03,31842.0,Heating Pads
55,2021-06-04,31842.0,Heating Pads
56,2021-06-05,27375.0,Heating Pads
57,2021-06-06,27375.0,Heating Pads
58,2021-06-07,47019.0,Heating Pads
59,2021-06-08,47019.0,Heating Pads
60,2021-06-09,32963.0,Heating Pads
61,2021-06-10,32514.0,Heating Pads
62,2021-06-11,32514.0,Heating Pads
63,2021-06-12,32514.0,Heating Pads
64,2021-06-13,32514.0,Heating Pads
65,2021-06-14,26973.0,Heating Pads
66,2021-06-15,26973.0,Heating Pads
67,2021-06-16,31710.0,Heating Pads
68,2021-06-17,31710.0,Heating Pads
69,2021-06-18,31710.0,Heating Pads
70,2021-06-19,31710.0,Heating Pads
71,2021-06-20,25708.0,Heating Pads
72,2021-06-21,42228.0,Heating Pads
73,2021-06-22,12221.0,Heating Pads
74,2021-06-23,12221.0,Heating Pads
75,2021-06-24,12221.0,Heating Pads
76,2021-06-25,29488.0,Heating Pads
77,2021-06-26,29488.0,Heating Pads
78,2021-06-27,29488.0,Heating Pads
79,2021-06-28,33723.0,Heating Pads
80,2021-06-29,39226.0,Heating Pads
81,2021-06-30,39226.0,Heating Pads
82,2021-07-01,43102.0,Heating Pads
83,2021-07-02,43102.0,Heating Pads
84,2021-07-03,43102.0,Heating Pads
85,2021-07-04,43102.0,Heating Pads
86,2021-07-05,43102.0,Heating Pads
87,2021-07-06,56321.0,Heating Pads
88,2021-07-07,56321.0,Heating Pads
89,2021-07-08,56321.0,Heating Pads
90,2021-07-09,56321.0,Heating Pads
91,2021-07-10,56321.0,Heating Pads
92,2021-07-11,46690.0,Heating Pads
