,date,value,name_B07DMBRVNK
0,2019-07-02,33160.0,Paper Towels
1,2019-07-03,33160.0,Paper Towels
2,2019-07-04,33160.0,Paper Towels
3,2019-07-05,56508.0,Paper Towels
4,2019-07-06,56508.0,Paper Towels
5,2019-07-07,56508.0,Paper Towels
6,2019-07-08,56508.0,Paper Towels
7,2019-07-09,56508.0,Paper Towels
8,2019-07-10,60596.0,Paper Towels
9,2019-07-11,60596.0,Paper Towels
10,2019-07-12,60596.0,Paper Towels
11,2019-07-13,60596.0,Paper Towels
12,2019-07-14,79856.0,Paper Towels
13,2019-07-15,79856.0,Paper Towels
14,2019-07-16,141835.0,Paper Towels
15,2019-07-17,141835.0,Paper Towels
16,2019-07-18,103513.0,Paper Towels
17,2019-07-19,103513.0,Paper Towels
18,2019-07-20,75234.0,Paper Towels
19,2019-07-21,75234.0,Paper Towels
20,2019-07-22,75234.0,Paper Towels
21,2019-07-23,75234.0,Paper Towels
22,2019-07-24,75234.0,Paper Towels
23,2019-07-25,67958.0,Paper Towels
24,2019-07-26,67958.0,Paper Towels
25,2019-07-27,67958.0,Paper Towels
26,2019-07-28,67958.0,Paper Towels
27,2019-07-29,55618.0,Paper Towels
28,2019-07-30,55618.0,Paper Towels
29,2019-07-31,55618.0,Paper Towels
30,2019-08-01,37867.0,Paper Towels
31,2019-08-02,37867.0,Paper Towels
32,2019-08-03,37867.0,Paper Towels
33,2019-08-04,18727.0,Paper Towels
34,2019-08-05,25209.0,Paper Towels
35,2019-08-06,25209.0,Paper Towels
36,2019-08-07,74884.0,Paper Towels
37,2019-08-08,74884.0,Paper Towels
38,2019-08-09,74884.0,Paper Towels
39,2019-08-10,74884.0,Paper Towels
40,2019-08-11,74884.0,Paper Towels
41,2019-08-12,47409.0,Paper Towels
42,2019-08-13,47409.0,Paper Towels
43,2019-08-14,47409.0,Paper Towels
44,2019-08-15,75126.0,Paper Towels
45,2019-08-16,75126.0,Paper Towels
46,2019-08-17,75126.0,Paper Towels
47,2019-08-18,56105.0,Paper Towels
48,2019-08-19,34342.0,Paper Towels
49,2019-08-20,49371.0,Paper Towels
50,2019-08-21,27347.0,Paper Towels
51,2019-08-22,27347.0,Paper Towels
52,2019-08-23,27347.0,Paper Towels
53,2019-08-24,44013.0,Paper Towels
54,2019-08-25,44013.0,Paper Towels
55,2019-08-26,35504.0,Paper Towels
56,2019-08-27,57174.0,Paper Towels
