,date,value,name_B092HMWPDW
59,2021-06-21,3101.0,"Sheet Protectors, Card & Photo Sleeves"
60,2021-06-22,3320.0,"Sheet Protectors, Card & Photo Sleeves"
61,2021-06-23,3474.0,"Sheet Protectors, Card & Photo Sleeves"
62,2021-06-24,2754.0,"Sheet Protectors, Card & Photo Sleeves"
63,2021-06-25,2777.0,"Sheet Protectors, Card & Photo Sleeves"
64,2021-06-26,2777.0,"Sheet Protectors, Card & Photo Sleeves"
65,2021-06-27,2777.0,"Sheet Protectors, Card & Photo Sleeves"
66,2021-06-28,3204.0,"Sheet Protectors, Card & Photo Sleeves"
67,2021-06-29,3204.0,"Sheet Protectors, Card & Photo Sleeves"
68,2021-06-30,1243.0,"Sheet Protectors, Card & Photo Sleeves"
69,2021-07-01,1243.0,"Sheet Protectors, Card & Photo Sleeves"
70,2021-07-02,1592.0,"Sheet Protectors, Card & Photo Sleeves"
71,2021-07-03,2413.0,"Sheet Protectors, Card & Photo Sleeves"
72,2021-07-04,2413.0,"Sheet Protectors, Card & Photo Sleeves"
73,2021-07-05,1835.0,"Sheet Protectors, Card & Photo Sleeves"
74,2021-07-06,1822.0,"Sheet Protectors, Card & Photo Sleeves"
75,2021-07-07,1822.0,"Sheet Protectors, Card & Photo Sleeves"
76,2021-07-08,1822.0,"Sheet Protectors, Card & Photo Sleeves"
77,2021-07-09,2068.0,"Sheet Protectors, Card & Photo Sleeves"
78,2021-07-10,2225.0,"Sheet Protectors, Card & Photo Sleeves"
