,date,value,name_B07VXN8VWM
0,2019-09-16,103710.0,Container Sets
1,2019-09-17,141755.0,Container Sets
2,2019-09-18,174454.0,Container Sets
3,2019-09-19,180471.0,Container Sets
4,2019-09-20,106308.0,Container Sets
5,2019-09-21,102430.0,Container Sets
6,2019-09-22,147754.0,Container Sets
7,2019-09-23,151932.0,Container Sets
8,2019-09-24,94918.0,Container Sets
9,2019-09-25,54671.0,Container Sets
10,2019-09-26,43687.0,Container Sets
11,2019-09-27,61044.0,Container Sets
12,2019-09-28,71374.0,Container Sets
13,2019-09-29,71069.0,Container Sets
14,2019-09-30,46417.0,Container Sets
15,2019-10-01,68751.0,Container Sets
16,2019-10-02,64234.0,Container Sets
17,2019-10-03,49823.0,Container Sets
18,2019-10-04,58589.0,Container Sets
19,2019-10-05,82218.0,Container Sets
20,2019-10-06,46712.0,Container Sets
21,2019-10-07,84860.0,Container Sets
22,2019-10-08,90745.0,Container Sets
23,2019-10-09,85053.0,Container Sets
24,2019-10-10,81862.0,Container Sets
25,2019-10-11,92726.0,Container Sets
26,2019-10-12,64734.0,Container Sets
27,2019-10-13,44866.0,Container Sets
28,2019-10-14,52923.0,Container Sets
29,2019-10-15,46620.0,Container Sets
30,2019-10-16,36565.0,Container Sets
31,2019-10-17,46968.0,Container Sets
32,2019-10-18,75649.0,Container Sets
33,2019-10-19,52680.0,Container Sets
34,2019-10-20,44583.0,Container Sets
35,2019-10-21,67831.0,Container Sets
36,2019-10-22,71693.0,Container Sets
37,2019-10-23,74032.0,Container Sets
38,2019-10-24,53137.0,Container Sets
39,2019-10-25,53137.0,Container Sets
40,2019-10-26,27192.0,Container Sets
41,2019-10-27,58294.0,Container Sets
42,2019-10-28,35343.0,Container Sets
43,2019-10-29,28045.0,Container Sets
44,2019-10-30,29597.0,Container Sets
45,2019-10-31,35591.0,Container Sets
46,2019-11-01,27375.0,Container Sets
47,2019-11-02,27375.0,Container Sets
48,2019-11-03,23936.0,Container Sets
49,2019-11-04,24986.0,Container Sets
50,2019-11-05,20300.0,Container Sets
51,2019-11-06,21659.0,Container Sets
52,2019-11-07,20415.0,Container Sets
53,2019-11-08,20415.0,Container Sets
54,2019-11-09,20415.0,Container Sets
55,2019-11-10,12076.0,Container Sets
56,2019-11-11,12076.0,Container Sets
57,2019-11-12,12076.0,Container Sets
58,2019-11-13,12076.0,Container Sets
59,2019-11-14,12076.0,Container Sets
60,2019-11-15,12076.0,Container Sets
61,2019-11-16,12076.0,Container Sets
62,2019-11-17,12076.0,Container Sets
63,2019-11-18,7152.0,Container Sets
64,2019-11-19,7152.0,Container Sets
65,2019-11-20,7152.0,Container Sets
66,2019-11-21,12933.0,Container Sets
67,2019-11-22,10337.0,Container Sets
68,2019-11-23,10337.0,Container Sets
69,2019-11-24,6463.0,Container Sets
70,2019-11-25,8205.0,Container Sets
71,2019-11-26,8205.0,Container Sets
72,2019-11-27,8205.0,Container Sets
73,2019-11-28,8205.0,Container Sets
74,2019-11-29,8848.0,Container Sets
75,2019-11-30,8848.0,Container Sets
76,2019-12-01,8848.0,Container Sets
77,2019-12-02,14623.0,Container Sets
78,2019-12-03,14623.0,Container Sets
79,2019-12-04,17939.0,Container Sets
80,2019-12-05,17260.0,Container Sets
81,2019-12-06,21235.0,Container Sets
82,2019-12-07,21235.0,Container Sets
83,2019-12-08,21235.0,Container Sets
84,2019-12-09,16147.0,Container Sets
85,2019-12-10,16147.0,Container Sets
86,2019-12-11,16147.0,Container Sets
87,2019-12-12,16147.0,Container Sets
88,2019-12-13,16147.0,Container Sets
89,2019-12-14,23489.0,Container Sets
90,2019-12-15,23489.0,Container Sets
91,2019-12-16,15291.0,Container Sets
92,2019-12-17,15291.0,Container Sets
93,2019-12-18,15291.0,Container Sets
94,2019-12-19,15291.0,Container Sets
95,2019-12-20,21012.0,Container Sets
96,2019-12-21,21012.0,Container Sets
97,2019-12-22,21012.0,Container Sets
98,2019-12-23,21012.0,Container Sets
99,2019-12-24,21012.0,Container Sets
100,2019-12-25,21012.0,Container Sets
101,2019-12-26,21012.0,Container Sets
102,2019-12-27,11963.0,Container Sets
103,2019-12-28,11963.0,Container Sets
104,2019-12-29,11963.0,Container Sets
105,2019-12-30,5332.0,Container Sets
106,2019-12-31,5332.0,Container Sets
107,2020-01-01,5332.0,Container Sets
108,2020-01-02,5332.0,Container Sets
109,2020-01-03,5332.0,Container Sets
110,2020-01-04,5258.0,Container Sets
111,2020-01-05,5258.0,Container Sets
112,2020-01-06,5258.0,Container Sets
113,2020-01-07,5649.0,Container Sets
114,2020-01-08,5649.0,Container Sets
115,2020-01-09,7688.0,Container Sets
116,2020-01-10,7688.0,Container Sets
117,2020-01-11,7688.0,Container Sets
118,2020-01-12,7688.0,Container Sets
119,2020-01-13,4835.0,Container Sets
120,2020-01-14,4835.0,Container Sets
121,2020-01-15,3275.0,Container Sets
122,2020-01-16,3275.0,Container Sets
123,2020-01-17,3275.0,Container Sets
124,2020-01-18,3275.0,Container Sets
125,2020-01-19,3275.0,Container Sets
126,2020-01-20,6232.0,Container Sets
127,2020-01-21,6232.0,Container Sets
128,2020-01-22,6232.0,Container Sets
129,2020-01-23,9458.0,Container Sets
130,2020-01-24,9458.0,Container Sets
131,2020-01-25,9458.0,Container Sets
132,2020-01-26,10278.0,Container Sets
133,2020-01-27,10278.0,Container Sets
134,2020-01-28,10278.0,Container Sets
135,2020-01-29,10278.0,Container Sets
136,2020-01-30,10278.0,Container Sets
137,2020-01-31,10278.0,Container Sets
138,2020-02-01,10278.0,Container Sets
139,2020-02-02,11128.0,Container Sets
140,2020-02-03,11128.0,Container Sets
141,2020-02-04,8472.0,Container Sets
142,2020-02-05,8472.0,Container Sets
143,2020-02-06,8472.0,Container Sets
144,2020-02-07,8472.0,Container Sets
145,2020-02-08,7358.0,Container Sets
146,2020-02-09,7358.0,Container Sets
147,2020-02-10,7358.0,Container Sets
148,2020-02-11,6582.0,Container Sets
149,2020-02-12,6582.0,Container Sets
150,2020-02-13,6582.0,Container Sets
151,2020-02-14,6582.0,Container Sets
152,2020-02-15,6022.0,Container Sets
153,2020-02-16,6022.0,Container Sets
154,2020-02-17,6022.0,Container Sets
155,2020-02-18,6022.0,Container Sets
156,2020-02-19,19240.0,Container Sets
157,2020-02-20,19240.0,Container Sets
158,2020-02-21,19240.0,Container Sets
159,2020-02-22,19240.0,Container Sets
160,2020-02-23,19240.0,Container Sets
161,2020-02-24,19240.0,Container Sets
162,2020-02-25,19240.0,Container Sets
163,2020-02-26,19240.0,Container Sets
164,2020-02-27,19240.0,Container Sets
165,2020-02-28,19240.0,Container Sets
166,2020-02-29,31741.0,Container Sets
167,2020-03-01,31741.0,Container Sets
168,2020-03-02,31741.0,Container Sets
169,2020-03-03,31741.0,Container Sets
170,2020-03-04,31741.0,Container Sets
171,2020-03-05,31741.0,Container Sets
172,2020-03-06,31741.0,Container Sets
173,2020-03-07,31741.0,Container Sets
174,2020-03-08,31741.0,Container Sets
175,2020-03-09,31741.0,Container Sets
176,2020-03-10,31741.0,Container Sets
177,2020-03-11,31741.0,Container Sets
178,2020-03-12,31741.0,Container Sets
179,2020-03-13,31741.0,Container Sets
180,2020-03-14,31741.0,Container Sets
181,2020-03-15,31741.0,Container Sets
182,2020-03-16,31741.0,Container Sets
183,2020-03-17,31741.0,Container Sets
184,2020-03-18,31741.0,Container Sets
185,2020-03-19,31741.0,Container Sets
186,2020-03-20,31741.0,Container Sets
187,2020-03-21,31741.0,Container Sets
188,2020-03-22,31741.0,Container Sets
189,2020-03-23,31741.0,Container Sets
190,2020-03-24,31741.0,Container Sets
191,2020-03-25,31741.0,Container Sets
192,2020-03-26,31741.0,Container Sets
193,2020-03-27,31741.0,Container Sets
194,2020-03-28,-1.0,Container Sets
