,date,value,name_B08WBLFCD6
0,2021-03-05,39876.0,"Cleansing Cloths, Swabs & Wipes"
1,2021-03-06,44878.0,"Cleansing Cloths, Swabs & Wipes"
2,2021-03-07,44878.0,"Cleansing Cloths, Swabs & Wipes"
3,2021-03-08,64647.0,"Cleansing Cloths, Swabs & Wipes"
4,2021-03-09,71638.0,"Cleansing Cloths, Swabs & Wipes"
5,2021-03-10,78543.0,"Cleansing Cloths, Swabs & Wipes"
6,2021-03-11,83989.0,"Cleansing Cloths, Swabs & Wipes"
7,2021-03-12,85413.0,"Cleansing Cloths, Swabs & Wipes"
8,2021-03-13,42332.0,"Cleansing Cloths, Swabs & Wipes"
9,2021-03-14,27325.0,"Cleansing Cloths, Swabs & Wipes"
10,2021-03-15,10867.0,"Cleansing Cloths, Swabs & Wipes"
11,2021-03-16,7862.0,"Cleansing Cloths, Swabs & Wipes"
12,2021-03-17,6449.0,"Cleansing Cloths, Swabs & Wipes"
13,2021-03-18,5593.0,"Cleansing Cloths, Swabs & Wipes"
14,2021-03-19,5857.0,"Cleansing Cloths, Swabs & Wipes"
15,2021-03-20,4421.0,"Cleansing Cloths, Swabs & Wipes"
16,2021-03-21,4421.0,"Cleansing Cloths, Swabs & Wipes"
17,2021-03-22,8.0,"Cleansing Cloths, Swabs & Wipes"
18,2021-03-23,8.0,"Cleansing Cloths, Swabs & Wipes"
19,2021-03-24,10.0,"Cleansing Cloths, Swabs & Wipes"
20,2021-03-25,10.0,"Cleansing Cloths, Swabs & Wipes"
21,2021-03-26,11.0,"Cleansing Cloths, Swabs & Wipes"
22,2021-03-27,9.0,"Cleansing Cloths, Swabs & Wipes"
23,2021-03-28,10.0,"Cleansing Cloths, Swabs & Wipes"
24,2021-03-29,9.0,"Cleansing Cloths, Swabs & Wipes"
25,2021-03-30,9.0,"Cleansing Cloths, Swabs & Wipes"
26,2021-03-31,9.0,"Cleansing Cloths, Swabs & Wipes"
27,2021-04-01,9.0,"Cleansing Cloths, Swabs & Wipes"
28,2021-04-02,13.0,"Cleansing Cloths, Swabs & Wipes"
29,2021-04-03,9.0,"Cleansing Cloths, Swabs & Wipes"
30,2021-04-04,9.0,"Cleansing Cloths, Swabs & Wipes"
31,2021-04-05,7.0,"Cleansing Cloths, Swabs & Wipes"
32,2021-04-06,7.0,"Cleansing Cloths, Swabs & Wipes"
33,2021-04-07,7.0,"Cleansing Cloths, Swabs & Wipes"
34,2021-04-08,7.0,"Cleansing Cloths, Swabs & Wipes"
35,2021-04-09,7.0,"Cleansing Cloths, Swabs & Wipes"
36,2021-04-10,6.0,"Cleansing Cloths, Swabs & Wipes"
37,2021-04-11,7.0,"Cleansing Cloths, Swabs & Wipes"
