,date,value,name_B08BHTPHHL
0,2020-08-16,160603.0,Pillowcases
1,2020-08-17,126032.0,Pillowcases
2,2020-08-18,130191.0,Pillowcases
3,2020-08-19,149695.0,Pillowcases
4,2020-08-20,212879.0,Pillowcases
5,2020-08-21,121038.0,Pillowcases
6,2020-08-22,151973.0,Pillowcases
7,2020-08-23,208405.0,Pillowcases
8,2020-08-24,162992.0,Pillowcases
9,2020-08-25,56202.0,Pillowcases
10,2020-08-26,57557.0,Pillowcases
11,2020-08-27,52450.0,Pillowcases
12,2020-08-28,65884.0,Pillowcases
13,2020-08-29,66832.0,Pillowcases
14,2020-08-30,69349.0,Pillowcases
15,2020-08-31,74748.0,Pillowcases
16,2020-09-01,68181.0,Pillowcases
17,2020-09-02,72227.0,Pillowcases
18,2020-09-03,75988.0,Pillowcases
19,2020-09-04,61663.0,Pillowcases
20,2020-09-05,86076.0,Pillowcases
21,2020-09-06,136882.0,Pillowcases
22,2020-09-07,103030.0,Pillowcases
23,2020-09-08,121858.0,Pillowcases
24,2020-09-09,177008.0,Pillowcases
25,2020-09-10,167763.0,Pillowcases
26,2020-09-11,143421.0,Pillowcases
27,2020-09-12,151619.0,Pillowcases
28,2020-09-13,124726.0,Pillowcases
29,2020-09-14,124726.0,Pillowcases
30,2020-09-15,203919.0,Pillowcases
31,2020-09-16,234310.0,Pillowcases
32,2020-09-17,327360.0,Pillowcases
33,2020-09-18,253937.0,Pillowcases
34,2020-09-19,268829.0,Pillowcases
35,2020-09-20,268829.0,Pillowcases
36,2020-09-21,209527.0,Pillowcases
37,2020-09-22,170346.0,Pillowcases
38,2020-09-23,166070.0,Pillowcases
39,2020-09-24,190352.0,Pillowcases
40,2020-09-25,179063.0,Pillowcases
41,2020-09-26,122903.0,Pillowcases
42,2020-09-27,60428.0,Pillowcases
43,2020-09-28,39662.0,Pillowcases
44,2020-09-29,33605.0,Pillowcases
45,2020-09-30,22526.0,Pillowcases
46,2020-10-01,24153.0,Pillowcases
47,2020-10-02,21660.0,Pillowcases
48,2020-10-03,30375.0,Pillowcases
49,2020-10-04,30396.0,Pillowcases
50,2020-10-05,29237.0,Pillowcases
51,2020-10-06,37121.0,Pillowcases
52,2020-10-07,37121.0,Pillowcases
53,2020-10-08,28366.0,Pillowcases
54,2020-10-09,28366.0,Pillowcases
55,2020-10-10,22285.0,Pillowcases
56,2020-10-11,21107.0,Pillowcases
57,2020-10-12,23854.0,Pillowcases
58,2020-10-13,24168.0,Pillowcases
59,2020-10-14,24352.0,Pillowcases
60,2020-10-15,24751.0,Pillowcases
