,date,value,name_B08R23D8PH
0,2021-04-03,355339.0,Mattress Protectors
1,2021-04-04,564037.0,Mattress Protectors
2,2021-04-05,564037.0,Mattress Protectors
3,2021-04-06,564037.0,Mattress Protectors
4,2021-04-07,564037.0,Mattress Protectors
5,2021-04-08,263977.0,Mattress Protectors
6,2021-04-09,263977.0,Mattress Protectors
7,2021-04-10,263977.0,Mattress Protectors
8,2021-04-11,263977.0,Mattress Protectors
9,2021-04-12,213893.0,Mattress Protectors
10,2021-04-13,213893.0,Mattress Protectors
11,2021-04-14,213893.0,Mattress Protectors
12,2021-04-15,104438.0,Mattress Protectors
13,2021-04-16,104438.0,Mattress Protectors
14,2021-04-17,104438.0,Mattress Protectors
15,2021-04-18,104438.0,Mattress Protectors
16,2021-04-19,104438.0,Mattress Protectors
17,2021-04-20,74907.0,Mattress Protectors
18,2021-04-21,74907.0,Mattress Protectors
19,2021-04-22,74907.0,Mattress Protectors
20,2021-04-23,49137.0,Mattress Protectors
21,2021-04-24,49137.0,Mattress Protectors
22,2021-04-25,41706.0,Mattress Protectors
23,2021-04-26,41630.0,Mattress Protectors
24,2021-04-27,29659.0,Mattress Protectors
25,2021-04-28,29659.0,Mattress Protectors
26,2021-04-29,25572.0,Mattress Protectors
27,2021-04-30,37160.0,Mattress Protectors
28,2021-05-01,33763.0,Mattress Protectors
29,2021-05-02,40548.0,Mattress Protectors
30,2021-05-03,60382.0,Mattress Protectors
31,2021-05-04,60382.0,Mattress Protectors
32,2021-05-05,60382.0,Mattress Protectors
33,2021-05-06,60382.0,Mattress Protectors
34,2021-05-07,66846.0,Mattress Protectors
35,2021-05-08,66846.0,Mattress Protectors
36,2021-05-09,66846.0,Mattress Protectors
37,2021-05-10,66846.0,Mattress Protectors
38,2021-05-11,66846.0,Mattress Protectors
39,2021-05-12,111616.0,Mattress Protectors
40,2021-05-13,111616.0,Mattress Protectors
41,2021-05-14,71485.0,Mattress Protectors
42,2021-05-15,71485.0,Mattress Protectors
43,2021-05-16,117788.0,Mattress Protectors
44,2021-05-17,75918.0,Mattress Protectors
45,2021-05-18,75918.0,Mattress Protectors
46,2021-05-19,104633.0,Mattress Protectors
47,2021-05-20,104633.0,Mattress Protectors
48,2021-05-21,87145.0,Mattress Protectors
49,2021-05-22,87975.0,Mattress Protectors
50,2021-05-23,87975.0,Mattress Protectors
51,2021-05-24,77151.0,Mattress Protectors
52,2021-05-25,77151.0,Mattress Protectors
53,2021-05-26,69666.0,Mattress Protectors
54,2021-05-27,69666.0,Mattress Protectors
55,2021-05-28,102491.0,Mattress Protectors
56,2021-05-29,102491.0,Mattress Protectors
57,2021-05-30,104675.0,Mattress Protectors
58,2021-05-31,104675.0,Mattress Protectors
59,2021-06-01,104675.0,Mattress Protectors
60,2021-06-02,129738.0,Mattress Protectors
61,2021-06-03,54483.0,Mattress Protectors
62,2021-06-04,54483.0,Mattress Protectors
63,2021-06-05,54483.0,Mattress Protectors
64,2021-06-06,54483.0,Mattress Protectors
65,2021-06-07,54483.0,Mattress Protectors
66,2021-06-08,81369.0,Mattress Protectors
67,2021-06-09,81369.0,Mattress Protectors
68,2021-06-10,46962.0,Mattress Protectors
69,2021-06-11,46962.0,Mattress Protectors
70,2021-06-12,46962.0,Mattress Protectors
71,2021-06-13,46962.0,Mattress Protectors
72,2021-06-14,46962.0,Mattress Protectors
73,2021-06-15,46962.0,Mattress Protectors
74,2021-06-16,47851.0,Mattress Protectors
75,2021-06-17,47851.0,Mattress Protectors
76,2021-06-18,39716.0,Mattress Protectors
77,2021-06-19,39716.0,Mattress Protectors
78,2021-06-20,39716.0,Mattress Protectors
79,2021-06-21,39716.0,Mattress Protectors
80,2021-06-22,39716.0,Mattress Protectors
81,2021-06-23,64063.0,Mattress Protectors
82,2021-06-24,64194.0,Mattress Protectors
83,2021-06-25,64194.0,Mattress Protectors
84,2021-06-26,64194.0,Mattress Protectors
85,2021-06-27,64194.0,Mattress Protectors
86,2021-06-28,64194.0,Mattress Protectors
87,2021-06-29,52879.0,Mattress Protectors
88,2021-06-30,68091.0,Mattress Protectors
89,2021-07-01,81283.0,Mattress Protectors
90,2021-07-02,62145.0,Mattress Protectors
91,2021-07-03,62145.0,Mattress Protectors
92,2021-07-04,62145.0,Mattress Protectors
93,2021-07-05,65458.0,Mattress Protectors
94,2021-07-06,65458.0,Mattress Protectors
95,2021-07-07,65458.0,Mattress Protectors
96,2021-07-08,37624.0,Mattress Protectors
97,2021-07-09,61317.0,Mattress Protectors
