,date,value,name_B08DNHMV84
0,2020-09-01,153016.0,Bathroom Accessory Sets
1,2020-09-02,153016.0,Bathroom Accessory Sets
2,2020-09-03,153016.0,Bathroom Accessory Sets
3,2020-09-04,171499.0,Bathroom Accessory Sets
4,2020-09-05,171499.0,Bathroom Accessory Sets
5,2020-09-06,171499.0,Bathroom Accessory Sets
6,2020-09-07,85531.0,Bathroom Accessory Sets
7,2020-09-08,85531.0,Bathroom Accessory Sets
8,2020-09-09,121156.0,Bathroom Accessory Sets
9,2020-09-10,142295.0,Bathroom Accessory Sets
10,2020-09-11,142295.0,Bathroom Accessory Sets
11,2020-09-12,118623.0,Bathroom Accessory Sets
12,2020-09-13,118623.0,Bathroom Accessory Sets
13,2020-09-14,101291.0,Bathroom Accessory Sets
14,2020-09-15,69187.0,Bathroom Accessory Sets
15,2020-09-16,50704.0,Bathroom Accessory Sets
16,2020-09-17,50704.0,Bathroom Accessory Sets
17,2020-09-18,106333.0,Bathroom Accessory Sets
18,2020-09-19,106333.0,Bathroom Accessory Sets
19,2020-09-20,106333.0,Bathroom Accessory Sets
20,2020-09-21,106333.0,Bathroom Accessory Sets
21,2020-09-22,106333.0,Bathroom Accessory Sets
22,2020-09-23,78801.0,Bathroom Accessory Sets
23,2020-09-24,94838.0,Bathroom Accessory Sets
24,2020-09-25,94838.0,Bathroom Accessory Sets
25,2020-09-26,94838.0,Bathroom Accessory Sets
26,2020-09-27,88964.0,Bathroom Accessory Sets
27,2020-09-28,88964.0,Bathroom Accessory Sets
28,2020-09-29,88964.0,Bathroom Accessory Sets
29,2020-09-30,69019.0,Bathroom Accessory Sets
30,2020-10-01,63038.0,Bathroom Accessory Sets
31,2020-10-02,63038.0,Bathroom Accessory Sets
32,2020-10-03,63038.0,Bathroom Accessory Sets
33,2020-10-04,63038.0,Bathroom Accessory Sets
34,2020-10-05,63038.0,Bathroom Accessory Sets
35,2020-10-06,110289.0,Bathroom Accessory Sets
36,2020-10-07,110289.0,Bathroom Accessory Sets
37,2020-10-08,110289.0,Bathroom Accessory Sets
38,2020-10-09,110289.0,Bathroom Accessory Sets
39,2020-10-10,120074.0,Bathroom Accessory Sets
40,2020-10-11,120074.0,Bathroom Accessory Sets
41,2020-10-12,120074.0,Bathroom Accessory Sets
42,2020-10-13,120074.0,Bathroom Accessory Sets
43,2020-10-14,120074.0,Bathroom Accessory Sets
44,2020-10-15,120074.0,Bathroom Accessory Sets
45,2020-10-16,169275.0,Bathroom Accessory Sets
