,date,value,name_B08K915X75
0,2020-10-01,836.0,Flagpole Hardware
1,2020-10-02,836.0,Flagpole Hardware
2,2020-10-03,1044.0,Flagpole Hardware
3,2020-10-04,1044.0,Flagpole Hardware
4,2020-10-05,701.0,Flagpole Hardware
5,2020-10-06,701.0,Flagpole Hardware
6,2020-10-07,626.0,Flagpole Hardware
7,2020-10-08,626.0,Flagpole Hardware
8,2020-10-09,634.0,Flagpole Hardware
9,2020-10-10,634.0,Flagpole Hardware
10,2020-10-11,634.0,Flagpole Hardware
11,2020-10-12,618.0,Flagpole Hardware
12,2020-10-13,462.0,Flagpole Hardware
13,2020-10-14,912.0,Flagpole Hardware
14,2020-10-15,1024.0,Flagpole Hardware
15,2020-10-16,1024.0,Flagpole Hardware
16,2020-10-17,758.0,Flagpole Hardware
17,2020-10-18,577.0,Flagpole Hardware
18,2020-10-19,362.0,Flagpole Hardware
19,2020-10-20,440.0,Flagpole Hardware
20,2020-10-21,518.0,Flagpole Hardware
21,2020-10-22,541.0,Flagpole Hardware
22,2020-10-23,691.0,Flagpole Hardware
23,2020-10-24,652.0,Flagpole Hardware
24,2020-10-25,420.0,Flagpole Hardware
25,2020-10-26,456.0,Flagpole Hardware
26,2020-10-27,456.0,Flagpole Hardware
27,2020-10-28,420.0,Flagpole Hardware
28,2020-10-29,450.0,Flagpole Hardware
29,2020-10-30,458.0,Flagpole Hardware
30,2020-10-31,443.0,Flagpole Hardware
31,2020-11-01,443.0,Flagpole Hardware
32,2020-11-02,314.0,Flagpole Hardware
33,2020-11-03,441.0,Flagpole Hardware
34,2020-11-04,463.0,Flagpole Hardware
35,2020-11-05,586.0,Flagpole Hardware
36,2020-11-06,466.0,Flagpole Hardware
37,2020-11-07,466.0,Flagpole Hardware
38,2020-11-08,89.0,Flagpole Hardware
39,2020-11-09,89.0,Flagpole Hardware
40,2020-11-10,292.0,Flagpole Hardware
41,2020-11-11,351.0,Flagpole Hardware
42,2020-11-12,346.0,Flagpole Hardware
43,2020-11-13,537.0,Flagpole Hardware
44,2020-11-14,537.0,Flagpole Hardware
45,2020-11-15,660.0,Flagpole Hardware
46,2020-11-16,699.0,Flagpole Hardware
47,2020-11-17,699.0,Flagpole Hardware
48,2020-11-18,882.0,Flagpole Hardware
49,2020-11-19,964.0,Flagpole Hardware
50,2020-11-20,1077.0,Flagpole Hardware
51,2020-11-21,1176.0,Flagpole Hardware
52,2020-11-22,1176.0,Flagpole Hardware
53,2020-11-23,1363.0,Flagpole Hardware
54,2020-11-24,1185.0,Flagpole Hardware
55,2020-11-25,1185.0,Flagpole Hardware
56,2020-11-26,1503.0,Flagpole Hardware
57,2020-11-27,1503.0,Flagpole Hardware
58,2020-11-28,1237.0,Flagpole Hardware
59,2020-11-29,1237.0,Flagpole Hardware
60,2020-11-30,1056.0,Flagpole Hardware
61,2020-12-01,974.0,Flagpole Hardware
62,2020-12-02,974.0,Flagpole Hardware
63,2020-12-03,1150.0,Flagpole Hardware
64,2020-12-04,1119.0,Flagpole Hardware
65,2020-12-05,1457.0,Flagpole Hardware
66,2020-12-06,1457.0,Flagpole Hardware
67,2020-12-07,1229.0,Flagpole Hardware
68,2020-12-08,1809.0,Flagpole Hardware
69,2020-12-09,1607.0,Flagpole Hardware
70,2020-12-10,1469.0,Flagpole Hardware
71,2020-12-11,1513.0,Flagpole Hardware
72,2020-12-12,1511.0,Flagpole Hardware
