,date,value,name_B094Z5V438
0,2021-05-25,405.0,AA
1,2021-05-26,396.0,AA
2,2021-05-27,396.0,AA
3,2021-05-28,376.0,AA
4,2021-05-29,412.0,AA
5,2021-05-30,460.0,AA
6,2021-05-31,483.0,AA
7,2021-06-01,574.0,AA
8,2021-06-02,574.0,AA
9,2021-06-03,574.0,AA
10,2021-06-04,574.0,AA
11,2021-06-05,792.0,AA
12,2021-06-06,792.0,AA
13,2021-06-07,838.0,AA
14,2021-06-08,838.0,AA
15,2021-06-09,908.0,AA
16,2021-06-10,908.0,AA
17,2021-06-11,715.0,AA
18,2021-06-12,715.0,AA
19,2021-06-13,720.0,AA
20,2021-06-14,699.0,AA
21,2021-06-15,675.0,AA
22,2021-06-16,675.0,AA
23,2021-06-17,661.0,AA
24,2021-06-18,661.0,AA
25,2021-06-19,661.0,AA
26,2021-06-20,565.0,AA
27,2021-06-21,687.0,AA
28,2021-06-22,388.0,AA
29,2021-06-23,388.0,AA
30,2021-06-24,443.0,AA
31,2021-06-25,443.0,AA
32,2021-06-26,442.0,AA
33,2021-06-27,485.0,AA
34,2021-06-28,485.0,AA
35,2021-06-29,546.0,AA
36,2021-06-30,546.0,AA
37,2021-07-01,521.0,AA
38,2021-07-02,424.0,AA
39,2021-07-03,431.0,AA
40,2021-07-04,431.0,AA
41,2021-07-05,517.0,AA
42,2021-07-06,517.0,AA
43,2021-07-07,496.0,AA
44,2021-07-08,496.0,AA
45,2021-07-09,549.0,AA
46,2021-07-10,549.0,AA
47,2021-07-11,551.0,AA
