,date,value,name_B00BISH2PE
0,2021-04-21,46122,Acetaminophen
1,2021-04-22,18555,Acetaminophen
2,2021-04-23,13214,Acetaminophen
3,2021-04-24,8338,Acetaminophen
4,2021-04-25,6773,Acetaminophen
5,2021-04-26,6442,Acetaminophen
6,2021-04-27,6867,Acetaminophen
7,2021-04-28,6583,Acetaminophen
8,2021-04-29,7947,Acetaminophen
9,2021-04-30,9051,Acetaminophen
10,2021-05-01,10627,Acetaminophen
11,2021-05-02,13854,Acetaminophen
12,2021-05-03,15621,Acetaminophen
13,2021-05-04,16633,Acetaminophen
14,2021-05-05,13947,Acetaminophen
15,2021-05-06,15413,Acetaminophen
16,2021-05-07,13970,Acetaminophen
17,2021-05-08,16090,Acetaminophen
18,2021-05-09,16249,Acetaminophen
19,2021-05-10,16560,Acetaminophen
20,2021-05-11,14812,Acetaminophen
21,2021-05-12,14633,Acetaminophen
22,2021-05-13,16633,Acetaminophen
23,2021-05-14,18156,Acetaminophen
24,2021-05-15,16415,Acetaminophen
25,2021-05-16,11599,Acetaminophen
26,2021-05-17,16952,Acetaminophen
27,2021-05-18,14274,Acetaminophen
28,2021-05-19,13706,Acetaminophen
29,2021-05-20,14977,Acetaminophen
30,2021-05-21,14927,Acetaminophen
31,2021-05-22,13885,Acetaminophen
32,2021-05-23,16227,Acetaminophen
33,2021-05-24,18744,Acetaminophen
34,2021-05-25,18091,Acetaminophen
35,2021-05-26,14220,Acetaminophen
36,2021-05-27,14294,Acetaminophen
37,2021-05-28,14945,Acetaminophen
38,2021-05-29,18380,Acetaminophen
39,2021-05-30,12451,Acetaminophen
40,2021-05-31,12205,Acetaminophen
41,2021-06-01,14436,Acetaminophen
42,2021-06-02,14676,Acetaminophen
43,2021-06-03,14746,Acetaminophen
44,2021-06-04,15571,Acetaminophen
45,2021-06-05,18017,Acetaminophen
46,2021-06-06,17583,Acetaminophen
47,2021-06-07,16607,Acetaminophen
48,2021-06-08,16990,Acetaminophen
49,2021-06-09,18155,Acetaminophen
50,2021-06-10,16477,Acetaminophen
51,2021-06-11,14711,Acetaminophen
52,2021-06-12,19819,Acetaminophen
53,2021-06-13,15757,Acetaminophen
54,2021-06-14,17959,Acetaminophen
55,2021-06-15,19411,Acetaminophen
56,2021-06-16,20906,Acetaminophen
57,2021-06-17,26917,Acetaminophen
58,2021-06-18,21423,Acetaminophen
59,2021-06-19,22076,Acetaminophen
60,2021-06-20,20391,Acetaminophen
61,2021-06-21,17489,Acetaminophen
62,2021-06-22,21840,Acetaminophen
63,2021-06-23,20321,Acetaminophen
64,2021-06-24,19747,Acetaminophen
65,2021-06-25,19874,Acetaminophen
66,2021-06-26,21283,Acetaminophen
67,2021-06-27,19264,Acetaminophen
68,2021-06-28,18319,Acetaminophen
69,2021-06-29,20051,Acetaminophen
70,2021-06-30,17254,Acetaminophen
71,2021-07-01,18608,Acetaminophen
72,2021-07-02,18085,Acetaminophen
73,2021-07-03,18944,Acetaminophen
74,2021-07-04,16342,Acetaminophen
75,2021-07-05,16336,Acetaminophen
76,2021-07-06,20950,Acetaminophen
77,2021-07-07,21268,Acetaminophen
78,2021-07-08,18449,Acetaminophen
79,2021-07-09,15525,Acetaminophen
80,2021-07-10,16613,Acetaminophen
