,date,value,name_B07F732R3X
0,2020-05-26,2404.0,Vest Harnesses
1,2020-05-27,2404.0,Vest Harnesses
2,2020-05-28,2404.0,Vest Harnesses
3,2020-05-29,2699.0,Vest Harnesses
4,2020-05-30,2699.0,Vest Harnesses
5,2020-05-31,2699.0,Vest Harnesses
6,2020-06-01,2699.0,Vest Harnesses
7,2020-06-02,2066.0,Vest Harnesses
8,2020-06-03,2066.0,Vest Harnesses
9,2020-06-04,2066.0,Vest Harnesses
10,2020-06-05,1868.0,Vest Harnesses
11,2020-06-06,1752.0,Vest Harnesses
12,2020-06-07,1640.0,Vest Harnesses
13,2020-06-08,1804.0,Vest Harnesses
14,2020-06-09,1804.0,Vest Harnesses
15,2020-06-10,1746.0,Vest Harnesses
16,2020-06-11,1746.0,Vest Harnesses
17,2020-06-12,1709.0,Vest Harnesses
18,2020-06-13,1709.0,Vest Harnesses
19,2020-06-14,1709.0,Vest Harnesses
20,2020-06-15,1730.0,Vest Harnesses
21,2020-06-16,1730.0,Vest Harnesses
22,2020-06-17,1730.0,Vest Harnesses
23,2020-06-18,1721.0,Vest Harnesses
24,2020-06-19,1356.0,Vest Harnesses
25,2020-06-20,1356.0,Vest Harnesses
26,2020-06-21,1356.0,Vest Harnesses
27,2020-06-22,1356.0,Vest Harnesses
28,2020-06-23,1410.0,Vest Harnesses
29,2020-06-24,1410.0,Vest Harnesses
30,2020-06-25,1410.0,Vest Harnesses
31,2020-06-26,1447.0,Vest Harnesses
32,2020-06-27,1447.0,Vest Harnesses
33,2020-06-28,1276.0,Vest Harnesses
34,2020-06-29,1133.0,Vest Harnesses
35,2020-06-30,1133.0,Vest Harnesses
36,2020-07-01,1297.0,Vest Harnesses
37,2020-07-02,1562.0,Vest Harnesses
38,2020-07-03,1458.0,Vest Harnesses
39,2020-07-04,1458.0,Vest Harnesses
40,2020-07-05,1482.0,Vest Harnesses
41,2020-07-06,1485.0,Vest Harnesses
42,2020-07-07,1485.0,Vest Harnesses
43,2020-07-08,1619.0,Vest Harnesses
44,2020-07-09,1452.0,Vest Harnesses
45,2020-07-10,1385.0,Vest Harnesses
46,2020-07-11,1385.0,Vest Harnesses
47,2020-07-12,1631.0,Vest Harnesses
48,2020-07-13,1631.0,Vest Harnesses
49,2020-07-14,1631.0,Vest Harnesses
50,2020-07-15,1553.0,Vest Harnesses
51,2020-07-16,1224.0,Vest Harnesses
52,2020-07-17,1224.0,Vest Harnesses
53,2020-07-18,1249.0,Vest Harnesses
54,2020-07-19,1249.0,Vest Harnesses
55,2020-07-20,1249.0,Vest Harnesses
56,2020-07-21,1316.0,Vest Harnesses
57,2020-07-22,1199.0,Vest Harnesses
58,2020-07-23,1401.0,Vest Harnesses
59,2020-07-24,1534.0,Vest Harnesses
60,2020-07-25,1534.0,Vest Harnesses
61,2020-07-26,1534.0,Vest Harnesses
62,2020-07-27,1732.0,Vest Harnesses
63,2020-07-28,1531.0,Vest Harnesses
64,2020-07-29,1514.0,Vest Harnesses
65,2020-07-30,1437.0,Vest Harnesses
66,2020-07-31,1437.0,Vest Harnesses
67,2020-08-01,1733.0,Vest Harnesses
68,2020-08-02,1635.0,Vest Harnesses
69,2020-08-03,1635.0,Vest Harnesses
70,2020-08-04,1593.0,Vest Harnesses
71,2020-08-05,1593.0,Vest Harnesses
72,2020-08-06,2046.0,Vest Harnesses
73,2020-08-07,2046.0,Vest Harnesses
74,2020-08-08,1631.0,Vest Harnesses
75,2020-08-09,1712.0,Vest Harnesses
76,2020-08-10,1587.0,Vest Harnesses
77,2020-08-11,1564.0,Vest Harnesses
78,2020-08-12,1812.0,Vest Harnesses
79,2020-08-13,1354.0,Vest Harnesses
80,2020-08-14,1615.0,Vest Harnesses
81,2020-08-15,1735.0,Vest Harnesses
82,2020-08-16,1735.0,Vest Harnesses
83,2020-08-17,1794.0,Vest Harnesses
84,2020-08-18,1519.0,Vest Harnesses
85,2020-08-19,1519.0,Vest Harnesses
86,2020-08-20,1739.0,Vest Harnesses
87,2020-08-21,1739.0,Vest Harnesses
88,2020-08-22,1829.0,Vest Harnesses
89,2020-08-23,1829.0,Vest Harnesses
90,2020-08-24,1907.0,Vest Harnesses
91,2020-08-25,1907.0,Vest Harnesses
92,2020-08-26,1997.0,Vest Harnesses
93,2020-08-27,1873.0,Vest Harnesses
94,2020-08-28,1873.0,Vest Harnesses
95,2020-08-29,1873.0,Vest Harnesses
96,2020-08-30,1873.0,Vest Harnesses
97,2020-08-31,1617.0,Vest Harnesses
98,2020-09-01,1654.0,Vest Harnesses
99,2020-09-02,1903.0,Vest Harnesses
100,2020-09-03,1903.0,Vest Harnesses
101,2020-09-04,2290.0,Vest Harnesses
102,2020-09-05,2231.0,Vest Harnesses
103,2020-09-06,2579.0,Vest Harnesses
104,2020-09-07,2579.0,Vest Harnesses
105,2020-09-08,2579.0,Vest Harnesses
106,2020-09-09,2189.0,Vest Harnesses
107,2020-09-10,2372.0,Vest Harnesses
108,2020-09-11,2372.0,Vest Harnesses
109,2020-09-12,2062.0,Vest Harnesses
110,2020-09-13,1973.0,Vest Harnesses
111,2020-09-14,1973.0,Vest Harnesses
112,2020-09-15,2130.0,Vest Harnesses
113,2020-09-16,1729.0,Vest Harnesses
114,2020-09-17,1944.0,Vest Harnesses
115,2020-09-18,1944.0,Vest Harnesses
116,2020-09-19,2454.0,Vest Harnesses
117,2020-09-20,2454.0,Vest Harnesses
118,2020-09-21,2022.0,Vest Harnesses
119,2020-09-22,2361.0,Vest Harnesses
120,2020-09-23,2361.0,Vest Harnesses
121,2020-09-24,2361.0,Vest Harnesses
122,2020-09-25,2361.0,Vest Harnesses
123,2020-09-26,1991.0,Vest Harnesses
124,2020-09-27,1991.0,Vest Harnesses
125,2020-09-28,1888.0,Vest Harnesses
126,2020-09-29,2094.0,Vest Harnesses
127,2020-09-30,2054.0,Vest Harnesses
128,2020-10-01,2244.0,Vest Harnesses
129,2020-10-02,2244.0,Vest Harnesses
130,2020-10-03,2244.0,Vest Harnesses
131,2020-10-04,2453.0,Vest Harnesses
132,2020-10-05,2453.0,Vest Harnesses
133,2020-10-06,2453.0,Vest Harnesses
134,2020-10-07,2694.0,Vest Harnesses
135,2020-10-08,2694.0,Vest Harnesses
136,2020-10-09,2694.0,Vest Harnesses
137,2020-10-10,2694.0,Vest Harnesses
138,2020-10-11,1527.0,Vest Harnesses
139,2020-10-12,1527.0,Vest Harnesses
140,2020-10-13,2295.0,Vest Harnesses
141,2020-10-14,1961.0,Vest Harnesses
142,2020-10-15,1868.0,Vest Harnesses
143,2020-10-16,1868.0,Vest Harnesses
144,2020-10-17,2002.0,Vest Harnesses
145,2020-10-18,2002.0,Vest Harnesses
146,2020-10-19,2401.0,Vest Harnesses
147,2020-10-20,2410.0,Vest Harnesses
148,2020-10-21,2410.0,Vest Harnesses
149,2020-10-22,2410.0,Vest Harnesses
150,2020-10-23,2410.0,Vest Harnesses
151,2020-10-24,2686.0,Vest Harnesses
152,2020-10-25,2845.0,Vest Harnesses
153,2020-10-26,2845.0,Vest Harnesses
154,2020-10-27,2845.0,Vest Harnesses
155,2020-10-28,2624.0,Vest Harnesses
156,2020-10-29,2624.0,Vest Harnesses
157,2020-10-30,3208.0,Vest Harnesses
158,2020-10-31,3208.0,Vest Harnesses
159,2020-11-01,3208.0,Vest Harnesses
160,2020-11-02,2293.0,Vest Harnesses
161,2020-11-03,2293.0,Vest Harnesses
162,2020-11-04,3012.0,Vest Harnesses
163,2020-11-05,3012.0,Vest Harnesses
164,2020-11-06,3012.0,Vest Harnesses
165,2020-11-07,2672.0,Vest Harnesses
166,2020-11-08,2672.0,Vest Harnesses
167,2020-11-09,2672.0,Vest Harnesses
168,2020-11-10,1649.0,Vest Harnesses
169,2020-11-11,1421.0,Vest Harnesses
170,2020-11-12,1269.0,Vest Harnesses
171,2020-11-13,1269.0,Vest Harnesses
172,2020-11-14,1269.0,Vest Harnesses
173,2020-11-15,1178.0,Vest Harnesses
174,2020-11-16,1178.0,Vest Harnesses
175,2020-11-17,1423.0,Vest Harnesses
176,2020-11-18,1423.0,Vest Harnesses
177,2020-11-19,2011.0,Vest Harnesses
178,2020-11-20,2011.0,Vest Harnesses
179,2020-11-21,2011.0,Vest Harnesses
180,2020-11-22,2080.0,Vest Harnesses
181,2020-11-23,2092.0,Vest Harnesses
182,2020-11-24,2295.0,Vest Harnesses
183,2020-11-25,2250.0,Vest Harnesses
184,2020-11-26,2383.0,Vest Harnesses
185,2020-11-27,2383.0,Vest Harnesses
186,2020-11-28,2383.0,Vest Harnesses
187,2020-11-29,2383.0,Vest Harnesses
188,2020-11-30,2316.0,Vest Harnesses
189,2020-12-01,2706.0,Vest Harnesses
190,2020-12-02,2706.0,Vest Harnesses
191,2020-12-03,2464.0,Vest Harnesses
192,2020-12-04,2464.0,Vest Harnesses
193,2020-12-05,2738.0,Vest Harnesses
194,2020-12-06,2738.0,Vest Harnesses
195,2020-12-07,2374.0,Vest Harnesses
196,2020-12-08,2269.0,Vest Harnesses
197,2020-12-09,2372.0,Vest Harnesses
198,2020-12-10,2587.0,Vest Harnesses
199,2020-12-11,2623.0,Vest Harnesses
200,2020-12-12,2737.0,Vest Harnesses
201,2020-12-13,2479.0,Vest Harnesses
202,2020-12-14,2714.0,Vest Harnesses
203,2020-12-15,2117.0,Vest Harnesses
204,2020-12-16,2226.0,Vest Harnesses
205,2020-12-17,2226.0,Vest Harnesses
206,2020-12-18,2226.0,Vest Harnesses
207,2020-12-19,1916.0,Vest Harnesses
208,2020-12-20,1916.0,Vest Harnesses
209,2020-12-21,1599.0,Vest Harnesses
210,2020-12-22,1599.0,Vest Harnesses
211,2020-12-23,1513.0,Vest Harnesses
