,date,value,name_B0897BZ5VK
176,2020-11-25,8284.0,Dry
177,2020-11-26,8284.0,Dry
178,2020-11-27,8284.0,Dry
179,2020-11-28,9768.0,Dry
180,2020-11-29,9768.0,Dry
181,2020-11-30,9768.0,Dry
182,2020-12-01,9768.0,Dry
183,2020-12-02,9416.0,Dry
184,2020-12-03,9416.0,Dry
185,2020-12-04,9416.0,Dry
186,2020-12-05,9416.0,Dry
187,2020-12-06,7406.0,Dry
188,2020-12-07,7406.0,Dry
189,2020-12-08,7406.0,Dry
190,2020-12-09,7406.0,Dry
191,2020-12-10,7840.0,Dry
192,2020-12-11,6759.0,Dry
193,2020-12-12,6759.0,Dry
194,2020-12-13,6759.0,Dry
195,2020-12-14,6759.0,Dry
196,2020-12-15,7791.0,Dry
197,2020-12-16,7791.0,Dry
198,2020-12-17,7791.0,Dry
199,2020-12-18,7791.0,Dry
200,2020-12-19,7791.0,Dry
201,2020-12-20,7269.0,Dry
202,2020-12-21,7272.0,Dry
203,2020-12-22,7272.0,Dry
204,2020-12-23,7272.0,Dry
205,2020-12-24,6190.0,Dry
206,2020-12-25,6190.0,Dry
207,2020-12-26,6190.0,Dry
208,2020-12-27,6190.0,Dry
209,2020-12-28,6112.0,Dry
210,2020-12-29,6112.0,Dry
211,2020-12-30,6112.0,Dry
212,2020-12-31,6112.0,Dry
213,2021-01-01,6112.0,Dry
214,2021-01-02,9124.0,Dry
215,2021-01-03,9124.0,Dry
216,2021-01-04,9124.0,Dry
217,2021-01-05,9124.0,Dry
218,2021-01-06,6854.0,Dry
219,2021-01-07,6854.0,Dry
220,2021-01-08,6854.0,Dry
221,2021-01-09,6854.0,Dry
222,2021-01-10,5806.0,Dry
223,2021-01-11,5806.0,Dry
224,2021-01-12,5806.0,Dry
225,2021-01-13,7301.0,Dry
226,2021-01-14,7301.0,Dry
227,2021-01-15,6132.0,Dry
228,2021-01-16,6132.0,Dry
229,2021-01-17,6132.0,Dry
230,2021-01-18,6670.0,Dry
231,2021-01-19,6900.0,Dry
232,2021-01-20,6900.0,Dry
233,2021-01-21,6900.0,Dry
234,2021-01-22,6349.0,Dry
235,2021-01-23,6349.0,Dry
236,2021-01-24,6349.0,Dry
237,2021-01-25,6349.0,Dry
238,2021-01-26,6349.0,Dry
239,2021-01-27,8128.0,Dry
240,2021-01-28,8128.0,Dry
241,2021-01-29,8128.0,Dry
242,2021-01-30,5978.0,Dry
243,2021-01-31,5978.0,Dry
244,2021-02-01,5978.0,Dry
245,2021-02-02,7931.0,Dry
246,2021-02-03,7931.0,Dry
247,2021-02-04,7931.0,Dry
248,2021-02-05,6960.0,Dry
249,2021-02-06,6960.0,Dry
250,2021-02-07,6960.0,Dry
251,2021-02-08,6220.0,Dry
252,2021-02-09,6220.0,Dry
253,2021-02-10,5560.0,Dry
254,2021-02-11,5560.0,Dry
255,2021-02-12,5560.0,Dry
256,2021-02-13,5560.0,Dry
257,2021-02-14,5560.0,Dry
258,2021-02-15,6337.0,Dry
259,2021-02-16,6337.0,Dry
260,2021-02-17,4859.0,Dry
261,2021-02-18,4859.0,Dry
262,2021-02-19,4859.0,Dry
263,2021-02-20,4859.0,Dry
264,2021-02-21,4859.0,Dry
265,2021-02-22,6962.0,Dry
266,2021-02-23,6085.0,Dry
267,2021-02-24,5010.0,Dry
268,2021-02-25,5010.0,Dry
269,2021-02-26,6569.0,Dry
270,2021-02-27,6569.0,Dry
271,2021-02-28,6569.0,Dry
272,2021-03-01,6569.0,Dry
273,2021-03-02,6569.0,Dry
274,2021-03-03,7398.0,Dry
275,2021-03-04,7398.0,Dry
276,2021-03-05,7398.0,Dry
277,2021-03-06,7398.0,Dry
278,2021-03-07,7398.0,Dry
279,2021-03-08,7398.0,Dry
280,2021-03-09,7969.0,Dry
281,2021-03-10,7969.0,Dry
282,2021-03-11,7969.0,Dry
283,2021-03-12,7969.0,Dry
284,2021-03-13,7969.0,Dry
285,2021-03-14,7969.0,Dry
286,2021-03-15,6622.0,Dry
287,2021-03-16,6622.0,Dry
288,2021-03-17,6622.0,Dry
289,2021-03-18,6835.0,Dry
290,2021-03-19,6835.0,Dry
291,2021-03-20,6835.0,Dry
292,2021-03-21,7598.0,Dry
293,2021-03-22,7598.0,Dry
294,2021-03-23,7598.0,Dry
295,2021-03-24,6723.0,Dry
296,2021-03-25,6723.0,Dry
297,2021-03-26,6723.0,Dry
298,2021-03-27,6210.0,Dry
299,2021-03-28,6388.0,Dry
300,2021-03-29,6388.0,Dry
301,2021-03-30,6388.0,Dry
302,2021-03-31,6388.0,Dry
303,2021-04-01,5961.0,Dry
304,2021-04-02,5961.0,Dry
305,2021-04-03,7213.0,Dry
306,2021-04-04,7213.0,Dry
307,2021-04-05,7375.0,Dry
308,2021-04-06,7375.0,Dry
309,2021-04-07,7375.0,Dry
310,2021-04-08,6894.0,Dry
311,2021-04-09,6894.0,Dry
312,2021-04-10,10739.0,Dry
313,2021-04-11,10739.0,Dry
314,2021-04-12,10739.0,Dry
315,2021-04-13,10739.0,Dry
316,2021-04-14,7050.0,Dry
317,2021-04-15,7050.0,Dry
318,2021-04-16,7050.0,Dry
319,2021-04-17,6407.0,Dry
320,2021-04-18,6407.0,Dry
321,2021-04-19,6407.0,Dry
322,2021-04-20,6465.0,Dry
323,2021-04-21,6465.0,Dry
324,2021-04-22,6465.0,Dry
325,2021-04-23,8078.0,Dry
326,2021-04-24,8078.0,Dry
327,2021-04-25,7147.0,Dry
328,2021-04-26,7147.0,Dry
329,2021-04-27,7147.0,Dry
330,2021-04-28,7147.0,Dry
331,2021-04-29,5641.0,Dry
332,2021-04-30,5641.0,Dry
333,2021-05-01,5641.0,Dry
334,2021-05-02,5641.0,Dry
335,2021-05-03,6598.0,Dry
336,2021-05-04,6598.0,Dry
337,2021-05-05,6598.0,Dry
338,2021-05-06,6205.0,Dry
339,2021-05-07,6205.0,Dry
340,2021-05-08,6205.0,Dry
341,2021-05-09,6205.0,Dry
342,2021-05-10,8014.0,Dry
343,2021-05-11,6590.0,Dry
344,2021-05-12,6590.0,Dry
345,2021-05-13,6590.0,Dry
346,2021-05-14,6929.0,Dry
347,2021-05-15,6929.0,Dry
348,2021-05-16,6929.0,Dry
349,2021-05-17,5549.0,Dry
350,2021-05-18,5549.0,Dry
351,2021-05-19,5549.0,Dry
352,2021-05-20,7094.0,Dry
353,2021-05-21,7094.0,Dry
354,2021-05-22,7094.0,Dry
355,2021-05-23,7094.0,Dry
356,2021-05-24,6421.0,Dry
357,2021-05-25,6421.0,Dry
358,2021-05-26,6421.0,Dry
359,2021-05-27,6306.0,Dry
360,2021-05-28,5612.0,Dry
361,2021-05-29,5612.0,Dry
362,2021-05-30,5612.0,Dry
363,2021-05-31,5612.0,Dry
364,2021-06-01,7424.0,Dry
365,2021-06-02,7424.0,Dry
366,2021-06-03,3148.0,Dry
367,2021-06-04,3148.0,Dry
368,2021-06-05,3148.0,Dry
369,2021-06-06,5730.0,Dry
370,2021-06-07,5730.0,Dry
371,2021-06-08,6046.0,Dry
372,2021-06-09,6046.0,Dry
373,2021-06-10,8150.0,Dry
374,2021-06-11,8150.0,Dry
375,2021-06-12,8461.0,Dry
376,2021-06-13,8461.0,Dry
377,2021-06-14,5390.0,Dry
378,2021-06-15,5390.0,Dry
379,2021-06-16,5390.0,Dry
380,2021-06-17,3628.0,Dry
381,2021-06-18,3628.0,Dry
382,2021-06-19,6784.0,Dry
383,2021-06-20,7924.0,Dry
384,2021-06-21,7924.0,Dry
385,2021-06-22,6309.0,Dry
386,2021-06-23,6309.0,Dry
387,2021-06-24,6298.0,Dry
388,2021-06-25,6043.0,Dry
389,2021-06-26,6043.0,Dry
390,2021-06-27,7271.0,Dry
391,2021-06-28,7271.0,Dry
392,2021-06-29,7271.0,Dry
393,2021-06-30,5571.0,Dry
394,2021-07-01,6210.0,Dry
395,2021-07-02,5858.0,Dry
396,2021-07-03,5858.0,Dry
397,2021-07-04,5858.0,Dry
398,2021-07-05,5395.0,Dry
399,2021-07-06,5395.0,Dry
400,2021-07-07,5603.0,Dry
401,2021-07-08,5603.0,Dry
402,2021-07-09,5603.0,Dry
403,2021-07-10,5603.0,Dry
404,2021-07-11,5447.0,Dry
