,date,value,name_B07XD5NJSG
0,2019-09-05,15176.0,Panels
1,2019-09-06,21197.0,Panels
2,2019-09-07,16953.0,Panels
3,2019-09-08,21942.0,Panels
4,2019-09-09,23730.0,Panels
5,2019-09-10,16434.0,Panels
6,2019-09-11,14313.0,Panels
7,2019-09-12,13903.0,Panels
8,2019-09-13,13968.0,Panels
9,2019-09-14,16133.0,Panels
10,2019-09-15,20494.0,Panels
11,2019-09-16,18095.0,Panels
12,2019-09-17,16308.0,Panels
13,2019-09-18,17387.0,Panels
14,2019-09-19,15483.0,Panels
15,2019-09-20,18275.0,Panels
16,2019-09-21,22713.0,Panels
17,2019-09-22,15531.0,Panels
18,2019-09-23,16095.0,Panels
19,2019-09-24,12639.0,Panels
20,2019-09-25,16923.0,Panels
21,2019-09-26,16315.0,Panels
22,2019-09-27,15107.0,Panels
23,2019-09-28,17396.0,Panels
24,2019-09-29,16873.0,Panels
25,2019-09-30,14715.0,Panels
26,2019-10-01,17286.0,Panels
27,2019-10-02,14452.0,Panels
28,2019-10-03,14008.0,Panels
29,2019-10-04,13536.0,Panels
30,2019-10-05,16750.0,Panels
31,2019-10-06,16263.0,Panels
32,2019-10-07,16236.0,Panels
33,2019-10-08,18213.0,Panels
34,2019-10-09,20330.0,Panels
35,2019-10-10,25401.0,Panels
36,2019-10-11,17656.0,Panels
37,2019-10-12,16121.0,Panels
38,2019-10-13,15231.0,Panels
39,2019-10-14,16836.0,Panels
40,2019-10-15,16756.0,Panels
41,2019-10-16,14852.0,Panels
42,2019-10-17,19438.0,Panels
43,2019-10-18,17606.0,Panels
44,2019-10-19,13428.0,Panels
45,2019-10-20,15180.0,Panels
46,2019-10-21,13998.0,Panels
47,2019-10-22,13378.0,Panels
48,2019-10-23,12367.0,Panels
49,2019-10-24,15702.0,Panels
50,2019-10-25,12105.0,Panels
51,2019-10-26,11415.0,Panels
52,2019-10-27,10816.0,Panels
53,2019-10-28,13134.0,Panels
54,2019-10-29,17730.0,Panels
55,2019-10-30,17730.0,Panels
56,2019-10-31,17730.0,Panels
57,2019-11-01,17730.0,Panels
58,2019-11-02,17730.0,Panels
59,2019-11-03,17806.0,Panels
60,2019-11-04,12960.0,Panels
61,2019-11-05,13011.0,Panels
62,2019-11-06,14778.0,Panels
63,2019-11-07,12187.0,Panels
64,2019-11-08,12187.0,Panels
65,2019-11-09,12187.0,Panels
66,2019-11-10,12187.0,Panels
67,2019-11-11,12187.0,Panels
68,2019-11-12,11137.0,Panels
69,2019-11-13,12394.0,Panels
70,2019-11-14,12394.0,Panels
71,2019-11-15,12394.0,Panels
72,2019-11-16,12394.0,Panels
73,2019-11-17,11551.0,Panels
74,2019-11-18,11551.0,Panels
75,2019-11-19,11551.0,Panels
76,2019-11-20,9915.0,Panels
77,2019-11-21,7553.0,Panels
78,2019-11-22,9523.0,Panels
79,2019-11-23,9523.0,Panels
80,2019-11-24,9523.0,Panels
81,2019-11-25,10725.0,Panels
82,2019-11-26,10725.0,Panels
83,2019-11-27,12435.0,Panels
84,2019-11-28,11334.0,Panels
85,2019-11-29,18804.0,Panels
86,2019-11-30,18804.0,Panels
87,2019-12-01,18804.0,Panels
88,2019-12-02,16666.0,Panels
89,2019-12-03,16666.0,Panels
90,2019-12-04,16666.0,Panels
91,2019-12-05,16666.0,Panels
92,2019-12-06,22754.0,Panels
93,2019-12-07,22754.0,Panels
94,2019-12-08,22754.0,Panels
95,2019-12-09,17845.0,Panels
96,2019-12-10,17845.0,Panels
97,2019-12-11,17845.0,Panels
98,2019-12-12,17845.0,Panels
99,2019-12-13,17845.0,Panels
100,2019-12-14,21287.0,Panels
101,2019-12-15,21782.0,Panels
102,2019-12-16,21782.0,Panels
103,2019-12-17,21782.0,Panels
104,2019-12-18,21782.0,Panels
105,2019-12-19,21782.0,Panels
106,2019-12-20,23586.0,Panels
107,2019-12-21,23586.0,Panels
108,2019-12-22,18990.0,Panels
109,2019-12-23,18990.0,Panels
110,2019-12-24,18990.0,Panels
111,2019-12-25,18990.0,Panels
112,2019-12-26,18990.0,Panels
113,2019-12-27,17451.0,Panels
114,2019-12-28,8983.0,Panels
115,2019-12-29,8983.0,Panels
116,2019-12-30,8983.0,Panels
117,2019-12-31,9051.0,Panels
118,2020-01-01,7520.0,Panels
119,2020-01-02,7520.0,Panels
120,2020-01-03,7520.0,Panels
121,2020-01-04,7196.0,Panels
122,2020-01-05,7196.0,Panels
