,date,value,name_B092DNGK1H
0,2021-04-17,82335.0,Wall & Tabletop Frames
1,2021-04-18,82335.0,Wall & Tabletop Frames
2,2021-04-19,60809.0,Wall & Tabletop Frames
3,2021-04-20,89488.0,Wall & Tabletop Frames
4,2021-04-21,61935.0,Wall & Tabletop Frames
5,2021-04-22,77233.0,Wall & Tabletop Frames
6,2021-04-23,75689.0,Wall & Tabletop Frames
7,2021-04-24,75689.0,Wall & Tabletop Frames
8,2021-04-25,72429.0,Wall & Tabletop Frames
9,2021-04-26,72429.0,Wall & Tabletop Frames
10,2021-04-27,43095.0,Wall & Tabletop Frames
11,2021-04-28,49978.0,Wall & Tabletop Frames
12,2021-04-29,49978.0,Wall & Tabletop Frames
13,2021-04-30,43533.0,Wall & Tabletop Frames
14,2021-05-01,43533.0,Wall & Tabletop Frames
15,2021-05-02,31507.0,Wall & Tabletop Frames
16,2021-05-03,31845.0,Wall & Tabletop Frames
17,2021-05-04,31845.0,Wall & Tabletop Frames
18,2021-05-05,31845.0,Wall & Tabletop Frames
19,2021-05-06,31845.0,Wall & Tabletop Frames
20,2021-05-07,31845.0,Wall & Tabletop Frames
21,2021-05-08,49421.0,Wall & Tabletop Frames
22,2021-05-09,49421.0,Wall & Tabletop Frames
23,2021-05-10,70841.0,Wall & Tabletop Frames
24,2021-05-11,46145.0,Wall & Tabletop Frames
25,2021-05-12,46145.0,Wall & Tabletop Frames
26,2021-05-13,46145.0,Wall & Tabletop Frames
27,2021-05-14,68144.0,Wall & Tabletop Frames
28,2021-05-15,68144.0,Wall & Tabletop Frames
29,2021-05-16,55543.0,Wall & Tabletop Frames
30,2021-05-17,52333.0,Wall & Tabletop Frames
31,2021-05-18,52333.0,Wall & Tabletop Frames
32,2021-05-19,73865.0,Wall & Tabletop Frames
33,2021-05-20,52205.0,Wall & Tabletop Frames
34,2021-05-21,46380.0,Wall & Tabletop Frames
35,2021-05-22,46380.0,Wall & Tabletop Frames
36,2021-05-23,37840.0,Wall & Tabletop Frames
37,2021-05-24,37840.0,Wall & Tabletop Frames
38,2021-05-25,60515.0,Wall & Tabletop Frames
39,2021-05-26,60515.0,Wall & Tabletop Frames
40,2021-05-27,58324.0,Wall & Tabletop Frames
41,2021-05-28,68530.0,Wall & Tabletop Frames
42,2021-05-29,68530.0,Wall & Tabletop Frames
43,2021-05-30,68530.0,Wall & Tabletop Frames
44,2021-05-31,33846.0,Wall & Tabletop Frames
45,2021-06-01,48663.0,Wall & Tabletop Frames
46,2021-06-02,48663.0,Wall & Tabletop Frames
47,2021-06-03,46533.0,Wall & Tabletop Frames
48,2021-06-04,42207.0,Wall & Tabletop Frames
49,2021-06-05,42207.0,Wall & Tabletop Frames
50,2021-06-06,42207.0,Wall & Tabletop Frames
51,2021-06-07,38980.0,Wall & Tabletop Frames
52,2021-06-08,61660.0,Wall & Tabletop Frames
53,2021-06-09,56069.0,Wall & Tabletop Frames
54,2021-06-10,43244.0,Wall & Tabletop Frames
55,2021-06-11,42596.0,Wall & Tabletop Frames
56,2021-06-12,42596.0,Wall & Tabletop Frames
57,2021-06-13,58463.0,Wall & Tabletop Frames
58,2021-06-14,58463.0,Wall & Tabletop Frames
59,2021-06-15,32877.0,Wall & Tabletop Frames
60,2021-06-16,36426.0,Wall & Tabletop Frames
61,2021-06-17,32944.0,Wall & Tabletop Frames
62,2021-06-18,34966.0,Wall & Tabletop Frames
63,2021-06-19,35213.0,Wall & Tabletop Frames
64,2021-06-20,41228.0,Wall & Tabletop Frames
65,2021-06-21,43059.0,Wall & Tabletop Frames
66,2021-06-22,54607.0,Wall & Tabletop Frames
67,2021-06-23,52555.0,Wall & Tabletop Frames
68,2021-06-24,53315.0,Wall & Tabletop Frames
69,2021-06-25,43464.0,Wall & Tabletop Frames
70,2021-06-26,47612.0,Wall & Tabletop Frames
71,2021-06-27,39096.0,Wall & Tabletop Frames
72,2021-06-28,37769.0,Wall & Tabletop Frames
73,2021-06-29,45836.0,Wall & Tabletop Frames
74,2021-06-30,55550.0,Wall & Tabletop Frames
75,2021-07-01,38583.0,Wall & Tabletop Frames
76,2021-07-02,56279.0,Wall & Tabletop Frames
77,2021-07-03,51183.0,Wall & Tabletop Frames
78,2021-07-04,50352.0,Wall & Tabletop Frames
79,2021-07-05,44322.0,Wall & Tabletop Frames
80,2021-07-06,46788.0,Wall & Tabletop Frames
81,2021-07-07,50803.0,Wall & Tabletop Frames
82,2021-07-08,59343.0,Wall & Tabletop Frames
83,2021-07-09,40894.0,Wall & Tabletop Frames
