,date,value,name_B08HYHZLQN
144,2021-02-11,15582.0,LED Bulbs
145,2021-02-12,15582.0,LED Bulbs
146,2021-02-13,15582.0,LED Bulbs
147,2021-02-14,15582.0,LED Bulbs
148,2021-02-15,15221.0,LED Bulbs
149,2021-02-16,15221.0,LED Bulbs
150,2021-02-17,15221.0,LED Bulbs
151,2021-02-18,16377.0,LED Bulbs
152,2021-02-19,16377.0,LED Bulbs
153,2021-02-20,16930.0,LED Bulbs
154,2021-02-21,16930.0,LED Bulbs
155,2021-02-22,16930.0,LED Bulbs
156,2021-02-23,16930.0,LED Bulbs
157,2021-02-24,16930.0,LED Bulbs
158,2021-02-25,15808.0,LED Bulbs
159,2021-02-26,15808.0,LED Bulbs
160,2021-02-27,15808.0,LED Bulbs
161,2021-02-28,15808.0,LED Bulbs
162,2021-03-01,15808.0,LED Bulbs
163,2021-03-02,11528.0,LED Bulbs
164,2021-03-03,11528.0,LED Bulbs
165,2021-03-04,11528.0,LED Bulbs
166,2021-03-05,11528.0,LED Bulbs
167,2021-03-06,11528.0,LED Bulbs
168,2021-03-07,11528.0,LED Bulbs
169,2021-03-08,8808.0,LED Bulbs
170,2021-03-09,8808.0,LED Bulbs
171,2021-03-10,8808.0,LED Bulbs
172,2021-03-11,7275.0,LED Bulbs
173,2021-03-12,7275.0,LED Bulbs
174,2021-03-13,5518.0,LED Bulbs
175,2021-03-14,5518.0,LED Bulbs
176,2021-03-15,5518.0,LED Bulbs
177,2021-03-16,5175.0,LED Bulbs
178,2021-03-17,5519.0,LED Bulbs
179,2021-03-18,5519.0,LED Bulbs
180,2021-03-19,5519.0,LED Bulbs
181,2021-03-20,6794.0,LED Bulbs
182,2021-03-21,6794.0,LED Bulbs
183,2021-03-22,6794.0,LED Bulbs
184,2021-03-23,5340.0,LED Bulbs
185,2021-03-24,5340.0,LED Bulbs
186,2021-03-25,6160.0,LED Bulbs
187,2021-03-26,6160.0,LED Bulbs
188,2021-03-27,6160.0,LED Bulbs
189,2021-03-28,6160.0,LED Bulbs
190,2021-03-29,5645.0,LED Bulbs
191,2021-03-30,5645.0,LED Bulbs
192,2021-03-31,5645.0,LED Bulbs
193,2021-04-01,5405.0,LED Bulbs
194,2021-04-02,6460.0,LED Bulbs
195,2021-04-03,6460.0,LED Bulbs
196,2021-04-04,6460.0,LED Bulbs
197,2021-04-05,6460.0,LED Bulbs
198,2021-04-06,6460.0,LED Bulbs
199,2021-04-07,6460.0,LED Bulbs
200,2021-04-08,8303.0,LED Bulbs
201,2021-04-09,8303.0,LED Bulbs
202,2021-04-10,8303.0,LED Bulbs
203,2021-04-11,8303.0,LED Bulbs
204,2021-04-12,8303.0,LED Bulbs
205,2021-04-13,9556.0,LED Bulbs
206,2021-04-14,10656.0,LED Bulbs
207,2021-04-15,10656.0,LED Bulbs
208,2021-04-16,10656.0,LED Bulbs
209,2021-04-17,10656.0,LED Bulbs
210,2021-04-18,12501.0,LED Bulbs
211,2021-04-19,14217.0,LED Bulbs
212,2021-04-20,14217.0,LED Bulbs
213,2021-04-21,14217.0,LED Bulbs
214,2021-04-22,14217.0,LED Bulbs
215,2021-04-23,9869.0,LED Bulbs
216,2021-04-24,9869.0,LED Bulbs
217,2021-04-25,9869.0,LED Bulbs
218,2021-04-26,9869.0,LED Bulbs
219,2021-04-27,9780.0,LED Bulbs
