,date,value,name_B08TZYQLPC
0,2021-02-09,56938.0,Lawn Mower Replacement Parts
1,2021-02-10,56938.0,Lawn Mower Replacement Parts
2,2021-02-11,56938.0,Lawn Mower Replacement Parts
3,2021-02-12,56938.0,Lawn Mower Replacement Parts
4,2021-02-13,56938.0,Lawn Mower Replacement Parts
5,2021-02-14,56938.0,Lawn Mower Replacement Parts
6,2021-02-15,56938.0,Lawn Mower Replacement Parts
7,2021-02-16,56938.0,Lawn Mower Replacement Parts
8,2021-02-17,56938.0,Lawn Mower Replacement Parts
9,2021-02-18,56938.0,Lawn Mower Replacement Parts
10,2021-02-19,56938.0,Lawn Mower Replacement Parts
11,2021-02-20,56938.0,Lawn Mower Replacement Parts
12,2021-02-21,56938.0,Lawn Mower Replacement Parts
13,2021-02-22,56938.0,Lawn Mower Replacement Parts
14,2021-02-23,56938.0,Lawn Mower Replacement Parts
15,2021-02-24,167044.0,Lawn Mower Replacement Parts
16,2021-02-25,167044.0,Lawn Mower Replacement Parts
17,2021-02-26,167044.0,Lawn Mower Replacement Parts
18,2021-02-27,167044.0,Lawn Mower Replacement Parts
19,2021-02-28,167044.0,Lawn Mower Replacement Parts
20,2021-03-01,167044.0,Lawn Mower Replacement Parts
21,2021-03-02,167044.0,Lawn Mower Replacement Parts
22,2021-03-03,167044.0,Lawn Mower Replacement Parts
23,2021-03-04,167044.0,Lawn Mower Replacement Parts
24,2021-03-05,167044.0,Lawn Mower Replacement Parts
25,2021-03-06,167044.0,Lawn Mower Replacement Parts
26,2021-03-07,167044.0,Lawn Mower Replacement Parts
27,2021-03-08,14115.0,Lawn Mower Replacement Parts
28,2021-03-09,14115.0,Lawn Mower Replacement Parts
29,2021-03-10,14115.0,Lawn Mower Replacement Parts
30,2021-03-11,13442.0,Lawn Mower Replacement Parts
31,2021-03-12,13442.0,Lawn Mower Replacement Parts
32,2021-03-13,13442.0,Lawn Mower Replacement Parts
33,2021-03-14,13442.0,Lawn Mower Replacement Parts
34,2021-03-15,7890.0,Lawn Mower Replacement Parts
35,2021-03-16,5190.0,Lawn Mower Replacement Parts
36,2021-03-17,8190.0,Lawn Mower Replacement Parts
37,2021-03-18,8190.0,Lawn Mower Replacement Parts
38,2021-03-19,8190.0,Lawn Mower Replacement Parts
39,2021-03-20,6531.0,Lawn Mower Replacement Parts
40,2021-03-21,7120.0,Lawn Mower Replacement Parts
41,2021-03-22,7120.0,Lawn Mower Replacement Parts
42,2021-03-23,7120.0,Lawn Mower Replacement Parts
43,2021-03-24,7120.0,Lawn Mower Replacement Parts
44,2021-03-25,7120.0,Lawn Mower Replacement Parts
45,2021-03-26,42619.0,Lawn Mower Replacement Parts
46,2021-03-27,42619.0,Lawn Mower Replacement Parts
47,2021-03-28,42619.0,Lawn Mower Replacement Parts
48,2021-03-29,28594.0,Lawn Mower Replacement Parts
49,2021-03-30,28594.0,Lawn Mower Replacement Parts
50,2021-03-31,28594.0,Lawn Mower Replacement Parts
51,2021-04-01,28594.0,Lawn Mower Replacement Parts
52,2021-04-02,22737.0,Lawn Mower Replacement Parts
53,2021-04-03,22737.0,Lawn Mower Replacement Parts
54,2021-04-04,22737.0,Lawn Mower Replacement Parts
55,2021-04-05,22737.0,Lawn Mower Replacement Parts
56,2021-04-06,11831.0,Lawn Mower Replacement Parts
57,2021-04-07,12181.0,Lawn Mower Replacement Parts
58,2021-04-08,12181.0,Lawn Mower Replacement Parts
59,2021-04-09,12181.0,Lawn Mower Replacement Parts
60,2021-04-10,13353.0,Lawn Mower Replacement Parts
61,2021-04-11,13353.0,Lawn Mower Replacement Parts
62,2021-04-12,13353.0,Lawn Mower Replacement Parts
63,2021-04-13,13353.0,Lawn Mower Replacement Parts
64,2021-04-14,8485.0,Lawn Mower Replacement Parts
65,2021-04-15,8485.0,Lawn Mower Replacement Parts
66,2021-04-16,8485.0,Lawn Mower Replacement Parts
67,2021-04-17,8485.0,Lawn Mower Replacement Parts
68,2021-04-18,8485.0,Lawn Mower Replacement Parts
69,2021-04-19,12181.0,Lawn Mower Replacement Parts
70,2021-04-20,12181.0,Lawn Mower Replacement Parts
71,2021-04-21,12476.0,Lawn Mower Replacement Parts
72,2021-04-22,12476.0,Lawn Mower Replacement Parts
73,2021-04-23,12476.0,Lawn Mower Replacement Parts
74,2021-04-24,12476.0,Lawn Mower Replacement Parts
75,2021-04-25,12476.0,Lawn Mower Replacement Parts
76,2021-04-26,11324.0,Lawn Mower Replacement Parts
77,2021-04-27,11324.0,Lawn Mower Replacement Parts
78,2021-04-28,11324.0,Lawn Mower Replacement Parts
79,2021-04-29,14394.0,Lawn Mower Replacement Parts
80,2021-04-30,14394.0,Lawn Mower Replacement Parts
81,2021-05-01,14394.0,Lawn Mower Replacement Parts
82,2021-05-02,14394.0,Lawn Mower Replacement Parts
83,2021-05-03,14394.0,Lawn Mower Replacement Parts
84,2021-05-04,14394.0,Lawn Mower Replacement Parts
85,2021-05-05,14394.0,Lawn Mower Replacement Parts
86,2021-05-06,7146.0,Lawn Mower Replacement Parts
87,2021-05-07,7146.0,Lawn Mower Replacement Parts
88,2021-05-08,4596.0,Lawn Mower Replacement Parts
89,2021-05-09,4596.0,Lawn Mower Replacement Parts
