,date,value,name_B08MV3JV4Y
0,2021-01-10,4828.0,Pizza Grilling Stones
1,2021-01-11,4828.0,Pizza Grilling Stones
2,2021-01-12,4051.0,Pizza Grilling Stones
3,2021-01-13,4051.0,Pizza Grilling Stones
4,2021-01-14,4051.0,Pizza Grilling Stones
5,2021-01-15,12331.0,Pizza Grilling Stones
6,2021-01-16,21660.0,Pizza Grilling Stones
7,2021-01-17,24765.0,Pizza Grilling Stones
8,2021-01-18,41807.0,Pizza Grilling Stones
9,2021-01-19,59883.0,Pizza Grilling Stones
10,2021-01-20,59883.0,Pizza Grilling Stones
11,2021-01-21,59883.0,Pizza Grilling Stones
12,2021-01-22,59883.0,Pizza Grilling Stones
13,2021-01-23,59883.0,Pizza Grilling Stones
14,2021-01-24,102938.0,Pizza Grilling Stones
15,2021-01-25,102938.0,Pizza Grilling Stones
16,2021-01-26,6919.0,Pizza Grilling Stones
17,2021-01-27,6919.0,Pizza Grilling Stones
18,2021-01-28,6919.0,Pizza Grilling Stones
19,2021-01-29,6919.0,Pizza Grilling Stones
20,2021-01-30,3674.0,Pizza Grilling Stones
21,2021-01-31,3674.0,Pizza Grilling Stones
22,2021-02-01,3674.0,Pizza Grilling Stones
23,2021-02-02,3674.0,Pizza Grilling Stones
24,2021-02-03,2174.0,Pizza Grilling Stones
25,2021-02-04,2174.0,Pizza Grilling Stones
26,2021-02-05,1144.0,Pizza Grilling Stones
27,2021-02-06,1144.0,Pizza Grilling Stones
28,2021-02-07,1763.0,Pizza Grilling Stones
29,2021-02-08,3289.0,Pizza Grilling Stones
30,2021-02-09,3289.0,Pizza Grilling Stones
31,2021-02-10,2243.0,Pizza Grilling Stones
32,2021-02-11,2243.0,Pizza Grilling Stones
33,2021-02-12,2243.0,Pizza Grilling Stones
34,2021-02-13,2308.0,Pizza Grilling Stones
35,2021-02-14,2308.0,Pizza Grilling Stones
36,2021-02-15,2757.0,Pizza Grilling Stones
37,2021-02-16,4163.0,Pizza Grilling Stones
38,2021-02-17,5118.0,Pizza Grilling Stones
39,2021-02-18,5002.0,Pizza Grilling Stones
40,2021-02-19,5002.0,Pizza Grilling Stones
41,2021-02-20,5002.0,Pizza Grilling Stones
42,2021-02-21,4232.0,Pizza Grilling Stones
43,2021-02-22,4232.0,Pizza Grilling Stones
44,2021-02-23,4232.0,Pizza Grilling Stones
45,2021-02-24,4517.0,Pizza Grilling Stones
46,2021-02-25,5753.0,Pizza Grilling Stones
47,2021-02-26,4389.0,Pizza Grilling Stones
48,2021-02-27,4389.0,Pizza Grilling Stones
49,2021-02-28,3881.0,Pizza Grilling Stones
50,2021-03-01,3881.0,Pizza Grilling Stones
51,2021-03-02,3881.0,Pizza Grilling Stones
52,2021-03-03,3881.0,Pizza Grilling Stones
53,2021-03-04,4682.0,Pizza Grilling Stones
54,2021-03-05,4682.0,Pizza Grilling Stones
55,2021-03-06,4682.0,Pizza Grilling Stones
56,2021-03-07,4682.0,Pizza Grilling Stones
57,2021-03-08,11315.0,Pizza Grilling Stones
58,2021-03-09,13480.0,Pizza Grilling Stones
59,2021-03-10,13480.0,Pizza Grilling Stones
60,2021-03-11,13480.0,Pizza Grilling Stones
61,2021-03-12,13480.0,Pizza Grilling Stones
62,2021-03-13,15756.0,Pizza Grilling Stones
63,2021-03-14,15756.0,Pizza Grilling Stones
64,2021-03-15,15756.0,Pizza Grilling Stones
65,2021-03-16,25067.0,Pizza Grilling Stones
66,2021-03-17,19019.0,Pizza Grilling Stones
67,2021-03-18,19019.0,Pizza Grilling Stones
68,2021-03-19,19019.0,Pizza Grilling Stones
69,2021-03-20,19019.0,Pizza Grilling Stones
70,2021-03-21,19019.0,Pizza Grilling Stones
71,2021-03-22,19019.0,Pizza Grilling Stones
72,2021-03-23,75312.0,Pizza Grilling Stones
73,2021-03-24,59128.0,Pizza Grilling Stones
74,2021-03-25,59128.0,Pizza Grilling Stones
75,2021-03-26,91724.0,Pizza Grilling Stones
76,2021-03-27,85459.0,Pizza Grilling Stones
77,2021-03-28,27057.0,Pizza Grilling Stones
78,2021-03-29,27057.0,Pizza Grilling Stones
