,date,value,name_B08G1W8RH2
0,2020-09-05,7304.0,Incense
1,2020-09-06,6902.0,Incense
2,2020-09-07,6356.0,Incense
3,2020-09-08,6356.0,Incense
4,2020-09-09,6009.0,Incense
5,2020-09-10,6009.0,Incense
6,2020-09-11,6009.0,Incense
7,2020-09-12,4402.0,Incense
8,2020-09-13,4402.0,Incense
9,2020-09-14,6217.0,Incense
10,2020-09-15,6217.0,Incense
11,2020-09-16,3424.0,Incense
12,2020-09-17,4306.0,Incense
13,2020-09-18,5372.0,Incense
14,2020-09-19,5372.0,Incense
15,2020-09-20,6520.0,Incense
16,2020-09-21,6796.0,Incense
17,2020-09-22,6796.0,Incense
18,2020-09-23,6796.0,Incense
19,2020-09-24,8390.0,Incense
20,2020-09-25,8390.0,Incense
21,2020-09-26,5450.0,Incense
22,2020-09-27,7994.0,Incense
23,2020-09-28,8190.0,Incense
24,2020-09-29,4990.0,Incense
25,2020-09-30,4990.0,Incense
26,2020-10-01,5780.0,Incense
27,2020-10-02,4911.0,Incense
28,2020-10-03,4911.0,Incense
29,2020-10-04,4788.0,Incense
30,2020-10-05,4932.0,Incense
31,2020-10-06,5671.0,Incense
32,2020-10-07,5671.0,Incense
33,2020-10-08,5087.0,Incense
34,2020-10-09,5263.0,Incense
35,2020-10-10,5263.0,Incense
36,2020-10-11,5263.0,Incense
37,2020-10-12,4834.0,Incense
38,2020-10-13,4734.0,Incense
39,2020-10-14,4734.0,Incense
40,2020-10-15,9207.0,Incense
41,2020-10-16,9207.0,Incense
42,2020-10-17,4648.0,Incense
43,2020-10-18,4648.0,Incense
44,2020-10-19,4648.0,Incense
45,2020-10-20,4567.0,Incense
46,2020-10-21,4567.0,Incense
47,2020-10-22,4314.0,Incense
48,2020-10-23,4314.0,Incense
49,2020-10-24,5063.0,Incense
50,2020-10-25,5363.0,Incense
51,2020-10-26,5363.0,Incense
52,2020-10-27,5597.0,Incense
53,2020-10-28,5263.0,Incense
54,2020-10-29,4847.0,Incense
55,2020-10-30,4847.0,Incense
56,2020-10-31,4125.0,Incense
57,2020-11-01,4125.0,Incense
58,2020-11-02,4125.0,Incense
59,2020-11-03,5156.0,Incense
60,2020-11-04,3778.0,Incense
61,2020-11-05,3440.0,Incense
62,2020-11-06,3440.0,Incense
63,2020-11-07,3711.0,Incense
64,2020-11-08,3711.0,Incense
65,2020-11-09,6477.0,Incense
66,2020-11-10,6477.0,Incense
67,2020-11-11,3790.0,Incense
68,2020-11-12,3234.0,Incense
69,2020-11-13,3234.0,Incense
