,date,value,name_B08KHWCFJM
0,2021-03-13,56465.0,Panels
1,2021-03-14,56465.0,Panels
2,2021-03-15,56465.0,Panels
3,2021-03-16,26870.0,Panels
4,2021-03-17,26870.0,Panels
5,2021-03-18,26870.0,Panels
6,2021-03-19,25165.0,Panels
7,2021-03-20,25165.0,Panels
8,2021-03-21,22688.0,Panels
9,2021-03-22,22688.0,Panels
10,2021-03-23,22688.0,Panels
11,2021-03-24,22688.0,Panels
12,2021-03-25,19968.0,Panels
13,2021-03-26,19968.0,Panels
14,2021-03-27,28070.0,Panels
15,2021-03-28,42429.0,Panels
16,2021-03-29,42429.0,Panels
17,2021-03-30,42429.0,Panels
18,2021-03-31,42429.0,Panels
19,2021-04-01,29223.0,Panels
20,2021-04-02,29223.0,Panels
21,2021-04-03,29223.0,Panels
22,2021-04-04,29223.0,Panels
23,2021-04-05,29223.0,Panels
24,2021-04-06,42216.0,Panels
25,2021-04-07,35981.0,Panels
26,2021-04-08,35981.0,Panels
27,2021-04-09,35981.0,Panels
28,2021-04-10,40951.0,Panels
29,2021-04-11,40951.0,Panels
30,2021-04-12,32045.0,Panels
31,2021-04-13,42934.0,Panels
32,2021-04-14,42934.0,Panels
33,2021-04-15,42934.0,Panels
34,2021-04-16,42934.0,Panels
35,2021-04-17,42934.0,Panels
36,2021-04-18,80520.0,Panels
37,2021-04-19,80520.0,Panels
38,2021-04-20,80520.0,Panels
39,2021-04-21,80520.0,Panels
40,2021-04-22,80520.0,Panels
41,2021-04-23,80520.0,Panels
42,2021-04-24,33530.0,Panels
43,2021-04-25,33530.0,Panels
44,2021-04-26,33530.0,Panels
45,2021-04-27,33530.0,Panels
46,2021-04-28,45271.0,Panels
47,2021-04-29,45271.0,Panels
48,2021-04-30,45271.0,Panels
49,2021-05-01,36218.0,Panels
50,2021-05-02,36218.0,Panels
51,2021-05-03,36218.0,Panels
52,2021-05-04,41995.0,Panels
53,2021-05-05,41995.0,Panels
54,2021-05-06,39753.0,Panels
55,2021-05-07,39753.0,Panels
56,2021-05-08,41344.0,Panels
57,2021-05-09,38336.0,Panels
58,2021-05-10,38336.0,Panels
59,2021-05-11,38336.0,Panels
60,2021-05-12,30640.0,Panels
61,2021-05-13,30640.0,Panels
62,2021-05-14,33500.0,Panels
63,2021-05-15,33500.0,Panels
64,2021-05-16,39309.0,Panels
65,2021-05-17,39309.0,Panels
66,2021-05-18,39309.0,Panels
67,2021-05-19,27096.0,Panels
68,2021-05-20,30693.0,Panels
69,2021-05-21,30693.0,Panels
70,2021-05-22,30693.0,Panels
71,2021-05-23,30693.0,Panels
72,2021-05-24,36219.0,Panels
73,2021-05-25,36219.0,Panels
74,2021-05-26,32892.0,Panels
75,2021-05-27,32892.0,Panels
76,2021-05-28,32892.0,Panels
77,2021-05-29,42756.0,Panels
78,2021-05-30,42756.0,Panels
79,2021-05-31,42756.0,Panels
80,2021-06-01,40074.0,Panels
81,2021-06-02,40074.0,Panels
82,2021-06-03,40598.0,Panels
83,2021-06-04,40598.0,Panels
84,2021-06-05,40598.0,Panels
85,2021-06-06,41836.0,Panels
86,2021-06-07,41836.0,Panels
87,2021-06-08,41836.0,Panels
88,2021-06-09,41193.0,Panels
89,2021-06-10,41193.0,Panels
90,2021-06-11,55423.0,Panels
91,2021-06-12,55423.0,Panels
92,2021-06-13,42274.0,Panels
93,2021-06-14,42274.0,Panels
94,2021-06-15,42274.0,Panels
95,2021-06-16,43140.0,Panels
96,2021-06-17,43140.0,Panels
97,2021-06-18,43140.0,Panels
98,2021-06-19,43140.0,Panels
99,2021-06-20,36560.0,Panels
100,2021-06-21,46514.0,Panels
101,2021-06-22,46514.0,Panels
102,2021-06-23,56616.0,Panels
103,2021-06-24,56616.0,Panels
104,2021-06-25,56616.0,Panels
105,2021-06-26,56616.0,Panels
106,2021-06-27,56616.0,Panels
107,2021-06-28,56616.0,Panels
108,2021-06-29,48815.0,Panels
109,2021-06-30,48815.0,Panels
110,2021-07-01,48815.0,Panels
111,2021-07-02,48815.0,Panels
112,2021-07-03,48815.0,Panels
113,2021-07-04,39310.0,Panels
114,2021-07-05,39310.0,Panels
115,2021-07-06,39310.0,Panels
116,2021-07-07,46342.0,Panels
117,2021-07-08,46342.0,Panels
118,2021-07-09,29538.0,Panels
