,date,value,name_B08PP22766
0,2021-03-10,169661.0,Paintbrush Sets
1,2021-03-11,55167.0,Paintbrush Sets
2,2021-03-12,50288.0,Paintbrush Sets
3,2021-03-13,9292.0,Paintbrush Sets
4,2021-03-14,13512.0,Paintbrush Sets
5,2021-03-15,8213.0,Paintbrush Sets
6,2021-03-16,9964.0,Paintbrush Sets
7,2021-03-17,11853.0,Paintbrush Sets
8,2021-03-18,11191.0,Paintbrush Sets
9,2021-03-19,9992.0,Paintbrush Sets
10,2021-03-20,7261.0,Paintbrush Sets
11,2021-03-21,7016.0,Paintbrush Sets
12,2021-03-22,6641.0,Paintbrush Sets
13,2021-03-23,15261.0,Paintbrush Sets
14,2021-03-24,23594.0,Paintbrush Sets
15,2021-03-25,30790.0,Paintbrush Sets
16,2021-03-26,34649.0,Paintbrush Sets
17,2021-03-27,27927.0,Paintbrush Sets
18,2021-03-28,28524.0,Paintbrush Sets
19,2021-03-29,17305.0,Paintbrush Sets
20,2021-03-30,17831.0,Paintbrush Sets
21,2021-03-31,17985.0,Paintbrush Sets
22,2021-04-01,17890.0,Paintbrush Sets
23,2021-04-02,11816.0,Paintbrush Sets
24,2021-04-03,12333.0,Paintbrush Sets
25,2021-04-04,15077.0,Paintbrush Sets
26,2021-04-05,8347.0,Paintbrush Sets
27,2021-04-06,7727.0,Paintbrush Sets
28,2021-04-07,8881.0,Paintbrush Sets
29,2021-04-08,6757.0,Paintbrush Sets
30,2021-04-09,8181.0,Paintbrush Sets
31,2021-04-10,5759.0,Paintbrush Sets
32,2021-04-11,3993.0,Paintbrush Sets
33,2021-04-12,9038.0,Paintbrush Sets
34,2021-04-13,12607.0,Paintbrush Sets
35,2021-04-14,13359.0,Paintbrush Sets
36,2021-04-15,15714.0,Paintbrush Sets
37,2021-04-16,23394.0,Paintbrush Sets
38,2021-04-17,10293.0,Paintbrush Sets
39,2021-04-18,12676.0,Paintbrush Sets
40,2021-04-19,19131.0,Paintbrush Sets
41,2021-04-20,13367.0,Paintbrush Sets
42,2021-04-21,47881.0,Paintbrush Sets
43,2021-04-22,47881.0,Paintbrush Sets
44,2021-04-23,24989.0,Paintbrush Sets
45,2021-04-24,25239.0,Paintbrush Sets
46,2021-04-25,24182.0,Paintbrush Sets
47,2021-04-26,25525.0,Paintbrush Sets
48,2021-04-27,27840.0,Paintbrush Sets
49,2021-04-28,18822.0,Paintbrush Sets
50,2021-04-29,18031.0,Paintbrush Sets
51,2021-04-30,23584.0,Paintbrush Sets
52,2021-05-01,16911.0,Paintbrush Sets
53,2021-05-02,12284.0,Paintbrush Sets
54,2021-05-03,13864.0,Paintbrush Sets
55,2021-05-04,12448.0,Paintbrush Sets
56,2021-05-05,6911.0,Paintbrush Sets
57,2021-05-06,5618.0,Paintbrush Sets
58,2021-05-07,6831.0,Paintbrush Sets
59,2021-05-08,7117.0,Paintbrush Sets
60,2021-05-09,5839.0,Paintbrush Sets
61,2021-05-10,6676.0,Paintbrush Sets
62,2021-05-11,7453.0,Paintbrush Sets
63,2021-05-12,5198.0,Paintbrush Sets
64,2021-05-13,5353.0,Paintbrush Sets
65,2021-05-14,4400.0,Paintbrush Sets
66,2021-05-15,3626.0,Paintbrush Sets
67,2021-05-16,6970.0,Paintbrush Sets
68,2021-05-17,6864.0,Paintbrush Sets
69,2021-05-18,3538.0,Paintbrush Sets
70,2021-05-19,5404.0,Paintbrush Sets
71,2021-05-20,4528.0,Paintbrush Sets
72,2021-05-21,3558.0,Paintbrush Sets
73,2021-05-22,2891.0,Paintbrush Sets
74,2021-05-23,4360.0,Paintbrush Sets
75,2021-05-24,4390.0,Paintbrush Sets
76,2021-05-25,4873.0,Paintbrush Sets
77,2021-05-26,6595.0,Paintbrush Sets
78,2021-05-27,5525.0,Paintbrush Sets
79,2021-05-28,5987.0,Paintbrush Sets
80,2021-05-29,6847.0,Paintbrush Sets
81,2021-05-30,7916.0,Paintbrush Sets
82,2021-05-31,7348.0,Paintbrush Sets
83,2021-06-01,6426.0,Paintbrush Sets
84,2021-06-02,8971.0,Paintbrush Sets
85,2021-06-03,8750.0,Paintbrush Sets
86,2021-06-04,7088.0,Paintbrush Sets
87,2021-06-05,8233.0,Paintbrush Sets
88,2021-06-06,5180.0,Paintbrush Sets
89,2021-06-07,5932.0,Paintbrush Sets
90,2021-06-08,5180.0,Paintbrush Sets
91,2021-06-09,4841.0,Paintbrush Sets
92,2021-06-10,6888.0,Paintbrush Sets
93,2021-06-11,5223.0,Paintbrush Sets
94,2021-06-12,4809.0,Paintbrush Sets
95,2021-06-13,6605.0,Paintbrush Sets
96,2021-06-14,5365.0,Paintbrush Sets
97,2021-06-15,4865.0,Paintbrush Sets
98,2021-06-16,4352.0,Paintbrush Sets
99,2021-06-17,3517.0,Paintbrush Sets
100,2021-06-18,3333.0,Paintbrush Sets
101,2021-06-19,3540.0,Paintbrush Sets
102,2021-06-20,3345.0,Paintbrush Sets
103,2021-06-21,5978.0,Paintbrush Sets
104,2021-06-22,7896.0,Paintbrush Sets
105,2021-06-23,8548.0,Paintbrush Sets
106,2021-06-24,7078.0,Paintbrush Sets
107,2021-06-25,9899.0,Paintbrush Sets
108,2021-06-26,9169.0,Paintbrush Sets
109,2021-06-27,11830.0,Paintbrush Sets
110,2021-06-28,16443.0,Paintbrush Sets
111,2021-06-29,12710.0,Paintbrush Sets
112,2021-06-30,8217.0,Paintbrush Sets
113,2021-07-01,12146.0,Paintbrush Sets
114,2021-07-02,10066.0,Paintbrush Sets
115,2021-07-03,8745.0,Paintbrush Sets
116,2021-07-04,9933.0,Paintbrush Sets
117,2021-07-05,11766.0,Paintbrush Sets
118,2021-07-06,10484.0,Paintbrush Sets
119,2021-07-07,12262.0,Paintbrush Sets
120,2021-07-08,8605.0,Paintbrush Sets
121,2021-07-09,7804.0,Paintbrush Sets
