,date,value,name_B07R9Z15GQ
0,2020-05-27,8685.0,Laser & Inkjet Printer Labels
1,2020-05-28,8685.0,Laser & Inkjet Printer Labels
2,2020-05-29,8685.0,Laser & Inkjet Printer Labels
3,2020-05-30,6204.0,Laser & Inkjet Printer Labels
4,2020-05-31,6204.0,Laser & Inkjet Printer Labels
5,2020-06-01,6204.0,Laser & Inkjet Printer Labels
6,2020-06-02,6204.0,Laser & Inkjet Printer Labels
7,2020-06-03,6204.0,Laser & Inkjet Printer Labels
8,2020-06-04,6204.0,Laser & Inkjet Printer Labels
9,2020-06-05,5644.0,Laser & Inkjet Printer Labels
10,2020-06-06,5644.0,Laser & Inkjet Printer Labels
11,2020-06-07,7231.0,Laser & Inkjet Printer Labels
12,2020-06-08,7231.0,Laser & Inkjet Printer Labels
13,2020-06-09,8592.0,Laser & Inkjet Printer Labels
14,2020-06-10,8592.0,Laser & Inkjet Printer Labels
15,2020-06-11,8592.0,Laser & Inkjet Printer Labels
16,2020-06-12,8592.0,Laser & Inkjet Printer Labels
17,2020-06-13,8592.0,Laser & Inkjet Printer Labels
18,2020-06-14,10837.0,Laser & Inkjet Printer Labels
19,2020-06-15,10837.0,Laser & Inkjet Printer Labels
20,2020-06-16,10837.0,Laser & Inkjet Printer Labels
21,2020-06-17,12826.0,Laser & Inkjet Printer Labels
22,2020-06-18,12826.0,Laser & Inkjet Printer Labels
23,2020-06-19,12826.0,Laser & Inkjet Printer Labels
24,2020-06-20,12826.0,Laser & Inkjet Printer Labels
25,2020-06-21,10852.0,Laser & Inkjet Printer Labels
26,2020-06-22,10852.0,Laser & Inkjet Printer Labels
27,2020-06-23,7688.0,Laser & Inkjet Printer Labels
28,2020-06-24,5871.0,Laser & Inkjet Printer Labels
29,2020-06-25,5871.0,Laser & Inkjet Printer Labels
30,2020-06-26,5374.0,Laser & Inkjet Printer Labels
31,2020-06-27,5374.0,Laser & Inkjet Printer Labels
32,2020-06-28,6084.0,Laser & Inkjet Printer Labels
33,2020-06-29,6084.0,Laser & Inkjet Printer Labels
34,2020-06-30,4714.0,Laser & Inkjet Printer Labels
35,2020-07-01,4427.0,Laser & Inkjet Printer Labels
36,2020-07-02,4498.0,Laser & Inkjet Printer Labels
37,2020-07-03,4466.0,Laser & Inkjet Printer Labels
38,2020-07-04,6923.0,Laser & Inkjet Printer Labels
39,2020-07-05,6923.0,Laser & Inkjet Printer Labels
40,2020-07-06,6923.0,Laser & Inkjet Printer Labels
41,2020-07-07,6923.0,Laser & Inkjet Printer Labels
42,2020-07-08,3579.0,Laser & Inkjet Printer Labels
43,2020-07-09,3579.0,Laser & Inkjet Printer Labels
44,2020-07-10,4328.0,Laser & Inkjet Printer Labels
45,2020-07-11,4328.0,Laser & Inkjet Printer Labels
46,2020-07-12,6371.0,Laser & Inkjet Printer Labels
47,2020-07-13,6371.0,Laser & Inkjet Printer Labels
48,2020-07-14,6371.0,Laser & Inkjet Printer Labels
49,2020-07-15,6371.0,Laser & Inkjet Printer Labels
50,2020-07-16,5438.0,Laser & Inkjet Printer Labels
51,2020-07-17,5438.0,Laser & Inkjet Printer Labels
52,2020-07-18,7040.0,Laser & Inkjet Printer Labels
53,2020-07-19,7040.0,Laser & Inkjet Printer Labels
54,2020-07-20,6609.0,Laser & Inkjet Printer Labels
55,2020-07-21,6561.0,Laser & Inkjet Printer Labels
56,2020-07-22,6561.0,Laser & Inkjet Printer Labels
57,2020-07-23,6561.0,Laser & Inkjet Printer Labels
58,2020-07-24,5646.0,Laser & Inkjet Printer Labels
59,2020-07-25,5765.0,Laser & Inkjet Printer Labels
60,2020-07-26,5765.0,Laser & Inkjet Printer Labels
61,2020-07-27,7852.0,Laser & Inkjet Printer Labels
62,2020-07-28,7852.0,Laser & Inkjet Printer Labels
63,2020-07-29,7852.0,Laser & Inkjet Printer Labels
64,2020-07-30,7852.0,Laser & Inkjet Printer Labels
65,2020-07-31,6416.0,Laser & Inkjet Printer Labels
66,2020-08-01,6210.0,Laser & Inkjet Printer Labels
67,2020-08-02,6210.0,Laser & Inkjet Printer Labels
68,2020-08-03,6210.0,Laser & Inkjet Printer Labels
69,2020-08-04,5588.0,Laser & Inkjet Printer Labels
70,2020-08-05,5588.0,Laser & Inkjet Printer Labels
71,2020-08-06,5461.0,Laser & Inkjet Printer Labels
72,2020-08-07,5461.0,Laser & Inkjet Printer Labels
73,2020-08-08,5461.0,Laser & Inkjet Printer Labels
74,2020-08-09,5718.0,Laser & Inkjet Printer Labels
75,2020-08-10,7672.0,Laser & Inkjet Printer Labels
76,2020-08-11,7672.0,Laser & Inkjet Printer Labels
77,2020-08-12,7672.0,Laser & Inkjet Printer Labels
78,2020-08-13,7672.0,Laser & Inkjet Printer Labels
79,2020-08-14,7672.0,Laser & Inkjet Printer Labels
80,2020-08-15,7178.0,Laser & Inkjet Printer Labels
81,2020-08-16,7178.0,Laser & Inkjet Printer Labels
82,2020-08-17,7178.0,Laser & Inkjet Printer Labels
83,2020-08-18,8353.0,Laser & Inkjet Printer Labels
84,2020-08-19,8353.0,Laser & Inkjet Printer Labels
85,2020-08-20,6267.0,Laser & Inkjet Printer Labels
86,2020-08-21,6267.0,Laser & Inkjet Printer Labels
87,2020-08-22,6007.0,Laser & Inkjet Printer Labels
88,2020-08-23,6007.0,Laser & Inkjet Printer Labels
89,2020-08-24,9234.0,Laser & Inkjet Printer Labels
90,2020-08-25,7123.0,Laser & Inkjet Printer Labels
91,2020-08-26,5439.0,Laser & Inkjet Printer Labels
92,2020-08-27,5439.0,Laser & Inkjet Printer Labels
93,2020-08-28,5439.0,Laser & Inkjet Printer Labels
94,2020-08-29,5755.0,Laser & Inkjet Printer Labels
95,2020-08-30,5755.0,Laser & Inkjet Printer Labels
96,2020-08-31,5755.0,Laser & Inkjet Printer Labels
97,2020-09-01,6848.0,Laser & Inkjet Printer Labels
98,2020-09-02,5738.0,Laser & Inkjet Printer Labels
99,2020-09-03,5738.0,Laser & Inkjet Printer Labels
100,2020-09-04,5678.0,Laser & Inkjet Printer Labels
101,2020-09-05,6430.0,Laser & Inkjet Printer Labels
102,2020-09-06,6430.0,Laser & Inkjet Printer Labels
103,2020-09-07,6430.0,Laser & Inkjet Printer Labels
104,2020-09-08,7606.0,Laser & Inkjet Printer Labels
105,2020-09-09,5375.0,Laser & Inkjet Printer Labels
106,2020-09-10,5375.0,Laser & Inkjet Printer Labels
107,2020-09-11,4956.0,Laser & Inkjet Printer Labels
108,2020-09-12,6920.0,Laser & Inkjet Printer Labels
109,2020-09-13,6920.0,Laser & Inkjet Printer Labels
110,2020-09-14,6920.0,Laser & Inkjet Printer Labels
111,2020-09-15,6920.0,Laser & Inkjet Printer Labels
112,2020-09-16,4755.0,Laser & Inkjet Printer Labels
