,date,value,name_B08M3MGDPJ
0,2021-01-19,36254.0,Pillowcases
1,2021-01-20,34457.0,Pillowcases
2,2021-01-21,34457.0,Pillowcases
3,2021-01-22,21995.0,Pillowcases
4,2021-01-23,21995.0,Pillowcases
5,2021-01-24,16144.0,Pillowcases
6,2021-01-25,16144.0,Pillowcases
7,2021-01-26,24766.0,Pillowcases
8,2021-01-27,21712.0,Pillowcases
9,2021-01-28,21712.0,Pillowcases
10,2021-01-29,21712.0,Pillowcases
11,2021-01-30,21712.0,Pillowcases
12,2021-01-31,43267.0,Pillowcases
13,2021-02-01,43293.0,Pillowcases
14,2021-02-02,43293.0,Pillowcases
15,2021-02-03,24693.0,Pillowcases
16,2021-02-04,24693.0,Pillowcases
17,2021-02-05,24693.0,Pillowcases
18,2021-02-06,19090.0,Pillowcases
19,2021-02-07,19090.0,Pillowcases
20,2021-02-08,19090.0,Pillowcases
21,2021-02-09,19090.0,Pillowcases
22,2021-02-10,21743.0,Pillowcases
23,2021-02-11,21743.0,Pillowcases
24,2021-02-12,21743.0,Pillowcases
25,2021-02-13,21743.0,Pillowcases
26,2021-02-14,21743.0,Pillowcases
27,2021-02-15,50139.0,Pillowcases
28,2021-02-16,50139.0,Pillowcases
29,2021-02-17,57482.0,Pillowcases
30,2021-02-18,57482.0,Pillowcases
31,2021-02-19,53632.0,Pillowcases
32,2021-02-20,60094.0,Pillowcases
33,2021-02-21,60094.0,Pillowcases
34,2021-02-22,68398.0,Pillowcases
35,2021-02-23,122266.0,Pillowcases
36,2021-02-24,81680.0,Pillowcases
37,2021-02-25,114903.0,Pillowcases
38,2021-02-26,114903.0,Pillowcases
39,2021-02-27,114903.0,Pillowcases
40,2021-02-28,50705.0,Pillowcases
41,2021-03-01,52185.0,Pillowcases
42,2021-03-02,39503.0,Pillowcases
43,2021-03-03,39503.0,Pillowcases
44,2021-03-04,68421.0,Pillowcases
45,2021-03-05,68421.0,Pillowcases
46,2021-03-06,68421.0,Pillowcases
47,2021-03-07,68421.0,Pillowcases
48,2021-03-08,68719.0,Pillowcases
49,2021-03-09,68719.0,Pillowcases
50,2021-03-10,68719.0,Pillowcases
51,2021-03-11,68719.0,Pillowcases
