,date,value,name_B08FBFYNJ5
0,2020-11-12,18934.0,Grow Bags
1,2020-11-13,18934.0,Grow Bags
2,2020-11-14,18934.0,Grow Bags
3,2020-11-15,18934.0,Grow Bags
4,2020-11-16,12787.0,Grow Bags
5,2020-11-17,12787.0,Grow Bags
6,2020-11-18,12787.0,Grow Bags
7,2020-11-19,6316.0,Grow Bags
8,2020-11-20,10776.0,Grow Bags
9,2020-11-21,6852.0,Grow Bags
10,2020-11-22,6852.0,Grow Bags
11,2020-11-23,6852.0,Grow Bags
12,2020-11-24,16190.0,Grow Bags
13,2020-11-25,16190.0,Grow Bags
14,2020-11-26,16190.0,Grow Bags
15,2020-11-27,14282.0,Grow Bags
16,2020-11-28,14282.0,Grow Bags
17,2020-11-29,14282.0,Grow Bags
18,2020-11-30,27571.0,Grow Bags
19,2020-12-01,28517.0,Grow Bags
20,2020-12-02,28517.0,Grow Bags
21,2020-12-03,28517.0,Grow Bags
22,2020-12-04,28517.0,Grow Bags
23,2020-12-05,25134.0,Grow Bags
24,2020-12-06,25134.0,Grow Bags
25,2020-12-07,30854.0,Grow Bags
26,2020-12-08,30854.0,Grow Bags
27,2020-12-09,30854.0,Grow Bags
28,2020-12-10,30854.0,Grow Bags
29,2020-12-11,30854.0,Grow Bags
30,2020-12-12,30854.0,Grow Bags
31,2020-12-13,30854.0,Grow Bags
32,2020-12-14,30854.0,Grow Bags
33,2020-12-15,21809.0,Grow Bags
34,2020-12-16,21809.0,Grow Bags
35,2020-12-17,21809.0,Grow Bags
36,2020-12-18,21809.0,Grow Bags
37,2020-12-19,21809.0,Grow Bags
38,2020-12-20,21809.0,Grow Bags
39,2020-12-21,21809.0,Grow Bags
40,2020-12-22,26289.0,Grow Bags
41,2020-12-23,26289.0,Grow Bags
42,2020-12-24,42361.0,Grow Bags
43,2020-12-25,29706.0,Grow Bags
44,2020-12-26,29706.0,Grow Bags
45,2020-12-27,29706.0,Grow Bags
46,2020-12-28,29706.0,Grow Bags
47,2020-12-29,29706.0,Grow Bags
48,2020-12-30,29706.0,Grow Bags
49,2020-12-31,24954.0,Grow Bags
50,2021-01-01,24954.0,Grow Bags
51,2021-01-02,24954.0,Grow Bags
52,2021-01-03,24954.0,Grow Bags
53,2021-01-04,24954.0,Grow Bags
54,2021-01-05,26209.0,Grow Bags
55,2021-01-06,15068.0,Grow Bags
56,2021-01-07,15068.0,Grow Bags
57,2021-01-08,12526.0,Grow Bags
58,2021-01-09,12526.0,Grow Bags
59,2021-01-10,12526.0,Grow Bags
60,2021-01-11,9938.0,Grow Bags
61,2021-01-12,9938.0,Grow Bags
62,2021-01-13,9938.0,Grow Bags
63,2021-01-14,7015.0,Grow Bags
64,2021-01-15,6942.0,Grow Bags
65,2021-01-16,6942.0,Grow Bags
66,2021-01-17,4899.0,Grow Bags
67,2021-01-18,4899.0,Grow Bags
68,2021-01-19,4899.0,Grow Bags
69,2021-01-20,4680.0,Grow Bags
70,2021-01-21,3012.0,Grow Bags
71,2021-01-22,3566.0,Grow Bags
72,2021-01-23,3566.0,Grow Bags
73,2021-01-24,3226.0,Grow Bags
74,2021-01-25,3226.0,Grow Bags
75,2021-01-26,3147.0,Grow Bags
76,2021-01-27,4084.0,Grow Bags
77,2021-01-28,4183.0,Grow Bags
78,2021-01-29,4183.0,Grow Bags
79,2021-01-30,4183.0,Grow Bags
80,2021-01-31,3571.0,Grow Bags
81,2021-02-01,3735.0,Grow Bags
82,2021-02-02,3100.0,Grow Bags
83,2021-02-03,4124.0,Grow Bags
84,2021-02-04,4124.0,Grow Bags
85,2021-02-05,4084.0,Grow Bags
86,2021-02-06,4454.0,Grow Bags
87,2021-02-07,6694.0,Grow Bags
88,2021-02-08,6694.0,Grow Bags
89,2021-02-09,6934.0,Grow Bags
90,2021-02-10,6934.0,Grow Bags
91,2021-02-11,6934.0,Grow Bags
92,2021-02-12,7361.0,Grow Bags
93,2021-02-13,7361.0,Grow Bags
94,2021-02-14,7361.0,Grow Bags
95,2021-02-15,7361.0,Grow Bags
96,2021-02-16,7361.0,Grow Bags
97,2021-02-17,3098.0,Grow Bags
98,2021-02-18,3098.0,Grow Bags
99,2021-02-19,4906.0,Grow Bags
100,2021-02-20,4458.0,Grow Bags
101,2021-02-21,4458.0,Grow Bags
102,2021-02-22,4458.0,Grow Bags
103,2021-02-23,7325.0,Grow Bags
104,2021-02-24,7325.0,Grow Bags
105,2021-02-25,8298.0,Grow Bags
106,2021-02-26,3530.0,Grow Bags
107,2021-02-27,3530.0,Grow Bags
108,2021-02-28,3530.0,Grow Bags
109,2021-03-01,5617.0,Grow Bags
110,2021-03-02,5617.0,Grow Bags
111,2021-03-03,5617.0,Grow Bags
112,2021-03-04,5217.0,Grow Bags
113,2021-03-05,5015.0,Grow Bags
114,2021-03-06,5015.0,Grow Bags
115,2021-03-07,5015.0,Grow Bags
116,2021-03-08,8678.0,Grow Bags
117,2021-03-09,8678.0,Grow Bags
118,2021-03-10,8678.0,Grow Bags
119,2021-03-11,7479.0,Grow Bags
120,2021-03-12,7479.0,Grow Bags
121,2021-03-13,4613.0,Grow Bags
122,2021-03-14,6000.0,Grow Bags
123,2021-03-15,7467.0,Grow Bags
124,2021-03-16,7467.0,Grow Bags
125,2021-03-17,7467.0,Grow Bags
126,2021-03-18,6619.0,Grow Bags
127,2021-03-19,6619.0,Grow Bags
128,2021-03-20,6619.0,Grow Bags
129,2021-03-21,4725.0,Grow Bags
130,2021-03-22,4725.0,Grow Bags
131,2021-03-23,9061.0,Grow Bags
132,2021-03-24,9061.0,Grow Bags
133,2021-03-25,9061.0,Grow Bags
134,2021-03-26,9061.0,Grow Bags
135,2021-03-27,9061.0,Grow Bags
136,2021-03-28,8827.0,Grow Bags
137,2021-03-29,8827.0,Grow Bags
138,2021-03-30,8903.0,Grow Bags
139,2021-03-31,8903.0,Grow Bags
140,2021-04-01,8168.0,Grow Bags
141,2021-04-02,8168.0,Grow Bags
142,2021-04-03,8168.0,Grow Bags
143,2021-04-04,8168.0,Grow Bags
144,2021-04-05,4448.0,Grow Bags
145,2021-04-06,4255.0,Grow Bags
146,2021-04-07,4255.0,Grow Bags
147,2021-04-08,4239.0,Grow Bags
148,2021-04-09,4239.0,Grow Bags
149,2021-04-10,3587.0,Grow Bags
150,2021-04-11,4590.0,Grow Bags
151,2021-04-12,4590.0,Grow Bags
152,2021-04-13,4590.0,Grow Bags
153,2021-04-14,6743.0,Grow Bags
154,2021-04-15,6743.0,Grow Bags
155,2021-04-16,5189.0,Grow Bags
156,2021-04-17,5189.0,Grow Bags
157,2021-04-18,6013.0,Grow Bags
158,2021-04-19,6013.0,Grow Bags
159,2021-04-20,6013.0,Grow Bags
160,2021-04-21,4381.0,Grow Bags
161,2021-04-22,4381.0,Grow Bags
162,2021-04-23,6702.0,Grow Bags
163,2021-04-24,6702.0,Grow Bags
164,2021-04-25,6702.0,Grow Bags
165,2021-04-26,7908.0,Grow Bags
166,2021-04-27,6834.0,Grow Bags
