,date,value,name_B08KG6HTL6
0,2020-10-07,13218.0,Earplugs
1,2020-10-08,13218.0,Earplugs
2,2020-10-09,13218.0,Earplugs
3,2020-10-10,15610.0,Earplugs
4,2020-10-11,15610.0,Earplugs
5,2020-10-12,15610.0,Earplugs
6,2020-10-13,18922.0,Earplugs
7,2020-10-14,18922.0,Earplugs
8,2020-10-15,18922.0,Earplugs
9,2020-10-16,18922.0,Earplugs
10,2020-10-17,18922.0,Earplugs
11,2020-10-18,18922.0,Earplugs
12,2020-10-19,15424.0,Earplugs
13,2020-10-20,15424.0,Earplugs
14,2020-10-21,15424.0,Earplugs
15,2020-10-22,10894.0,Earplugs
16,2020-10-23,13871.0,Earplugs
17,2020-10-24,13871.0,Earplugs
18,2020-10-25,12610.0,Earplugs
19,2020-10-26,12610.0,Earplugs
20,2020-10-27,12610.0,Earplugs
21,2020-10-28,11755.0,Earplugs
22,2020-10-29,11755.0,Earplugs
23,2020-10-30,11773.0,Earplugs
24,2020-10-31,14897.0,Earplugs
25,2020-11-01,14897.0,Earplugs
26,2020-11-02,10103.0,Earplugs
27,2020-11-03,10103.0,Earplugs
28,2020-11-04,10103.0,Earplugs
29,2020-11-05,10103.0,Earplugs
30,2020-11-06,10103.0,Earplugs
31,2020-11-07,10978.0,Earplugs
32,2020-11-08,10978.0,Earplugs
33,2020-11-09,10978.0,Earplugs
34,2020-11-10,15989.0,Earplugs
35,2020-11-11,15989.0,Earplugs
36,2020-11-12,15989.0,Earplugs
37,2020-11-13,11705.0,Earplugs
38,2020-11-14,11705.0,Earplugs
39,2020-11-15,16118.0,Earplugs
40,2020-11-16,16118.0,Earplugs
41,2020-11-17,16118.0,Earplugs
42,2020-11-18,16118.0,Earplugs
43,2020-11-19,13039.0,Earplugs
44,2020-11-20,13039.0,Earplugs
45,2020-11-21,13039.0,Earplugs
46,2020-11-22,13039.0,Earplugs
47,2020-11-23,15807.0,Earplugs
48,2020-11-24,15807.0,Earplugs
49,2020-11-25,13776.0,Earplugs
50,2020-11-26,13776.0,Earplugs
51,2020-11-27,13776.0,Earplugs
52,2020-11-28,22310.0,Earplugs
53,2020-11-29,22310.0,Earplugs
54,2020-11-30,22310.0,Earplugs
55,2020-12-01,22310.0,Earplugs
56,2020-12-02,14233.0,Earplugs
57,2020-12-03,14233.0,Earplugs
58,2020-12-04,14233.0,Earplugs
59,2020-12-05,14233.0,Earplugs
60,2020-12-06,14233.0,Earplugs
61,2020-12-07,14233.0,Earplugs
62,2020-12-08,16210.0,Earplugs
63,2020-12-09,16210.0,Earplugs
64,2020-12-10,16210.0,Earplugs
65,2020-12-11,16210.0,Earplugs
66,2020-12-12,16210.0,Earplugs
67,2020-12-13,16210.0,Earplugs
68,2020-12-14,16730.0,Earplugs
69,2020-12-15,15232.0,Earplugs
70,2020-12-16,17349.0,Earplugs
71,2020-12-17,14363.0,Earplugs
72,2020-12-18,14363.0,Earplugs
73,2020-12-19,14363.0,Earplugs
74,2020-12-20,16261.0,Earplugs
75,2020-12-21,19408.0,Earplugs
76,2020-12-22,19408.0,Earplugs
77,2020-12-23,19408.0,Earplugs
78,2020-12-24,14795.0,Earplugs
79,2020-12-25,14795.0,Earplugs
80,2020-12-26,14795.0,Earplugs
81,2020-12-27,14795.0,Earplugs
82,2020-12-28,14795.0,Earplugs
83,2020-12-29,14795.0,Earplugs
84,2020-12-30,16457.0,Earplugs
85,2020-12-31,15005.0,Earplugs
86,2021-01-01,15005.0,Earplugs
87,2021-01-02,15005.0,Earplugs
88,2021-01-03,15005.0,Earplugs
89,2021-01-04,15005.0,Earplugs
90,2021-01-05,13990.0,Earplugs
91,2021-01-06,13990.0,Earplugs
92,2021-01-07,13990.0,Earplugs
93,2021-01-08,11970.0,Earplugs
94,2021-01-09,11970.0,Earplugs
95,2021-01-10,11970.0,Earplugs
96,2021-01-11,15698.0,Earplugs
97,2021-01-12,15698.0,Earplugs
98,2021-01-13,15698.0,Earplugs
99,2021-01-14,15698.0,Earplugs
100,2021-01-15,12460.0,Earplugs
101,2021-01-16,12460.0,Earplugs
102,2021-01-17,12460.0,Earplugs
103,2021-01-18,13854.0,Earplugs
104,2021-01-19,13854.0,Earplugs
105,2021-01-20,14565.0,Earplugs
106,2021-01-21,14565.0,Earplugs
107,2021-01-22,14565.0,Earplugs
108,2021-01-23,11184.0,Earplugs
109,2021-01-24,11184.0,Earplugs
110,2021-01-25,11184.0,Earplugs
111,2021-01-26,10344.0,Earplugs
112,2021-01-27,11259.0,Earplugs
113,2021-01-28,11259.0,Earplugs
114,2021-01-29,11259.0,Earplugs
115,2021-01-30,11259.0,Earplugs
116,2021-01-31,11259.0,Earplugs
117,2021-02-01,11259.0,Earplugs
118,2021-02-02,10346.0,Earplugs
119,2021-02-03,10346.0,Earplugs
120,2021-02-04,10346.0,Earplugs
121,2021-02-05,10346.0,Earplugs
122,2021-02-06,11717.0,Earplugs
123,2021-02-07,11717.0,Earplugs
124,2021-02-08,11717.0,Earplugs
125,2021-02-09,10863.0,Earplugs
126,2021-02-10,9539.0,Earplugs
127,2021-02-11,9539.0,Earplugs
128,2021-02-12,9539.0,Earplugs
129,2021-02-13,9539.0,Earplugs
130,2021-02-14,9539.0,Earplugs
131,2021-02-15,12993.0,Earplugs
132,2021-02-16,12993.0,Earplugs
133,2021-02-17,12993.0,Earplugs
134,2021-02-18,11165.0,Earplugs
135,2021-02-19,11165.0,Earplugs
136,2021-02-20,14696.0,Earplugs
137,2021-02-21,14696.0,Earplugs
138,2021-02-22,14696.0,Earplugs
139,2021-02-23,14696.0,Earplugs
140,2021-02-24,10997.0,Earplugs
141,2021-02-25,11564.0,Earplugs
142,2021-02-26,11564.0,Earplugs
143,2021-02-27,11564.0,Earplugs
144,2021-02-28,15025.0,Earplugs
145,2021-03-01,14319.0,Earplugs
146,2021-03-02,14319.0,Earplugs
147,2021-03-03,14319.0,Earplugs
148,2021-03-04,8427.0,Earplugs
149,2021-03-05,8427.0,Earplugs
