,date,value,name_B094VP3W2Z
0,2021-05-16,148920.0,Pond Lights
1,2021-05-17,56865.0,Pond Lights
2,2021-05-18,70493.0,Pond Lights
3,2021-05-19,56069.0,Pond Lights
4,2021-05-20,104698.0,Pond Lights
5,2021-05-21,58384.0,Pond Lights
6,2021-05-22,58384.0,Pond Lights
7,2021-05-23,46744.0,Pond Lights
8,2021-05-24,46744.0,Pond Lights
9,2021-05-25,43216.0,Pond Lights
10,2021-05-26,43216.0,Pond Lights
11,2021-05-27,43216.0,Pond Lights
12,2021-05-28,26564.0,Pond Lights
13,2021-05-29,17425.0,Pond Lights
14,2021-05-30,11427.0,Pond Lights
15,2021-05-31,8243.0,Pond Lights
16,2021-06-01,8665.0,Pond Lights
17,2021-06-02,8830.0,Pond Lights
18,2021-06-03,8830.0,Pond Lights
19,2021-06-04,8830.0,Pond Lights
20,2021-06-05,5902.0,Pond Lights
21,2021-06-06,5902.0,Pond Lights
22,2021-06-07,6649.0,Pond Lights
23,2021-06-08,7762.0,Pond Lights
24,2021-06-09,7819.0,Pond Lights
25,2021-06-10,10221.0,Pond Lights
26,2021-06-11,6077.0,Pond Lights
27,2021-06-12,6077.0,Pond Lights
28,2021-06-13,6461.0,Pond Lights
29,2021-06-14,6461.0,Pond Lights
30,2021-06-15,12838.0,Pond Lights
31,2021-06-16,9782.0,Pond Lights
32,2021-06-17,9782.0,Pond Lights
33,2021-06-18,9975.0,Pond Lights
34,2021-06-19,9204.0,Pond Lights
35,2021-06-20,9263.0,Pond Lights
36,2021-06-21,11587.0,Pond Lights
37,2021-06-22,10953.0,Pond Lights
38,2021-06-23,7489.0,Pond Lights
39,2021-06-24,7489.0,Pond Lights
40,2021-06-25,8462.0,Pond Lights
41,2021-06-26,7838.0,Pond Lights
42,2021-06-27,7838.0,Pond Lights
43,2021-06-28,13213.0,Pond Lights
44,2021-06-29,7922.0,Pond Lights
45,2021-06-30,7320.0,Pond Lights
46,2021-07-01,7560.0,Pond Lights
47,2021-07-02,7560.0,Pond Lights
48,2021-07-03,10311.0,Pond Lights
49,2021-07-04,10311.0,Pond Lights
50,2021-07-05,8507.0,Pond Lights
51,2021-07-06,9179.0,Pond Lights
52,2021-07-07,11625.0,Pond Lights
53,2021-07-08,7830.0,Pond Lights
54,2021-07-09,13791.0,Pond Lights
