,date,value,name_B089HTQ26L
0,2020-06-06,4199.0,Book Stands
1,2020-06-07,2935.0,Book Stands
2,2020-06-08,3414.0,Book Stands
3,2020-06-09,3414.0,Book Stands
4,2020-06-10,3414.0,Book Stands
5,2020-06-11,3751.0,Book Stands
6,2020-06-12,3751.0,Book Stands
7,2020-06-13,4285.0,Book Stands
8,2020-06-14,4285.0,Book Stands
9,2020-06-15,4285.0,Book Stands
10,2020-06-16,3345.0,Book Stands
11,2020-06-17,6023.0,Book Stands
12,2020-06-18,6023.0,Book Stands
13,2020-06-19,6023.0,Book Stands
14,2020-06-20,3542.0,Book Stands
15,2020-06-21,3542.0,Book Stands
16,2020-06-22,3405.0,Book Stands
17,2020-06-23,4329.0,Book Stands
18,2020-06-24,4329.0,Book Stands
19,2020-06-25,4329.0,Book Stands
20,2020-06-26,4228.0,Book Stands
21,2020-06-27,4228.0,Book Stands
22,2020-06-28,3741.0,Book Stands
23,2020-06-29,3741.0,Book Stands
24,2020-06-30,3819.0,Book Stands
25,2020-07-01,3819.0,Book Stands
26,2020-07-02,3819.0,Book Stands
27,2020-07-03,3819.0,Book Stands
28,2020-07-04,3819.0,Book Stands
29,2020-07-05,3460.0,Book Stands
30,2020-07-06,3460.0,Book Stands
31,2020-07-07,3460.0,Book Stands
32,2020-07-08,3460.0,Book Stands
33,2020-07-09,7093.0,Book Stands
34,2020-07-10,4979.0,Book Stands
35,2020-07-11,4979.0,Book Stands
36,2020-07-12,4988.0,Book Stands
37,2020-07-13,4495.0,Book Stands
38,2020-07-14,4495.0,Book Stands
39,2020-07-15,6012.0,Book Stands
40,2020-07-16,6012.0,Book Stands
41,2020-07-17,4782.0,Book Stands
42,2020-07-18,4782.0,Book Stands
43,2020-07-19,4782.0,Book Stands
44,2020-07-20,4906.0,Book Stands
45,2020-07-21,4906.0,Book Stands
46,2020-07-22,4906.0,Book Stands
47,2020-07-23,6174.0,Book Stands
48,2020-07-24,7579.0,Book Stands
49,2020-07-25,7579.0,Book Stands
50,2020-07-26,7579.0,Book Stands
51,2020-07-27,6387.0,Book Stands
52,2020-07-28,6387.0,Book Stands
53,2020-07-29,6387.0,Book Stands
54,2020-07-30,6387.0,Book Stands
55,2020-07-31,5872.0,Book Stands
56,2020-08-01,8814.0,Book Stands
57,2020-08-02,10712.0,Book Stands
58,2020-08-03,10712.0,Book Stands
59,2020-08-04,10712.0,Book Stands
60,2020-08-05,10712.0,Book Stands
61,2020-08-06,10712.0,Book Stands
62,2020-08-07,10712.0,Book Stands
63,2020-08-08,7590.0,Book Stands
64,2020-08-09,7590.0,Book Stands
65,2020-08-10,9573.0,Book Stands
66,2020-08-11,10596.0,Book Stands
67,2020-08-12,10596.0,Book Stands
68,2020-08-13,10596.0,Book Stands
69,2020-08-14,9541.0,Book Stands
70,2020-08-15,9328.0,Book Stands
71,2020-08-16,9328.0,Book Stands
72,2020-08-17,9328.0,Book Stands
73,2020-08-18,8102.0,Book Stands
74,2020-08-19,8102.0,Book Stands
75,2020-08-20,8102.0,Book Stands
76,2020-08-21,8102.0,Book Stands
77,2020-08-22,8102.0,Book Stands
78,2020-08-23,5479.0,Book Stands
79,2020-08-24,6268.0,Book Stands
80,2020-08-25,6268.0,Book Stands
81,2020-08-26,6268.0,Book Stands
82,2020-08-27,7369.0,Book Stands
83,2020-08-28,7369.0,Book Stands
84,2020-08-29,7369.0,Book Stands
85,2020-08-30,4770.0,Book Stands
86,2020-08-31,4770.0,Book Stands
87,2020-09-01,4770.0,Book Stands
88,2020-09-02,4770.0,Book Stands
89,2020-09-03,6219.0,Book Stands
90,2020-09-04,6219.0,Book Stands
91,2020-09-05,6219.0,Book Stands
92,2020-09-06,6219.0,Book Stands
93,2020-09-07,6219.0,Book Stands
94,2020-09-08,3085.0,Book Stands
95,2020-09-09,4234.0,Book Stands
96,2020-09-10,4234.0,Book Stands
97,2020-09-11,4234.0,Book Stands
98,2020-09-12,4234.0,Book Stands
99,2020-09-13,6163.0,Book Stands
100,2020-09-14,6163.0,Book Stands
101,2020-09-15,6163.0,Book Stands
102,2020-09-16,5204.0,Book Stands
103,2020-09-17,5204.0,Book Stands
104,2020-09-18,5204.0,Book Stands
105,2020-09-19,5204.0,Book Stands
106,2020-09-20,5698.0,Book Stands
107,2020-09-21,5402.0,Book Stands
108,2020-09-22,5402.0,Book Stands
109,2020-09-23,5402.0,Book Stands
110,2020-09-24,5402.0,Book Stands
111,2020-09-25,7405.0,Book Stands
112,2020-09-26,7405.0,Book Stands
113,2020-09-27,5653.0,Book Stands
114,2020-09-28,5653.0,Book Stands
115,2020-09-29,5653.0,Book Stands
116,2020-09-30,5653.0,Book Stands
117,2020-10-01,5653.0,Book Stands
118,2020-10-02,9611.0,Book Stands
119,2020-10-03,9611.0,Book Stands
120,2020-10-04,9611.0,Book Stands
121,2020-10-05,7076.0,Book Stands
122,2020-10-06,6495.0,Book Stands
123,2020-10-07,7066.0,Book Stands
124,2020-10-08,7666.0,Book Stands
125,2020-10-09,8284.0,Book Stands
126,2020-10-10,8284.0,Book Stands
127,2020-10-11,8284.0,Book Stands
128,2020-10-12,8029.0,Book Stands
129,2020-10-13,8029.0,Book Stands
130,2020-10-14,8029.0,Book Stands
131,2020-10-15,8029.0,Book Stands
132,2020-10-16,8029.0,Book Stands
133,2020-10-17,8029.0,Book Stands
134,2020-10-18,8791.0,Book Stands
135,2020-10-19,8791.0,Book Stands
136,2020-10-20,8791.0,Book Stands
137,2020-10-21,10112.0,Book Stands
138,2020-10-22,10112.0,Book Stands
139,2020-10-23,10112.0,Book Stands
140,2020-10-24,11499.0,Book Stands
141,2020-10-25,11499.0,Book Stands
142,2020-10-26,10126.0,Book Stands
143,2020-10-27,10167.0,Book Stands
144,2020-10-28,10271.0,Book Stands
145,2020-10-29,10271.0,Book Stands
146,2020-10-30,10271.0,Book Stands
147,2020-10-31,10271.0,Book Stands
148,2020-11-01,10271.0,Book Stands
149,2020-11-02,10271.0,Book Stands
150,2020-11-03,8552.0,Book Stands
151,2020-11-04,8552.0,Book Stands
152,2020-11-05,8552.0,Book Stands
153,2020-11-06,8552.0,Book Stands
154,2020-11-07,10581.0,Book Stands
155,2020-11-08,10581.0,Book Stands
156,2020-11-09,10581.0,Book Stands
157,2020-11-10,10581.0,Book Stands
158,2020-11-11,10581.0,Book Stands
159,2020-11-12,10093.0,Book Stands
160,2020-11-13,10093.0,Book Stands
161,2020-11-14,10093.0,Book Stands
162,2020-11-15,10093.0,Book Stands
163,2020-11-16,10093.0,Book Stands
164,2020-11-17,10093.0,Book Stands
165,2020-11-18,8698.0,Book Stands
166,2020-11-19,8698.0,Book Stands
167,2020-11-20,8698.0,Book Stands
168,2020-11-21,8698.0,Book Stands
169,2020-11-22,8698.0,Book Stands
170,2020-11-23,8698.0,Book Stands
171,2020-11-24,7548.0,Book Stands
172,2020-11-25,8401.0,Book Stands
173,2020-11-26,8401.0,Book Stands
174,2020-11-27,8401.0,Book Stands
175,2020-11-28,5489.0,Book Stands
