,date,value,name_B093KXZKH4
0,2021-04-29,5274.0,Gloves
1,2021-04-30,4709.0,Gloves
2,2021-05-01,4709.0,Gloves
3,2021-05-02,5087.0,Gloves
4,2021-05-03,7556.0,Gloves
5,2021-05-04,3552.0,Gloves
6,2021-05-05,3552.0,Gloves
7,2021-05-06,2436.0,Gloves
8,2021-05-07,2436.0,Gloves
9,2021-05-08,2299.0,Gloves
10,2021-05-09,2299.0,Gloves
11,2021-05-10,3299.0,Gloves
12,2021-05-11,3233.0,Gloves
13,2021-05-12,2942.0,Gloves
14,2021-05-13,3174.0,Gloves
15,2021-05-14,3174.0,Gloves
16,2021-05-15,5273.0,Gloves
17,2021-05-16,5273.0,Gloves
18,2021-05-17,6757.0,Gloves
19,2021-05-18,5610.0,Gloves
20,2021-05-19,5769.0,Gloves
21,2021-05-20,5611.0,Gloves
22,2021-05-21,3309.0,Gloves
23,2021-05-22,3309.0,Gloves
24,2021-05-23,5388.0,Gloves
25,2021-05-24,6000.0,Gloves
26,2021-05-25,6000.0,Gloves
27,2021-05-26,4014.0,Gloves
28,2021-05-27,4991.0,Gloves
29,2021-05-28,4714.0,Gloves
30,2021-05-29,4714.0,Gloves
31,2021-05-30,6164.0,Gloves
32,2021-05-31,6507.0,Gloves
33,2021-06-01,7670.0,Gloves
34,2021-06-02,6694.0,Gloves
35,2021-06-03,7679.0,Gloves
36,2021-06-04,7679.0,Gloves
37,2021-06-05,43670.0,Gloves
38,2021-06-06,43670.0,Gloves
39,2021-06-07,45982.0,Gloves
40,2021-06-08,63298.0,Gloves
41,2021-06-09,52102.0,Gloves
42,2021-06-10,67471.0,Gloves
43,2021-06-11,64061.0,Gloves
44,2021-06-12,64061.0,Gloves
45,2021-06-13,64282.0,Gloves
46,2021-06-14,69971.0,Gloves
47,2021-06-15,13126.0,Gloves
48,2021-06-16,7926.0,Gloves
49,2021-06-17,5382.0,Gloves
50,2021-06-18,5337.0,Gloves
51,2021-06-19,5140.0,Gloves
52,2021-06-20,8605.0,Gloves
53,2021-06-21,7669.0,Gloves
54,2021-06-22,8748.0,Gloves
55,2021-06-23,8936.0,Gloves
56,2021-06-24,9272.0,Gloves
57,2021-06-25,8172.0,Gloves
58,2021-06-26,8172.0,Gloves
59,2021-06-27,8172.0,Gloves
60,2021-06-28,8723.0,Gloves
61,2021-06-29,8723.0,Gloves
62,2021-06-30,8958.0,Gloves
63,2021-07-01,8933.0,Gloves
64,2021-07-02,10140.0,Gloves
65,2021-07-03,8788.0,Gloves
66,2021-07-04,9845.0,Gloves
67,2021-07-05,9845.0,Gloves
68,2021-07-06,10142.0,Gloves
69,2021-07-07,11270.0,Gloves
70,2021-07-08,13269.0,Gloves
71,2021-07-09,13865.0,Gloves
