,date,value,name_B07Y25JXLD
0,2019-10-27,80415.0,Dinner Plates
1,2019-10-28,96915.0,Dinner Plates
2,2019-10-29,60294.0,Dinner Plates
3,2019-10-30,51300.0,Dinner Plates
4,2019-10-31,39334.0,Dinner Plates
5,2019-11-01,29646.0,Dinner Plates
6,2019-11-02,21475.0,Dinner Plates
7,2019-11-03,31847.0,Dinner Plates
8,2019-11-04,45358.0,Dinner Plates
9,2019-11-05,29551.0,Dinner Plates
10,2019-11-06,33730.0,Dinner Plates
11,2019-11-07,41505.0,Dinner Plates
12,2019-11-08,34531.0,Dinner Plates
13,2019-11-09,38601.0,Dinner Plates
14,2019-11-10,33952.0,Dinner Plates
15,2019-11-11,34451.0,Dinner Plates
16,2019-11-12,29720.0,Dinner Plates
17,2019-11-13,24095.0,Dinner Plates
18,2019-11-14,23044.0,Dinner Plates
19,2019-11-15,23044.0,Dinner Plates
20,2019-11-16,23044.0,Dinner Plates
21,2019-11-17,32008.0,Dinner Plates
22,2019-11-18,32008.0,Dinner Plates
23,2019-11-19,30217.0,Dinner Plates
24,2019-11-20,30217.0,Dinner Plates
25,2019-11-21,24486.0,Dinner Plates
26,2019-11-22,32467.0,Dinner Plates
27,2019-11-23,32467.0,Dinner Plates
28,2019-11-24,28330.0,Dinner Plates
29,2019-11-25,27021.0,Dinner Plates
30,2019-11-26,27021.0,Dinner Plates
31,2019-11-27,33485.0,Dinner Plates
32,2019-11-28,34551.0,Dinner Plates
33,2019-11-29,34551.0,Dinner Plates
34,2019-11-30,34551.0,Dinner Plates
35,2019-12-01,34551.0,Dinner Plates
36,2019-12-02,34551.0,Dinner Plates
37,2019-12-03,34551.0,Dinner Plates
38,2019-12-04,35503.0,Dinner Plates
39,2019-12-05,35503.0,Dinner Plates
40,2019-12-06,35503.0,Dinner Plates
41,2019-12-07,35503.0,Dinner Plates
42,2019-12-08,35503.0,Dinner Plates
43,2019-12-09,35503.0,Dinner Plates
44,2019-12-10,35503.0,Dinner Plates
45,2019-12-11,35503.0,Dinner Plates
46,2019-12-12,35503.0,Dinner Plates
47,2019-12-13,28063.0,Dinner Plates
48,2019-12-14,28063.0,Dinner Plates
49,2019-12-15,28063.0,Dinner Plates
50,2019-12-16,28063.0,Dinner Plates
51,2019-12-17,28063.0,Dinner Plates
52,2019-12-18,29321.0,Dinner Plates
53,2019-12-19,29321.0,Dinner Plates
54,2019-12-20,29321.0,Dinner Plates
55,2019-12-21,29321.0,Dinner Plates
56,2019-12-22,29321.0,Dinner Plates
57,2019-12-23,33322.0,Dinner Plates
58,2019-12-24,33322.0,Dinner Plates
59,2019-12-25,33322.0,Dinner Plates
60,2019-12-26,22423.0,Dinner Plates
61,2019-12-27,22423.0,Dinner Plates
62,2019-12-28,22423.0,Dinner Plates
63,2019-12-29,22423.0,Dinner Plates
64,2019-12-30,22423.0,Dinner Plates
65,2019-12-31,22423.0,Dinner Plates
66,2020-01-01,22423.0,Dinner Plates
67,2020-01-02,16494.0,Dinner Plates
68,2020-01-03,16494.0,Dinner Plates
69,2020-01-04,16494.0,Dinner Plates
70,2020-01-05,16494.0,Dinner Plates
71,2020-01-06,16494.0,Dinner Plates
72,2020-01-07,15723.0,Dinner Plates
73,2020-01-08,24877.0,Dinner Plates
74,2020-01-09,24877.0,Dinner Plates
75,2020-01-10,24877.0,Dinner Plates
76,2020-01-11,24877.0,Dinner Plates
77,2020-01-12,24877.0,Dinner Plates
78,2020-01-13,11683.0,Dinner Plates
79,2020-01-14,11683.0,Dinner Plates
80,2020-01-15,11683.0,Dinner Plates
81,2020-01-16,16359.0,Dinner Plates
82,2020-01-17,16359.0,Dinner Plates
83,2020-01-18,16359.0,Dinner Plates
84,2020-01-19,16359.0,Dinner Plates
85,2020-01-20,11037.0,Dinner Plates
86,2020-01-21,11037.0,Dinner Plates
87,2020-01-22,11037.0,Dinner Plates
88,2020-01-23,11037.0,Dinner Plates
89,2020-01-24,11037.0,Dinner Plates
90,2020-01-25,11037.0,Dinner Plates
91,2020-01-26,10127.0,Dinner Plates
92,2020-01-27,11575.0,Dinner Plates
93,2020-01-28,11575.0,Dinner Plates
94,2020-01-29,11575.0,Dinner Plates
95,2020-01-30,11575.0,Dinner Plates
96,2020-01-31,11575.0,Dinner Plates
97,2020-02-01,11575.0,Dinner Plates
98,2020-02-02,11650.0,Dinner Plates
99,2020-02-03,11650.0,Dinner Plates
100,2020-02-04,11650.0,Dinner Plates
101,2020-02-05,11650.0,Dinner Plates
102,2020-02-06,11937.0,Dinner Plates
103,2020-02-07,11937.0,Dinner Plates
104,2020-02-08,11937.0,Dinner Plates
105,2020-02-09,11937.0,Dinner Plates
106,2020-02-10,11937.0,Dinner Plates
107,2020-02-11,11937.0,Dinner Plates
108,2020-02-12,12744.0,Dinner Plates
109,2020-02-13,12744.0,Dinner Plates
110,2020-02-14,12744.0,Dinner Plates
111,2020-02-15,12744.0,Dinner Plates
112,2020-02-16,12744.0,Dinner Plates
113,2020-02-17,12744.0,Dinner Plates
114,2020-02-18,12744.0,Dinner Plates
115,2020-02-19,9864.0,Dinner Plates
116,2020-02-20,9864.0,Dinner Plates
117,2020-02-21,9864.0,Dinner Plates
118,2020-02-22,12621.0,Dinner Plates
119,2020-02-23,12621.0,Dinner Plates
120,2020-02-24,12621.0,Dinner Plates
121,2020-02-25,12621.0,Dinner Plates
122,2020-02-26,10745.0,Dinner Plates
123,2020-02-27,10745.0,Dinner Plates
124,2020-02-28,15156.0,Dinner Plates
125,2020-02-29,15156.0,Dinner Plates
126,2020-03-01,15156.0,Dinner Plates
127,2020-03-02,15156.0,Dinner Plates
128,2020-03-03,11848.0,Dinner Plates
129,2020-03-04,11848.0,Dinner Plates
130,2020-03-05,11848.0,Dinner Plates
131,2020-03-06,9067.0,Dinner Plates
132,2020-03-07,9067.0,Dinner Plates
133,2020-03-08,9067.0,Dinner Plates
134,2020-03-09,9067.0,Dinner Plates
135,2020-03-10,9067.0,Dinner Plates
136,2020-03-11,9067.0,Dinner Plates
137,2020-03-12,9067.0,Dinner Plates
138,2020-03-13,-1.0,Dinner Plates
