,date,value,name_B084L5VC48
132,2020-11-28,4288.0,All-Purpose Labels
133,2020-11-29,4257.0,All-Purpose Labels
134,2020-11-30,4257.0,All-Purpose Labels
135,2020-12-01,4257.0,All-Purpose Labels
136,2020-12-02,4413.0,All-Purpose Labels
137,2020-12-03,4413.0,All-Purpose Labels
138,2020-12-04,5176.0,All-Purpose Labels
139,2020-12-05,5176.0,All-Purpose Labels
140,2020-12-06,5176.0,All-Purpose Labels
141,2020-12-07,4497.0,All-Purpose Labels
142,2020-12-08,4352.0,All-Purpose Labels
143,2020-12-09,4352.0,All-Purpose Labels
144,2020-12-10,4352.0,All-Purpose Labels
145,2020-12-11,4348.0,All-Purpose Labels
146,2020-12-12,5267.0,All-Purpose Labels
147,2020-12-13,5267.0,All-Purpose Labels
148,2020-12-14,5267.0,All-Purpose Labels
149,2020-12-15,9536.0,All-Purpose Labels
150,2020-12-16,7660.0,All-Purpose Labels
151,2020-12-17,6076.0,All-Purpose Labels
152,2020-12-18,6537.0,All-Purpose Labels
153,2020-12-19,6537.0,All-Purpose Labels
154,2020-12-20,5362.0,All-Purpose Labels
155,2020-12-21,5546.0,All-Purpose Labels
156,2020-12-22,5495.0,All-Purpose Labels
157,2020-12-23,5495.0,All-Purpose Labels
158,2020-12-24,6080.0,All-Purpose Labels
159,2020-12-25,4110.0,All-Purpose Labels
160,2020-12-26,3683.0,All-Purpose Labels
161,2020-12-27,5723.0,All-Purpose Labels
162,2020-12-28,5518.0,All-Purpose Labels
163,2020-12-29,6013.0,All-Purpose Labels
164,2020-12-30,5936.0,All-Purpose Labels
165,2020-12-31,6339.0,All-Purpose Labels
166,2021-01-01,5577.0,All-Purpose Labels
167,2021-01-02,4728.0,All-Purpose Labels
168,2021-01-03,5609.0,All-Purpose Labels
169,2021-01-04,4321.0,All-Purpose Labels
170,2021-01-05,4986.0,All-Purpose Labels
171,2021-01-06,4996.0,All-Purpose Labels
172,2021-01-07,5689.0,All-Purpose Labels
173,2021-01-08,4880.0,All-Purpose Labels
174,2021-01-09,4685.0,All-Purpose Labels
175,2021-01-10,4685.0,All-Purpose Labels
176,2021-01-11,4685.0,All-Purpose Labels
177,2021-01-12,4685.0,All-Purpose Labels
178,2021-01-13,2984.0,All-Purpose Labels
179,2021-01-14,2984.0,All-Purpose Labels
180,2021-01-15,2984.0,All-Purpose Labels
181,2021-01-16,4248.0,All-Purpose Labels
182,2021-01-17,4248.0,All-Purpose Labels
183,2021-01-18,4248.0,All-Purpose Labels
184,2021-01-19,4817.0,All-Purpose Labels
185,2021-01-20,5259.0,All-Purpose Labels
186,2021-01-21,5259.0,All-Purpose Labels
187,2021-01-22,3573.0,All-Purpose Labels
188,2021-01-23,4127.0,All-Purpose Labels
189,2021-01-24,4127.0,All-Purpose Labels
190,2021-01-25,4086.0,All-Purpose Labels
191,2021-01-26,4086.0,All-Purpose Labels
192,2021-01-27,4086.0,All-Purpose Labels
193,2021-01-28,4186.0,All-Purpose Labels
194,2021-01-29,4186.0,All-Purpose Labels
195,2021-01-30,4894.0,All-Purpose Labels
196,2021-01-31,4894.0,All-Purpose Labels
197,2021-02-01,3755.0,All-Purpose Labels
198,2021-02-02,3755.0,All-Purpose Labels
199,2021-02-03,3755.0,All-Purpose Labels
200,2021-02-04,3520.0,All-Purpose Labels
201,2021-02-05,3520.0,All-Purpose Labels
202,2021-02-06,3520.0,All-Purpose Labels
203,2021-02-07,3167.0,All-Purpose Labels
204,2021-02-08,2631.0,All-Purpose Labels
205,2021-02-09,2729.0,All-Purpose Labels
206,2021-02-10,2729.0,All-Purpose Labels
207,2021-02-11,3492.0,All-Purpose Labels
208,2021-02-12,3492.0,All-Purpose Labels
209,2021-02-13,3492.0,All-Purpose Labels
210,2021-02-14,3492.0,All-Purpose Labels
211,2021-02-15,3316.0,All-Purpose Labels
212,2021-02-16,2787.0,All-Purpose Labels
213,2021-02-17,2787.0,All-Purpose Labels
214,2021-02-18,2787.0,All-Purpose Labels
215,2021-02-19,3189.0,All-Purpose Labels
216,2021-02-20,2640.0,All-Purpose Labels
217,2021-02-21,2640.0,All-Purpose Labels
218,2021-02-22,2640.0,All-Purpose Labels
219,2021-02-23,2615.0,All-Purpose Labels
220,2021-02-24,2615.0,All-Purpose Labels
221,2021-02-25,2783.0,All-Purpose Labels
222,2021-02-26,3473.0,All-Purpose Labels
223,2021-02-27,3855.0,All-Purpose Labels
224,2021-02-28,3855.0,All-Purpose Labels
225,2021-03-01,2612.0,All-Purpose Labels
226,2021-03-02,2808.0,All-Purpose Labels
227,2021-03-03,2808.0,All-Purpose Labels
228,2021-03-04,2583.0,All-Purpose Labels
229,2021-03-05,3212.0,All-Purpose Labels
230,2021-03-06,3212.0,All-Purpose Labels
231,2021-03-07,3212.0,All-Purpose Labels
232,2021-03-08,3748.0,All-Purpose Labels
233,2021-03-09,3748.0,All-Purpose Labels
234,2021-03-10,3748.0,All-Purpose Labels
235,2021-03-11,3748.0,All-Purpose Labels
236,2021-03-12,3083.0,All-Purpose Labels
237,2021-03-13,3083.0,All-Purpose Labels
238,2021-03-14,2724.0,All-Purpose Labels
239,2021-03-15,2724.0,All-Purpose Labels
240,2021-03-16,2724.0,All-Purpose Labels
241,2021-03-17,3025.0,All-Purpose Labels
242,2021-03-18,3025.0,All-Purpose Labels
243,2021-03-19,3443.0,All-Purpose Labels
244,2021-03-20,3443.0,All-Purpose Labels
245,2021-03-21,3443.0,All-Purpose Labels
246,2021-03-22,3194.0,All-Purpose Labels
247,2021-03-23,3194.0,All-Purpose Labels
248,2021-03-24,3194.0,All-Purpose Labels
249,2021-03-25,3271.0,All-Purpose Labels
250,2021-03-26,3271.0,All-Purpose Labels
251,2021-03-27,3271.0,All-Purpose Labels
252,2021-03-28,3091.0,All-Purpose Labels
253,2021-03-29,3091.0,All-Purpose Labels
254,2021-03-30,3091.0,All-Purpose Labels
255,2021-03-31,4124.0,All-Purpose Labels
256,2021-04-01,4124.0,All-Purpose Labels
257,2021-04-02,2790.0,All-Purpose Labels
258,2021-04-03,2790.0,All-Purpose Labels
259,2021-04-04,2790.0,All-Purpose Labels
260,2021-04-05,3361.0,All-Purpose Labels
261,2021-04-06,3361.0,All-Purpose Labels
