,date,value,name_B07KVZ6VK5
0,2018-12-03,28660.0,Coffee Machines
1,2018-12-04,16103.0,Coffee Machines
2,2018-12-05,16103.0,Coffee Machines
3,2018-12-06,9722.0,Coffee Machines
4,2018-12-07,9722.0,Coffee Machines
5,2018-12-08,15041.0,Coffee Machines
6,2018-12-09,15041.0,Coffee Machines
7,2018-12-10,15041.0,Coffee Machines
8,2018-12-11,27294.0,Coffee Machines
9,2018-12-12,32154.0,Coffee Machines
10,2018-12-13,32154.0,Coffee Machines
11,2018-12-14,32154.0,Coffee Machines
12,2018-12-15,32219.0,Coffee Machines
13,2018-12-16,35963.0,Coffee Machines
14,2018-12-17,35963.0,Coffee Machines
15,2018-12-18,27372.0,Coffee Machines
16,2018-12-19,27372.0,Coffee Machines
17,2018-12-20,27372.0,Coffee Machines
18,2018-12-21,17720.0,Coffee Machines
19,2018-12-22,17720.0,Coffee Machines
20,2018-12-23,17720.0,Coffee Machines
21,2018-12-24,19702.0,Coffee Machines
22,2018-12-25,23936.0,Coffee Machines
23,2018-12-26,20304.0,Coffee Machines
24,2018-12-27,15600.0,Coffee Machines
25,2018-12-28,15600.0,Coffee Machines
26,2018-12-29,15600.0,Coffee Machines
27,2018-12-30,16785.0,Coffee Machines
28,2018-12-31,16785.0,Coffee Machines
29,2019-01-01,15709.0,Coffee Machines
30,2019-01-02,15709.0,Coffee Machines
31,2019-01-03,12699.0,Coffee Machines
32,2019-01-04,12699.0,Coffee Machines
33,2019-01-05,17557.0,Coffee Machines
34,2019-01-06,17557.0,Coffee Machines
35,2019-01-07,17557.0,Coffee Machines
36,2019-01-08,12769.0,Coffee Machines
37,2019-01-09,11615.0,Coffee Machines
38,2019-01-10,13909.0,Coffee Machines
39,2019-01-11,13995.0,Coffee Machines
40,2019-01-12,12875.0,Coffee Machines
41,2019-01-13,16377.0,Coffee Machines
42,2019-01-14,12536.0,Coffee Machines
43,2019-01-15,15130.0,Coffee Machines
44,2019-01-16,14191.0,Coffee Machines
45,2019-01-17,14191.0,Coffee Machines
46,2019-01-18,15260.0,Coffee Machines
47,2019-01-19,15260.0,Coffee Machines
48,2019-01-20,17334.0,Coffee Machines
49,2019-01-21,17334.0,Coffee Machines
50,2019-01-22,17334.0,Coffee Machines
51,2019-01-23,17334.0,Coffee Machines
52,2019-01-24,17334.0,Coffee Machines
53,2019-01-25,17334.0,Coffee Machines
54,2019-01-26,16383.0,Coffee Machines
55,2019-01-27,16383.0,Coffee Machines
