,date,value,name_B084C1F1PD
122,2020-06-08,28123.0,Kitchen Trash Cans
123,2020-06-09,28123.0,Kitchen Trash Cans
124,2020-06-10,28123.0,Kitchen Trash Cans
125,2020-06-11,29080.0,Kitchen Trash Cans
126,2020-06-12,29080.0,Kitchen Trash Cans
127,2020-06-13,29080.0,Kitchen Trash Cans
128,2020-06-14,29080.0,Kitchen Trash Cans
129,2020-06-15,29080.0,Kitchen Trash Cans
130,2020-06-16,37662.0,Kitchen Trash Cans
131,2020-06-17,31922.0,Kitchen Trash Cans
132,2020-06-18,31922.0,Kitchen Trash Cans
133,2020-06-19,31922.0,Kitchen Trash Cans
134,2020-06-20,29818.0,Kitchen Trash Cans
135,2020-06-21,28130.0,Kitchen Trash Cans
136,2020-06-22,28130.0,Kitchen Trash Cans
137,2020-06-23,28130.0,Kitchen Trash Cans
138,2020-06-24,28130.0,Kitchen Trash Cans
139,2020-06-25,28130.0,Kitchen Trash Cans
140,2020-06-26,27847.0,Kitchen Trash Cans
141,2020-06-27,27847.0,Kitchen Trash Cans
142,2020-06-28,27847.0,Kitchen Trash Cans
143,2020-06-29,26712.0,Kitchen Trash Cans
144,2020-06-30,26712.0,Kitchen Trash Cans
145,2020-07-01,52760.0,Kitchen Trash Cans
146,2020-07-02,52760.0,Kitchen Trash Cans
147,2020-07-03,52760.0,Kitchen Trash Cans
148,2020-07-04,30159.0,Kitchen Trash Cans
149,2020-07-05,30159.0,Kitchen Trash Cans
150,2020-07-06,29323.0,Kitchen Trash Cans
151,2020-07-07,24331.0,Kitchen Trash Cans
152,2020-07-08,29022.0,Kitchen Trash Cans
153,2020-07-09,29022.0,Kitchen Trash Cans
154,2020-07-10,29022.0,Kitchen Trash Cans
155,2020-07-11,29022.0,Kitchen Trash Cans
156,2020-07-12,29022.0,Kitchen Trash Cans
157,2020-07-13,29022.0,Kitchen Trash Cans
158,2020-07-14,29020.0,Kitchen Trash Cans
159,2020-07-15,29020.0,Kitchen Trash Cans
160,2020-07-16,29020.0,Kitchen Trash Cans
161,2020-07-17,29020.0,Kitchen Trash Cans
162,2020-07-18,17300.0,Kitchen Trash Cans
163,2020-07-19,17300.0,Kitchen Trash Cans
164,2020-07-20,16540.0,Kitchen Trash Cans
165,2020-07-21,16540.0,Kitchen Trash Cans
166,2020-07-22,16540.0,Kitchen Trash Cans
167,2020-07-23,16540.0,Kitchen Trash Cans
168,2020-07-24,21309.0,Kitchen Trash Cans
169,2020-07-25,21374.0,Kitchen Trash Cans
170,2020-07-26,21374.0,Kitchen Trash Cans
171,2020-07-27,21374.0,Kitchen Trash Cans
172,2020-07-28,19465.0,Kitchen Trash Cans
173,2020-07-29,23414.0,Kitchen Trash Cans
174,2020-07-30,23414.0,Kitchen Trash Cans
175,2020-07-31,23414.0,Kitchen Trash Cans
176,2020-08-01,23414.0,Kitchen Trash Cans
177,2020-08-02,24091.0,Kitchen Trash Cans
178,2020-08-03,19739.0,Kitchen Trash Cans
179,2020-08-04,22033.0,Kitchen Trash Cans
180,2020-08-05,22033.0,Kitchen Trash Cans
181,2020-08-06,22033.0,Kitchen Trash Cans
182,2020-08-07,29500.0,Kitchen Trash Cans
183,2020-08-08,29500.0,Kitchen Trash Cans
184,2020-08-09,29500.0,Kitchen Trash Cans
185,2020-08-10,26133.0,Kitchen Trash Cans
186,2020-08-11,26133.0,Kitchen Trash Cans
187,2020-08-12,26133.0,Kitchen Trash Cans
188,2020-08-13,17680.0,Kitchen Trash Cans
189,2020-08-14,19148.0,Kitchen Trash Cans
190,2020-08-15,19148.0,Kitchen Trash Cans
