,date,value,name_B096ZZHNYT
0,2021-06-14,1633.0,Shade Sails
1,2021-06-15,1633.0,Shade Sails
2,2021-06-16,1007.0,Shade Sails
3,2021-06-17,878.0,Shade Sails
4,2021-06-18,864.0,Shade Sails
5,2021-06-19,864.0,Shade Sails
6,2021-06-20,650.0,Shade Sails
7,2021-06-21,612.0,Shade Sails
8,2021-06-22,664.0,Shade Sails
9,2021-06-23,775.0,Shade Sails
10,2021-06-24,775.0,Shade Sails
11,2021-06-25,671.0,Shade Sails
12,2021-06-26,750.0,Shade Sails
13,2021-06-27,558.0,Shade Sails
14,2021-06-28,375.0,Shade Sails
15,2021-06-29,498.0,Shade Sails
16,2021-06-30,601.0,Shade Sails
17,2021-07-01,594.0,Shade Sails
18,2021-07-02,609.0,Shade Sails
19,2021-07-03,633.0,Shade Sails
20,2021-07-04,633.0,Shade Sails
21,2021-07-05,695.0,Shade Sails
22,2021-07-06,757.0,Shade Sails
23,2021-07-07,688.0,Shade Sails
24,2021-07-08,723.0,Shade Sails
25,2021-07-09,801.0,Shade Sails
26,2021-07-10,801.0,Shade Sails
27,2021-07-11,779.0,Shade Sails
