,date,value,name_B08HRCTC6H
0,2020-09-15,7187.0,Bento Boxes
1,2020-09-16,7187.0,Bento Boxes
2,2020-09-17,7187.0,Bento Boxes
3,2020-09-18,6647.0,Bento Boxes
4,2020-09-19,6647.0,Bento Boxes
5,2020-09-20,6647.0,Bento Boxes
6,2020-09-21,6647.0,Bento Boxes
7,2020-09-22,5045.0,Bento Boxes
8,2020-09-23,5045.0,Bento Boxes
9,2020-09-24,5045.0,Bento Boxes
10,2020-09-25,6925.0,Bento Boxes
11,2020-09-26,6925.0,Bento Boxes
12,2020-09-27,6925.0,Bento Boxes
13,2020-09-28,6550.0,Bento Boxes
14,2020-09-29,6550.0,Bento Boxes
15,2020-09-30,5507.0,Bento Boxes
16,2020-10-01,5507.0,Bento Boxes
17,2020-10-02,5507.0,Bento Boxes
18,2020-10-03,5507.0,Bento Boxes
19,2020-10-04,8455.0,Bento Boxes
20,2020-10-05,6953.0,Bento Boxes
21,2020-10-06,6953.0,Bento Boxes
22,2020-10-07,6953.0,Bento Boxes
23,2020-10-08,5869.0,Bento Boxes
24,2020-10-09,5869.0,Bento Boxes
25,2020-10-10,8993.0,Bento Boxes
26,2020-10-11,8993.0,Bento Boxes
27,2020-10-12,8993.0,Bento Boxes
28,2020-10-13,8993.0,Bento Boxes
29,2020-10-14,8993.0,Bento Boxes
30,2020-10-15,10518.0,Bento Boxes
31,2020-10-16,7696.0,Bento Boxes
32,2020-10-17,7696.0,Bento Boxes
33,2020-10-18,7696.0,Bento Boxes
34,2020-10-19,7696.0,Bento Boxes
35,2020-10-20,4934.0,Bento Boxes
36,2020-10-21,4934.0,Bento Boxes
37,2020-10-22,4934.0,Bento Boxes
38,2020-10-23,4934.0,Bento Boxes
39,2020-10-24,6616.0,Bento Boxes
40,2020-10-25,5148.0,Bento Boxes
41,2020-10-26,5148.0,Bento Boxes
42,2020-10-27,5148.0,Bento Boxes
43,2020-10-28,5935.0,Bento Boxes
44,2020-10-29,5935.0,Bento Boxes
45,2020-10-30,5935.0,Bento Boxes
46,2020-10-31,6043.0,Bento Boxes
47,2020-11-01,6043.0,Bento Boxes
48,2020-11-02,6043.0,Bento Boxes
49,2020-11-03,3281.0,Bento Boxes
50,2020-11-04,3281.0,Bento Boxes
51,2020-11-05,4952.0,Bento Boxes
52,2020-11-06,4952.0,Bento Boxes
53,2020-11-07,4952.0,Bento Boxes
54,2020-11-08,4952.0,Bento Boxes
55,2020-11-09,4952.0,Bento Boxes
56,2020-11-10,5434.0,Bento Boxes
57,2020-11-11,5694.0,Bento Boxes
58,2020-11-12,5242.0,Bento Boxes
59,2020-11-13,5242.0,Bento Boxes
60,2020-11-14,5242.0,Bento Boxes
61,2020-11-15,5242.0,Bento Boxes
62,2020-11-16,5242.0,Bento Boxes
63,2020-11-17,3977.0,Bento Boxes
64,2020-11-18,3977.0,Bento Boxes
65,2020-11-19,3977.0,Bento Boxes
66,2020-11-20,3977.0,Bento Boxes
67,2020-11-21,2671.0,Bento Boxes
68,2020-11-22,2671.0,Bento Boxes
69,2020-11-23,3749.0,Bento Boxes
70,2020-11-24,4350.0,Bento Boxes
71,2020-11-25,4614.0,Bento Boxes
72,2020-11-26,4614.0,Bento Boxes
73,2020-11-27,4614.0,Bento Boxes
74,2020-11-28,4614.0,Bento Boxes
75,2020-11-29,4614.0,Bento Boxes
76,2020-11-30,4614.0,Bento Boxes
77,2020-12-01,6789.0,Bento Boxes
78,2020-12-02,6789.0,Bento Boxes
79,2020-12-03,6789.0,Bento Boxes
80,2020-12-04,6789.0,Bento Boxes
81,2020-12-05,6789.0,Bento Boxes
82,2020-12-06,7729.0,Bento Boxes
83,2020-12-07,7729.0,Bento Boxes
84,2020-12-08,7729.0,Bento Boxes
85,2020-12-09,5049.0,Bento Boxes
86,2020-12-10,5049.0,Bento Boxes
87,2020-12-11,5049.0,Bento Boxes
88,2020-12-12,8312.0,Bento Boxes
89,2020-12-13,8312.0,Bento Boxes
90,2020-12-14,8312.0,Bento Boxes
91,2020-12-15,8312.0,Bento Boxes
92,2020-12-16,8332.0,Bento Boxes
93,2020-12-17,8332.0,Bento Boxes
94,2020-12-18,8332.0,Bento Boxes
95,2020-12-19,8085.0,Bento Boxes
96,2020-12-20,8085.0,Bento Boxes
97,2020-12-21,9019.0,Bento Boxes
98,2020-12-22,9019.0,Bento Boxes
99,2020-12-23,9019.0,Bento Boxes
100,2020-12-24,9019.0,Bento Boxes
101,2020-12-25,9019.0,Bento Boxes
102,2020-12-26,9019.0,Bento Boxes
103,2020-12-27,8002.0,Bento Boxes
104,2020-12-28,8002.0,Bento Boxes
105,2020-12-29,4564.0,Bento Boxes
